俠	ɦiaʔ˨$
俦	ʣɤ˨˨˧$
俨	ȵiẽ˨˨˧$
俭	ʥiẽ˨˨˧$
修	ɕiɤ˦˦˥$
俯	fu˦˦˥$
俱	ʥy˨˨˧$
俸	foŋ˦˦˥$
倉	ʦʰɔ̃˦˦˥$
個	kɷu˦˦˥$
倌	kuœ̃˦˦˥$
倍	be˨˨˧$
倏	soʔ˥$
倒	tɔ˦˦˥$
倔	ʥyeʔ˨$
倖	ɦieŋ˨˨˧$
候	ɦɤ˨˨˧$
倚	i˦˦˥$
倜	tʰeʔ˥$
借	ɦia˨˨˧$
倡	ʦʰɔ̃˦˦˥$
倩	ʨʰiẽ˦˦˥$
倪	ȵi˨˨˧$
倫	lyeŋ˨˨˧$
债	ʦa˦˦˥$
值	ʣɤʔ˨$
倾	ʨʰieŋ˦˦˥$
偃	iẽ˦˦˥$
假	ko˦˦˥$
偉	ɦue˨˨˧$
做	ʦɷu˦˦˥$
健	ʥiẽ˨˨˧$
側	ʦɤʔ˥$
偶	ȵiɤ˨˨˧$
偷	tʰɤ˦˦˥$
偽	ɦue˨˨˧$
偿	ʣɔ̃˨˨˧$
傀	kʰue˦˦˥$
傅	fu˦˦˥$
傍	bɔ̃˨˨˧$
傑	ʥieʔ˨$
傘	sæ̃˦˦˥$
備	be˨˨˧$
傥	tʰɔ̃˦˦˥$
傧	peŋ˦˦˥$
储	ʣʮ˨˨˧$
催	ʦʰe˦˦˥$
傭	ɦioŋ˨˨˧$
傲	ŋɔ˨˨˧$
傳	ʣẽ˨˨˧$
債	ʦa˦˦˥$
傷	sɔ̃˦˦˥$
傻	sa˦˦˥$
傾	ʨʰieŋ˦˦˥$
僅	ʥieŋ˨˨˧$
像	ʥiã˨˨˧$
僕	boʔ˨$
僧	səŋ˦˦˥$
僭	ʨiẽ˦˦˥$
僮	doŋ˨˨˧$
僻	pʰeʔ˥$
儀	ȵi˨˨˧$
儂	noŋ˨˨˧$
儆	ʨieŋ˦˦˥$
儇	huæ̃˦˦˥$
儈	kue˦˦˥$
儉	ʥiẽ˨˨˧$
儐	peŋ˦˦˥$
儒	zʮ˨˨˧$
儔	ʣɤ˨˨˧$
償	ʣɔ̃˨˨˧$
儡	le˨˨˧$
優	iɤ˦˦˥$
儲	ʣʮ˨˨˧$
儻	tʰɔ̃˦˦˥$
儼	ȵiẽ˨˨˧$
儿	ŋ̩˨˨˧$
允	ɦyeŋ˨˨˧$
元	ȵyœ̃˨˨˧$
兄	ɕioŋ˦˦˥$
充	ʦʰoŋ˦˦˥$
兆	zɔ˨˨˧$
先	ɕiẽ˦˦˥$
光	kuã˦˦˥$
克	kʰeʔ˥$
兌	de˨˨˧$
免	miẽ˨˨˧$
兑	de˨˨˧$
兒	ŋ̩˨˨˧$
兔	tʰu˦˦˥$
兖	ɦiẽ˨˨˧$
兗	ɦiẽ˨˨˧$
党	tɔ̃˦˦˥$
兜	tɤ˦˦˥$
兢	ʥieŋ˨˨˧$
入	zeʔ˨$
內	ne˨˨˧$
全	ʥiẽ˨˨˧$
兩	liã˨˨˧$
八	paʔ˥$
公	koŋ˦˦˥$
六	loʔ˨$
兮	ɦi˨˨˧$
兰	læ̃˨˨˧$
共	goŋ˨˨˧$
关	kuæ̃˦˦˥$
兴	ɕieŋ˦˦˥$
兵	peŋ˦˦˥$
其	ʥi˨˨˧$
具	ʥy˨˨˧$
典	tiẽ˦˦˥$
兹	ʦɿ˦˦˥$
养	ɦiã˨˨˧$
兼	ʨiẽ˦˦˥$
兽	sɤ˦˦˥$
冀	ʨi˦˦˥$
内	ne˨˨˧$
冈	kɔ̃˦˦˥$
