侏	ʦɿ˦$
侑	iɤ˧˧˦$
侔	mɤ˨$
侖	lən˨$
侗	dõ˦˨$
侘	ʦʰo˧˧˦$
供	kõ˧˧˦$
依	i˦$
侠	jaʔ˨$
侣	ʔli˥˧$
侥	ʨiɔ˥˧$
侦	ʦən˦$
侧	ʦəʔ˥$
侨	ʥiɔ˨$
侩	kui˧˧˦$
侪	zɛ˨$
侬	nõ˨$
侮	vu˦˨$
侯	ɦɤ˨$
侵	ʦʰin˦$
侶	ʔli˥˧$
侷	ʥioʔ˨$
侻	tʰəʔ˥$
便	biɛ˨$
俁	ʔȵi˥˧$
係	ʨi˧˧˦$
促	ʦʰoʔ˥$
俄	u˦$
俅	ʥiɤ˨$
俉	u˧˧˦$
俊	ʦin˧˧˦$
俎	ʦu˥˧$
俏	ʦʰiɔ˧˧˦$
俐	li˩˩˧$
俑	iõ˥˧$
俗	zoʔ˨$
俘	fu˦$
俚	ʔli˥˧$
保	pɔ˥˧$
俞	ɦi˨$
俟	zɿ˦˨$
俠	jaʔ˨$
信	sin˧˧˦$
俣	ʔȵi˥˧$
俨	ʔȵiɛ˥˧$
俩	liã˦˨$
俪	li˩˩˧$
俬	sɿ˦$
俭	ʥiɛ˦˨$
修	siɤ˦$
俯	fu˥˧$
俱	ʥi˩˩˧$
俳	ba˨$
俶	ʦʰoʔ˥$
俸	võ˩˩˧$
俻	bi˩˩˧$
俾	pi˥˧$
倀	ʦʰã˦$
倆	liã˦˨$
倉	ʦʰɔ̃˦$
個	kəʔ˥$
倌	kuɛ˦$
倍	bi˦˨$
倏	soʔ˥$
們	mən˨$
倒	tɔ˧˧˦$
倔	ʥiəʔ˨$
倖	ɦin˩˩˧$
倗	bã˨$
倘	tʰɔ̃˥˧$
候	ɦɤ˩˩˧$
倚	i˥˧$
倜	tʰiəʔ˥$
借	ʦia˧˧˦$
倡	ʦʰɔ̃˧˧˦$
倢	ziəʔ˨$
値	zəʔ˨$
倥	kʰõ˥˧$
倦	ʥiɛ˩˩˧$
倨	ʨi˧˧˦$
倩	ʦʰiɛ˧˧˦$
倪	ȵi˨$
倫	lən˨$
倬	ʦoʔ˥$
倭	u˦$
倷	nɤ˩˩˧$
债	ʦa˧˧˦$
值	zəʔ˨$
倾	ʨʰin˦$
偃	iɛ˥˧$
假	ka˥˧$
偈	ʥi˩˩˧$
偉	ui˥˧$
偌	ȵia˩˩˧$
偎	ui˦$
偏	biɛ˦˨$
偓	oʔ˥$
偕	ʨia˦$
做	ʦu˧˧˦$
停	din˨$
健	ʥiɛ˩˩˧$
偪	piəʔ˥$
偬	ʦõ˥˧$
偰	siəʔ˥$
側	ʦəʔ˥$
偵	ʦən˦$
偶	ɤ˥˧$
偷	tʰɤ˦$
偻	lɤ˨$
偽	ui˥˧$
偾	fən˧˧˦$
偿	zɔ̃˨$
傀	kʰui˥˧$
傅	fu˧˧˦$
傈	liəʔ˨$
傍	bɔ̃˨$
傑	ʥiəʔ˨$
傕	koʔ˥$
傖	ʦʰɔ̃˦$
傘	sæ˧˧˦$
備	bi˩˩˧$
傚	jɔ˩˩˧$
傜	jɔ˨$
傝	tʰaʔ˥$
傢	ka˦$
傣	ta˥˧$
傥	tʰɔ̃˥˧$
傧	pin˧˧˦$
储	zɿ˨$
傩	nu˨$
催	ʦʰi˦$
傭	iõ˦$
傯	ʦõ˥˧$
傲	ɦɔ˩˩˧$
傳	zɛ˨$
傴	i˥˧$
債	ʦa˧˧˦$
傷	sɔ̃˦$
傻	sa˥˧$
傾	ʨʰin˦$
僂	lɤ˨$
僅	ʥin˩˩˧$
像	ziã˦˨$
僑	ʥiɔ˨$
僕	boʔ˨$
僖	ɕi˦$
僚	liɔ˨$
僞	ui˥˧$
僥	ʨiɔ˥˧$
僧	sən˦$
僨	fən˧˧˦$
僭	ʦiɛ˧˧˦$
僮	dõ˨$
僱	ku˧˧˦$
僳	soʔ˥$
僵	ʨiã˦$
價	ka˧˧˦$
僻	pʰiəʔ˥$
儀	ȵi˨$
儂	nõ˨$
億	i˧˧˦$
儆	ʨin˥˧$
儈	kui˧˧˦$
儉	ʥiɛ˦˨$
儋	tæ˦$
儐	pin˧˧˦$
儒	zɿ˨$
儔	zɤ˨$
儕	zɛ˨$
儘	zin˦˨$
償	zɔ̃˨$
儡	ʔli˥˧$
優	iɤ˦$
儲	zɿ˨$
儵	soʔ˥$
儷	li˩˩˧$
儺	nu˨$
儻	tʰɔ̃˥˧$
儼	ʔȵiɛ˥˧$
儿	ŋ˨$
兀	əʔ˥$
允	in˥˧$
元	jɛ˨$
兄	ɕiõ˦$
充	ʦʰõ˦$
兆	zɔ˦˨$
兇	ɕiõ˦$
先	siɛ˦$
光	kuɔ̃˦$
克	kʰəʔ˥$
兌	dɛ˩˩˧$
免	ʔmiɛ˥˧$
兑	dɛ˩˩˧$
兒	ŋ˨$
兔	tʰu˧˧˦$
兕	zɿ˦˨$
兖	iɛ˥˧$
兗	iɛ˥˧$
党	tɔ̃˥˧$
兜	tɤ˦$
兢	ʨin˦$
入	zəʔ˨$
內	ni˩˩˧$
全	ziɛ˨$
兩	liã˦˨$
八	poʔ˥$
公	kõ˦$
六	loʔ˨$
兮	ɦi˨$
兰	læ˨$
共	gõ˩˩˧$
兲	tʰiɛ˦$
关	kuæ˦$
兴	ɕin˧˧˦$
兵	pin˦$
其	ʥi˨$
具	ʥi˩˩˧$
典	tiɛ˥˧$
兹	ʦɿ˦$
养	iã˥˧$
兼	ʨiɛ˦$
兽	sɤ˧˧˦$
冀	ʨi˧˧˦$
内	ni˩˩˧$
冈	kuɔ̃˦$
冉	zɛ˦˨$
冊	ʦʰaʔ˥$
册	ʦʰaʔ˥$
再	ʦɛ˧˧˦$
冑	zɤ˩˩˧$
冒	mɔ˩˩˧$
冕	ʔmiɛ˥˧$
冗	ȵiõ˨$
冘	in˦$
写	sia˥˧$
军	ʨin˦$
农	lõ˨$
冠	kuɛ˧˧˦$
冢	ʦõ˥˧$
冤	iɛ˦$
冥	min˨$
冪	miəʔ˨$
冬	tõ˦$
冮	kã˦$
冯	bin˨$
冰	pin˦$
冲	ʦʰõ˦$
决	ʨiəʔ˥$
况	huɔ̃˧˧˦$
冶	ia˥˧$
冷	ʔlã˥˧$
冻	tõ˧˧˦$
冼	siɛ˥˧$
冽	liəʔ˨$
净	zin˩˩˧$
凄	ʦʰi˦$
准	ʦən˥˧$
凇	sõ˦$
凉	liã˨$
凋	tiɔ˦$
凌	lin˨$
凍	tõ˧˧˦$
减	kæ˥˧$
凑	ʦʰɤ˧˧˦$
凚	ʥin˩˩˧$
凛	ʔlin˥˧$
凜	ʔlin˥˧$
凝	ȵin˨$
几	ʨi˥˧$
凡	væ˨$
凤	võ˩˩˧$
凫	vu˨$
凭	bin˨$
凯	kʰɛ˥˧$
凰	ɦuɔ̃˨$
凱	kʰɛ˥˧$
凳	tən˧˧˦$
凵	ʨʰiɛ˥˧$
凶	ɕiõ˦$
凸	dəʔ˨$
凹	ɤ˦$
出	ʦʰəʔ˥$
击	ʨiəʔ˥$
凼	dɔ̃˩˩˧$
函	ɦɛ˨$
凿	zoʔ˨$
刀	tɔ˦$
刁	tiɔ˦$
刃	zən˩˩˧$
分	fən˦$
切	ʦʰiəʔ˥$
刈	ȵi˩˩˧$
刉	ʨi˦$
刊	kʰɛ˦$
刍	ʦʰu˦$
刎	ʔvən˥˧$
刑	ɦin˨$
划	ɦo˨$
刖	ɦiəʔ˨$
列	liəʔ˨$
刘	lɤ˨$
则	ʦəʔ˥$
刚	kuɔ̃˦$
创	ʦʰɔ̃˧˧˦$
初	ʦʰu˦$
删	sæ˦$
判	pʰɛ˧˧˦$
別	biəʔ˨$
刨	bɔ˨$
利	li˩˩˧$
刪	sæ˦$
别	biəʔ˨$
刬	ɦuaʔ˨$
刭	ʨin˥˧$
刮	kuaʔ˥$
到	tɔ˧˧˦$
刲	kʰui˦$
刳	kʰu˦$
制	ʦɿ˧˧˦$
刷	saʔ˥$
券	ʨʰiɛ˧˧˦$
刹	ʦʰaʔ˥$
刺	ʦʰɿ˧˧˦$
刻	kʰəʔ˥$
刽	kui˧˧˦$
刿	kui˧˧˦$
剁	tu˧˧˦$
剂	ʦi˧˧˦$
剃	tʰi˧˧˦$
剄	ʨin˥˧$
則	ʦəʔ˥$
削	siaʔ˥$
剋	kʰəʔ˥$
剌	laʔ˨$
前	ziɛ˨$
剎	saʔ˥$
剐	kua˥˧$
剑	ʨiɛ˧˧˦$
剔	tʰiəʔ˥$
剖	pʰu˧˧˦$
剗	ɦuaʔ˨$
剛	kuɔ̃˦$
剜	uɛ˦$
剝	poʔ˥$
剟	təʔ˥$
剡	iɛ˥˧$
剥	poʔ˥$
剧	ʥiəʔ˨$
剩	zã˩˩˧$
剪	ʦiɛ˥˧$
剭	oʔ˥$
剮	kua˥˧$
副	fu˧˧˦$
割	kəʔ˥$
創	ʦʰɔ̃˧˧˦$
剷	ʦʰæ˥˧$
剽	biɔ˨$
剿	ʦiɔ˥˧$
劀	kuaʔ˥$
劂	ʨiəʔ˥$
劃	ɦo˨$
劄	ʦaʔ˥$
劇	ʥiəʔ˨$
劈	pʰiəʔ˥$
劉	lɤ˨$
劊	kui˧˧˦$
劌	kui˧˧˦$
劍	ʨiɛ˧˧˦$
劑	ʦi˧˧˦$
劗	ʦæ˦$
力	liəʔ˨$
劜	gaʔ˨$
劝	ʨʰiɛ˧˧˦$
办	bæ˩˩˧$
功	kõ˦$
加	kaʔ˨$
务	vu˩˩˧$
劣	liəʔ˨$
劦	jaʔ˨$
动	dõ˦˨$
助	zu˩˩˧$
努	ʔnu˥˧$
劫	ʨiəʔ˥$
劬	ʥi˨$
励	li˩˩˧$
劲	ʥin˩˩˧$
劳	lɔ˨$
劼	ʥiəʔ˨$
劾	ɦəʔ˨$
势	sɿ˧˧˦$
勁	ʥin˩˩˧$
勃	bəʔ˨$
勇	iõ˥˧$
勉	ʔmiɛ˥˧$
勋	ɕin˦$
勒	ləʔ˨$
動	dõ˦˨$
勖	ɕioʔ˥$
勗	ɕioʔ˥$
勘	kʰɛ˦$
務	vu˩˩˧$
勚	i˧˧˦$
勛	ɕin˦$
勝	sən˧˧˦$
勞	lɔ˨$
募	mo˩˩˧$
勢	sɿ˧˧˦$
勤	ʥin˨$
勩	i˧˧˦$
勰	jaʔ˨$
