㔢	ʨiæʔ˥$
依	i˧˧˦$
侠	ɦiæʔ˨˧$
侣	ly˨˩˦$
侥	kiau˧˨˥$
侦	ʨiŋ˧˧˦$
侧	ʦʰøʔ˥$
侨	giau˨˨˦$
侮	vu˨˩˦$
侯	ɦɤu˨˨˦$
侵	ʨʰiŋ˧˨˥$
侶	ly˨˩˦$
侷	gyuʔ˨˧$
便	biᴇ˨˨˦$
促	ʦʰoʔ˥$
俄	ŋou˨˨˦$
俊	ʨyoŋ˥$
俌	fu˧˨˥$
俎	ʦu˧˨˥$
俏	ʨʰiau˥$
俗	ʑyuʔ˨˧$
俘	fu˧˧˦$
俚	li˨˩˦$
保	pau˧˨˥$
俞	ɦy˨˨˦$
俟	zɿ˨˩˦$
俠	ɦiæʔ˨˧$
信	ɕiŋ˥$
俦	ʥiɤu˨˨˦$
俨	niᴇ˨˩˦$
俪	li˧˥$
俭	giᴇ˨˩˦$
修	ɕiɤu˧˧˦$
俯	fu˧˨˥$
俱	gy˧˥$
俳	ba˨˨˦$
俸	voŋ˧˥$
俾	pi˧˨˥$
倀	ʨʰiaŋ˥$
倅	ʦʰei˥$
倉	ʦʰɔ̃˧˧˦$
個	kou˥$
倌	kuø˧˧˦$
倍	bei˨˩˦$
倏	ɕyuʔ˥$
倒	tau˧˨˥$
倔	gyəʔ˨˧$
倖	ɦaŋ˨˩˦$
倘	tʰɔ̃˧˨˥$
候	ɦɤu˧˥$
倚	i˧˨˥$
倜	tʰiɪʔ˥$
倞	giŋ˧˥$
借	ʨia˥$
倡	ʦʰɔ̃˧˧˦$
倦	gyø˧˥$
倨	ky˥$
倪	ni˨˨˦$
倫	ləŋ˨˨˦$
倭	o˧˧˦$
债	ʦa˥$
值	ʥiɪʔ˨˧$
倾	kʰiŋ˧˧˦$
假	kia˧˨˥$
偉	ɦuei˨˩˦$
偎	uei˧˧˦$
偏	pʰiᴇ˧˧˦$
偕	ka˧˧˦$
做	ʦou˥$
停	diŋ˨˨˦$
健	giᴇ˧˥$
側	ʦʰøʔ˥$
偵	ʨiŋ˧˧˦$
偶	ŋɤu˨˩˦$
偷	tʰɤu˧˧˦$
偻	lɤu˨˨˦$
偽	ny˧˥$
偿	zɔ̃˨˨˦$
傀	kuei˧˨˥$
傅	fu˥$
傍	bɔ̃˨˨˦$
傑	giæʔ˨˧$
傒	ɦi˨˨˦$
傘	sᴇ˧˨˥$
備	bi˧˥$
傢	kia˧˧˦$
傥	tʰɔ̃˧˨˥$
傧	piŋ˥$
储	ʥy˨˩˦$
催	ʦʰei˧˧˦$
傭	ɦyoŋ˧˥$
傲	ŋau˧˥$
傳	ʥyø˨˨˦$
傴	ɤu˧˧˦$
債	ʦa˥$
傷	sɔ̃˧˧˦$
傻	sa˧˨˥$
傾	kʰiŋ˧˧˦$
僂	lɤu˨˨˦$
僅	giŋ˧˥$
僉	ʨʰiᴇ˧˧˦$
像	ʑiaŋ˨˩˦$
僑	giau˨˨˦$
僕	boʔ˨˧$
僚	liau˨˨˦$
僝	zᴇ˨˨˦$
僥	kiau˧˨˥$
僧	səŋ˧˧˦$
僬	ʨiau˧˧˦$
僭	ʨiᴇ˥$
僮	doŋ˨˨˦$
僱	ku˥$
僵	kiaŋ˧˧˦$
僶	miŋ˨˩˦$
價	kia˥$
僻	pʰiɪʔ˥$
儀	ni˨˨˦$
億	i˥$
儆	kiŋ˧˨˥$
儇	huᴇ˧˧˦$
儉	giᴇ˨˩˦$
儐	piŋ˥$
儒	ʑy˨˨˦$
儔	ʥiɤu˨˨˦$
償	zɔ̃˨˨˦$
儡	lei˨˩˦$
優	iɤu˧˧˦$
儲	ʥy˨˩˦$
儷	li˧˥$
儻	tʰɔ̃˧˨˥$
儼	niᴇ˨˩˦$
儿	n˨˨˦$
兀	ɦuøʔ˨˧$
允	ɦyoŋ˨˩˦$
元	nyø˨˨˦$
兄	hyoŋ˧˧˦$
充	ʨʰyoŋ˧˧˦$
兆	ʥiau˨˩˦$
兇	hyoŋ˧˧˦$
先	ɕiᴇ˧˧˦$
光	kuɔ̃˧˧˦$
克	kʰæʔ˥$
兌	dei˧˥$
免	miᴇ˨˩˦$
兑	dei˧˥$
兒	n˨˨˦$
兔	tʰu˥$
兕	zɿ˨˩˦$
兖	ɦiᴇ˨˩˦$
兗	ɦiᴇ˨˩˦$
党	tɔ̃˧˨˥$
兜	tɤu˧˧˦$
兢	kiŋ˧˧˦$
入	ʑiɪʔ˨˧$
內	nei˧˥$
全	ʑyø˨˨˦$
兩	liaŋ˨˩˦$
八	pæʔ˥$
公	koŋ˧˧˦$
六	loʔ˨˧$
兮	ɦi˨˨˦$
兰	lᴇ˨˨˦$
共	goŋ˧˥$
关	kuᴇ˧˧˦$
兴	hiŋ˧˧˦$
兵	piŋ˧˧˦$
其	gi˨˨˦$
具	gy˧˥$
典	tiᴇ˧˨˥$
兹	ʦɿ˧˧˦$
养	iaŋ˧˨˥$
兼	kiᴇ˧˧˦$
兽	ɕiɤu˥$
内	nei˧˥$
冇	mɤu˨˩˦$
冈	kɔ̃˧˧˦$
冉	niᴇ˨˩˦$
冊	ʦʰaʔ˥$
册	ʦʰaʔ˥$
再	ʦei˥$
冒	mau˧˥$
冕	miᴇ˨˩˦$
冗	nyoŋ˨˩˦$
写	ɕia˧˨˥$
军	kyoŋ˧˧˦$
农	noŋ˨˨˦$
冠	kuø˧˧˦$
冢	ʨyoŋ˧˨˥$
冤	yø˧˧˦$
冥	miŋ˨˨˦$
冪	miɪʔ˨˧$
冬	toŋ˧˧˦$
冯	voŋ˨˨˦$
冰	piŋ˧˧˦$
冲	ʨʰyoŋ˧˧˦$
决	kyəʔ˥$
况	huɔ̃˥$
冶	ɦia˨˩˦$
冷	laŋ˨˩˦$
冻	toŋ˥$
凄	ʨʰi˧˧˦$
准	ʨyoŋ˧˨˥$
凉	liaŋ˨˨˦$
凋	tiau˧˧˦$
凌	liŋ˨˨˦$
凍	toŋ˥$
减	kᴇ˧˨˥$
凑	ʦʰɤu˥$
凛	liŋ˨˩˦$
凜	liŋ˨˩˦$
凝	niŋ˨˨˦$
几	ki˧˧˦$
凡	vᴇ˨˨˦$
凤	voŋ˧˥$
凭	biŋ˨˨˦$
凯	kʰei˧˨˥$
凱	kʰei˧˨˥$
凳	təŋ˥$
凶	hyoŋ˧˧˦$
凸	duəʔ˨˧$
凹	au˧˧˦$
出	ʨʰyʔ˥$
击	kiɪʔ˥$
函	ɦᴇ˨˨˦$
凿	zɔʔ˨˧$
刀	tau˧˧˦$
刁	tiau˧˧˦$
刃	ʑiŋ˧˥$
分	fəŋ˧˧˦$
切	ʨʰiæʔ˥$
刈	ni˧˥$
刊	kʰᴇ˧˧˦$
刍	ʨʰy˧˧˦$
刎	vəŋ˨˩˦$
刑	ɦiŋ˨˨˦$
划	ɦua˧˥$
刖	nyəʔ˨˧$
列	liæʔ˨˧$
刘	liɤu˨˨˦$
则	ʦøʔ˥$
刚	kɔ̃˧˧˦$
创	ʦʰɔ̃˥$
初	ʦʰu˧˧˦$
