㔢	ʨiæʔ˥$
塘	dɔ̃˨˨˦$
塞	søʔ˥$
塢	u˧˨˥$
填	diᴇ˨˨˦$
塳	boŋ˨˨˦$
塵	ʥiŋ˨˨˦$
塾	ʑyuʔ˨˧$
境	kiŋ˧˨˥$
墅	ʑy˨˩˦$
墉	yoŋ˧˧˦$
墊	diᴇ˧˥$
墒	sɔ̃˧˧˦$
墓	mu˧˥$
墙	ʑiaŋ˨˨˦$
墜	ʣei˧˥$
增	ʦəŋ˧˧˦$
墟	kʰy˧˧˦$
墨	møʔ˨˧$
墩	təŋ˧˧˦$
墮	do˨˩˦$
墳	vəŋ˨˨˦$
墻	ʑiaŋ˨˨˦$
墾	kʰəŋ˧˨˥$
壁	piɪʔ˥$
壇	dᴇ˨˨˦$
壎	hyø˧˧˦$
壑	hɔʔ˥$
壓	æʔ˥$
壕	ɦau˨˨˦$
壘	lei˨˩˦$
壙	kʰuɔ̃˥$
壚	lu˨˨˦$
壞	ɦua˧˥$
壟	loŋ˨˩˦$
壠	loŋ˨˩˦$
壤	ʑiaŋ˧˥$
壩	pa˥$
士	zɿ˨˩˦$
壬	niŋ˨˨˦$
壮	ʨyɔ̃˥$
壯	ʨyɔ̃˥$
声	ɕiŋ˧˧˦$
壳	kʰɔʔ˥$
壶	ɦu˨˨˦$
壸	kʰuəŋ˧˨˥$
壹	iɪʔ˥$
壺	ɦu˨˨˦$
壻	ɕi˥$
壽	ʑiɤu˧˥$
处	ʨʰy˧˨˥$
备	bi˧˥$
复	voʔ˨˧$
夏	hia˥$
夔	guei˨˨˦$
夕	ʑiɪʔ˨˧$
外	ŋa˧˥$
夙	ɕyuʔ˥$
多	tou˧˧˦$
夜	ɦia˧˥$
够	kɤu˥$
夠	kɤu˥$
夢	moŋ˧˥$
大	da˧˥$
天	tʰiᴇ˧˧˦$
太	tʰa˥$
夫	fu˧˧˦$
夭	iau˧˧˦$
央	iaŋ˧˧˦$
夯	haŋ˧˧˦$
头	dɤu˨˨˦$
夷	ɦi˨˨˦$
夸	kʰua˧˧˦$
夹	kæʔ˥$
夺	duəʔ˨˧$
夾	kæʔ˥$
奁	liᴇ˨˨˦$
奂	ɦuø˧˥$
奇	ki˧˧˦$
奈	na˧˥$
奉	voŋ˨˩˦$
奋	fəŋ˥$
奎	kʰuei˧˧˦$
奏	ʦɤu˥$
奐	ɦuø˧˥$
契	kʰi˥$
奔	pəŋ˧˧˦$
奕	ɦiɪʔ˨˧$
奖	ʨiaŋ˧˨˥$
套	tʰau˥$
奘	ʦɔ̃˧˧˦$
奚	ɦi˨˨˦$
奠	diᴇ˧˥$
奢	so˧˧˦$
奥	au˥$
奧	au˥$
奪	duəʔ˨˧$
奮	fəŋ˥$
女	ny˨˩˦$
奴	nu˨˨˦$
奶	na˨˩˦$
奸	kᴇ˧˧˦$
她	tʰa˧˧˦$
好	hau˧˨˥$
如	ʑy˨˨˦$
妃	fi˧˧˦$
妄	vɔ̃˧˥$
妆	ʦɔ̃˧˧˦$
妇	vu˨˩˦$
妊	ʑiŋ˧˥$
妍	niᴇ˨˩˦$
妒	tu˥$
妓	gi˨˩˦$
妖	iau˧˧˦$
妗	giŋ˨˩˦$
妙	miau˧˥$
妝	ʦɔ̃˧˧˦$
妣	pi˧˨˥$
妥	tʰo˧˨˥$
妨	fɔ̃˧˧˦$
妪	y˧˧˦$
妫	kuei˧˧˦$
妯	ʥyuʔ˨˧$
妲	tæʔ˥$
妹	mei˧˥$
妻	ʨʰi˧˧˦$
妾	ʨʰiæʔ˥$
姆	mu˨˩˦$
姊	ʦɿ˧˨˥$
始	sɿ˧˨˥$
姍	sᴇ˧˧˦$
姐	ʨia˧˨˥$
姑	ku˧˧˦$
姒	zɿ˨˩˦$
姓	ɕiŋ˥$
委	uei˧˨˥$
姗	sᴇ˧˧˦$
姘	pʰiŋ˧˧˦$
姚	ɦiau˨˨˦$
姜	kiaŋ˧˧˦$
姝	ɕy˧˧˦$
姣	kau˧˨˥$
姥	lau˨˩˦$
姨	ɦi˨˨˦$
姬	ki˧˧˦$
姱	kʰua˧˧˦$
姻	iŋ˧˧˦$
姿	ʦɿ˧˧˦$
威	uei˧˧˦$
娃	ua˧˧˦$
娄	lɤu˨˨˦$
娅	o˥$
娇	kiau˧˧˦$
娌	li˨˩˦$
娑	so˧˧˦$
娓	vi˨˩˦$
娘	niaŋ˨˨˦$
娛	ny˨˨˦$
娟	kyø˧˧˦$
娠	ɕiŋ˧˧˦$
娣	di˨˩˦$
娥	ŋou˨˨˦$
娩	miᴇ˨˩˦$
娱	ny˨˨˦$
娲	kuo˧˧˦$
娴	ɦᴇ˨˨˦$
娶	ʨʰy˧˨˥$
娼	ʦʰɔ̃˧˧˦$
婁	lɤu˨˨˦$
婆	bou˨˨˦$
婉	uø˧˨˥$
婚	huəŋ˧˧˦$
婢	bi˨˩˦$
婦	vu˨˩˦$
婧	ʑiŋ˨˩˦$
婪	lø˨˨˦$
婭	o˥$
婴	iŋ˧˧˦$
婵	ʑiᴇ˨˨˦$
婶	ɕiŋ˧˨˥$
婷	diŋ˨˨˦$
婺	ɦu˧˥$
婿	ɕi˥$
媒	mei˨˨7$
媚	mei˧˥$
媛	ɦyø˧˥$
媧	kuo˧˧˦$
媪	au˧˨˥$
媯	kuei˧˧˦$
媳	ɕiɪʔ˥$
媵	ɦiŋ˧˥$
媼	au˧˨˥$
媾	kɤu˥$
嫁	kia˥$
嫂	sau˧˨˥$
嫌	ɦiᴇ˨˨˦$
嫔	biŋ˨˨˦$
嫖	biau˨˨˦$
嫗	y˧˧˦$
嫘	lei˨˨˦$
嫚	mᴇ˧˥$
嫡	tiɪʔ˥$
嫣	iᴇ˧˧˦$
嫦	zɔ̃˨˨˦$
嫩	nəŋ˧˥$
嫱	ʑiaŋ˨˨˦$
嫻	ɦᴇ˨˨˦$
嬃	ɕy˧˧˦$
嬉	hi˧˧˦$
嬋	ʑiᴇ˨˨˦$
嬌	kiau˧˧˦$
嬖	pi˥$
嬗	ʑiᴇ˧˥$
嬙	ʑiaŋ˨˨˦$
嬛	huᴇ˧˧˦$
嬪	biŋ˨˨˦$
嬰	iŋ˧˧˦$
嬲	niau˨˩˦$
嬴	ɦiŋ˨˨˦$
嬸	ɕiŋ˧˨˥$
孀	sɔ̃˧˧˦$
孃	niaŋ˨˨˦$
孅	ɕiᴇ˧˧˦$
子	ʦɿ˧˨˥$
孑	kiæʔ˥$
孓	kyəʔ˥$
孔	kʰoŋ˧˨˥$
孕	ɦiŋ˧˥$
字	zɿ˧˥$
存	zəŋ˨˨˦$
孙	səŋ˧˧˦$
孚	fu˧˧˦$
孜	ʦɿ˧˧˦$
孝	hau˥$
孟	maŋ˧˥$
季	ki˥$
孤	ku˧˧˦$
孥	nu˨˨˦$
学	ɦyɔʔ˨˧$
孩	ɦei˨˨˦$
孫	səŋ˧˧˦$
孰	ʑyuʔ˨˧$
孱	zᴇ˨˨˦$
孳	ʦɿ˧˧˦$
孵	bu˧˥$
學	ɦyɔʔ˨˧$
孺	ʑy˧˥$
孽	niæʔ˨˧$
宁	niŋ˨˨˦$
它	tʰa˧˧˦$
宅	ʣaʔ˨˧$
宇	ɦy˨˩˦$
守	ɕiɤu˧˨˥$
安	ᴇ˧˧˦$
宋	soŋ˥$
完	ɦuø˨˨˦$
宏	ɦoŋ˨˨˦$
宓	miɪʔ˨˧$
宕	dɔ̃˧˥$
宗	ʦoŋ˧˧˦$
官	kuø˧˧˦$
宙	ʥiɤu˧˥$
定	diŋ˧˥$
宛	uø˧˨˥$
宜	ni˨˨˦$
宝	pau˧˨˥$
实	ʑiɪʔ˨˧$
宠	ʨʰyoŋ˧˨˥$
审	ɕiŋ˧˨˥$
客	kʰaʔ˥$
宣	ɕyø˧˧˦$
室	ɕiɪʔ˥$
宥	ɦiɤu˧˥$
宦	ɦuᴇ˧˥$
宪	hiᴇ˥$
宫	kyoŋ˧˧˦$
宮	kyoŋ˧˧˦$
宰	ʦei˧˨˥$
害	ɦei˧˥$
宴	iᴇ˥$
宵	ɕiau˧˧˦$
家	kia˧˧˦$
宸	ʑiŋ˨˨˦$
容	ɦyoŋ˨˨˦$
宽	kʰuø˧˧˦$
宾	piŋ˧˧˦$
宿	ɕiɤu˥$
寂	ʑiɪʔ˨˧$
寄	ki˥$
寅	ɦiŋ˨˨˦$
密	miɪʔ˨˧$
寇	kʰɤu˥$
富	fu˥$
寐	mei˧˥$
寒	ɦᴇ˨˨˦$
寓	ny˧˥$
寝	ʨʰiŋ˧˨˥$
寞	mɔʔ˨˧$
察	ʦʰæʔ˥$
寡	kua˧˨˥$
寢	ʨʰiŋ˧˨˥$
寤	ɦu˧˥$
寥	liau˨˨˦$
實	ʑiɪʔ˨˧$
寧	niŋ˨˨˦$
寨	ʣa˧˥$
審	ɕiŋ˧˨˥$
寫	ɕia˧˨˥$
寬	kʰuø˧˧˦$
寰	ɦuᴇ˨˨˦$
寵	ʨʰyoŋ˧˨˥$
寶	pau˧˨˥$
寸	ʦʰəŋ˥$
对	tei˥$
寺	zɿ˧˥$
寻	ʑiŋ˨˨˦$
导	dau˧˥$
寿	ʑiɤu˧˥$
封	foŋ˧˧˦$
射	zo˧˥$
将	ʨiaŋ˧˧˦$
將	ʨiaŋ˧˧˦$
專	ʨyø˧˧˦$
尉	uei˥$
尊	ʦəŋ˧˧˦$
尋	ʑiŋ˨˨˦$
對	tei˥$
導	dau˧˥$
小	ɕiau˧˨˥$
少	ɕiau˧˨˥$
尔	ŋ˨˩˦$
尖	ʨiᴇ˧˧˦$
尘	ʥiŋ˨˨˦$
尚	zɔ̃˧˥$
尝	zɔ̃˨˨˦$
尤	ɦiɤu˨˨˦$
尥	liau˧˥$
尧	niau˨˨˦$
尨	mɔ̃˨˨˦$
尬	ka˥$
就	ʑiɤu˧˥$
尴	kᴇ˧˧˦$
尷	kᴇ˧˧˦$
尸	sɿ˧˧˦$
尹	ɦiŋ˨˩˦$
尺	ʨʰiɪʔ˥$
尼	ni˨˨˦$
尽	ʑiŋ˨˩˦$
尾	mi˨˩˦$
尿	niau˧˥$
局	gyuʔ˨˧$
屁	pʰi˥$
层	zəŋ˨˨˦$
居	ky˧˧˦$
屆	ka˥$
屈	kʰyuʔ˥$
屉	tʰi˥$
届	ka˥$
屋	oʔ˥$
屎	sɿ˧˨˥$
屏	biŋ˨˨˦$
屐	giɪʔ˨˧$
屑	ɕiæʔ˥$
展	ʨiᴇ˧˨˥$
屙	ou˥$
屜	tʰi˥$
属	ʨyuʔ˥$
屠	du˨˨˦$
屡	ly˨˩˦$
屢	ly˨˩˦$
屣	ɕi˧˨˥$
層	zəŋ˨˨˦$
履	ly˨˩˦$
屬	ʨyuʔ˥$
屯	dəŋ˨˨˦$
山	sᴇ˧˧˦$
屹	iɪʔ˥$
屿	ɦy˨˩˦$
岁	ɕy˥$
岂	kʰi˧˨˥$
岐	gi˨˨˦$
岑	zəŋ˨˨˦$
岔	ʦʰa˥$
岖	kʰy˧˧˦$
岗	kɔ̃˧˧˦$
岘	ɦiᴇ˨˩˦$
岙	au˥$
岛	tau˧˨˥$
岡	kɔ̃˧˧˦$
岩	ŋᴇ˨˨˦$
岫	ʑiɤu˧˥$
岭	liŋ˨˩˦$
岳	ŋɔʔ˨˧$
岸	ɦᴇ˧˥$
岿	kʰuei˧˧˦$
峁	mau˨˩˦$
峒	doŋ˧˥$
峙	ʣɿ˨˩˦$
峡	kæʔ˥$
峦	luø˨˨˦$
峧	gau˧˥$
峨	ŋou˨˨˦$
峭	ʨʰiau˥$
峰	foŋ˧˧˦$
峴	ɦiᴇ˨˩˦$
島	tau˧˨˥$
峻	ʨyoŋ˥$
峽	kæʔ˥$
崇	zoŋ˨˨˦$
崎	gi˨˨˦$
崔	ʦʰei˧˧˦$
崖	ŋa˨˨˦$
崗	kɔ̃˧˧˦$
崛	gyəʔ˨˧$
崞	kuɔʔ˥$
崦	iᴇ˧˧˦$
崩	pəŋ˧˧˦$
嵇	ki˧˧˦$
嵋	mei˨˧0$
嵌	kʰᴇ˥$
嵚	kʰiŋ˧˧˦$
嵩	ɕyoŋ˧˧˦$
嵬	ɦuei˨˨˦$
嵯	zo˨˨˦$
嶂	ʦɔ̃˥$
嶇	kʰy˧˧˦$
嶔	kʰiŋ˧˧˦$
嶙	liŋ˨˨˦$
嶝	təŋ˥$
嶷	ni˨˨˦$
嶺	liŋ˨˩˦$
嶼	ɦy˨˩˦$
嶽	ŋɔʔ˨˧$
巅	tiᴇ˧˧˦$
巉	zᴇ˨˨˦$
巋	kʰuei˧˧˦$
巍	ɦuei˨˨˦$
巒	luø˨˨˦$
巔	tiᴇ˧˧˦$
川	ʨʰyø˧˧˦$
州	ʨiɤu˧˧˦$
巡	ʑyoŋ˨˨˦$
巢	zau˨˨˦$
工	koŋ˧˧˦$
左	ʦo˧˨˥$
巧	kʰiau˧˨˥$
巨	gy˨˩˦$
巩	koŋ˧˨˥$
巫	vu˨˨˦$
差	ʦʰa˧˧˦$
己	ki˧˨˥$
已	ɦi˨˩˦$
巳	zɿ˨˩˦$
巴	pa˧˧˦$
巷	ɦɔ̃˧˥$
巹	kiŋ˧˨˥$
巾	kiŋ˧˧˦$
币	bi˧˥$
市	zɿ˨˩˦$
布	pu˥$
帅	sei˥$
帆	fᴇ˧˧˦$
师	sɿ˧˧˦$
希	hi˧˧˦$
帏	ɦuei˨˨˦$
帐	ʨiaŋ˥$
帑	tʰɔ̃˧˨˥$
帔	pʰi˧˧˦$
帕	pʰa˥$
帖	tʰiæʔ˥$
帘	liᴇ˨˨˦$
帚	ʨiɤu˧˨˥$
帛	baʔ˨˧$
帜	ʦɿ˥$
帝	ti˥$
帥	sei˥$
带	ta˥$
帧	ʨiŋ˧˧˦$
師	sɿ˧˧˦$
席	ʑiɪʔ˨˧$
帮	pɔ̃˧˧˦$
帳	ʨiaŋ˥$
帶	ta˥$
帷	vi˨˨˦$
常	zɔ̃˨˨˦$
帼	kuaʔ˥$
帽	mau˧˥$
幀	ʨiŋ˧˧˦$
幂	miɪʔ˨˧$
幃	ɦuei˨˨˦$
幄	uɔʔ˥$
幅	foʔ˥$
幌	huɔ̃˧˨˥$
幔	mᴇ˧˥$
幕	mɔʔ˨˧$
幗	kuaʔ˥$
幟	ʦɿ˥$
幡	fᴇ˧˧˦$
幢	ʥyɔ̃˨˩˦$
幣	bi˧˥$
幪	moŋ˨˨˦$
幫	pɔ̃˧˧˦$
干	kᴇ˧˧˦$
平	biŋ˨˨˦$
年	niᴇ˨˨˦$
并	piŋ˧˧˦$
幸	ɦaŋ˨˩˦$
幹	kᴇ˥$
幺	iau˧˧˦$
幻	ɦuᴇ˧˥$
幼	iɤu˥$
幽	iɤu˧˧˦$
幾	ki˧˨˥$
广	kuɔ̃˧˨˥$
庄	ʦɔ̃˧˧˦$
庆	kʰiŋ˥$
庇	pi˥$
床	zɔ̃˨˨˦$
庎	ka˥$
序	ʑy˨˩˦$
庐	lu˨˨˦$
庑	vu˨˩˦$
库	kʰu˥$
应	iŋ˧˧˦$
底	ti˧˨˥$
店	tiᴇ˥$
庙	miau˧˥$
庚	kaŋ˧˧˦$
庛	ʦʰɿ˥$
府	fu˧˨˥$
庞	bɔ̃˨˨˦$
废	fi˥$
庠	ʑiaŋ˨˨˦$
度	du˧˥$
座	zo˨˩˦$
庫	kʰu˥$
庭	diŋ˨˨˦$
庵	ᴇ˧˧˦$
庶	ɕy˥$
康	kʰɔ̃˧˧˦$
庸	yoŋ˧˧˦$
庹	tʰɔʔ˥$
庾	ɦy˨˩˦$
廁	ʦʰɿ˥$
廂	ɕiaŋ˧˧˦$
廄	kiɤu˥$
廈	ɦo˨˩˦$
廉	liᴇ˨˨˦$
廊	lɔ̃˨˨˦$
廓	kʰuɔʔ˥$
廖	liau˧˥$
廚	ʥy˨˨˦$
廝	sɿ˧˧˦$
廟	miau˧˥$
廠	ʨʰiaŋ˧˨˥$
廡	vu˨˩˦$
廢	fi˥$
廣	kuɔ̃˧˨˥$
廩	liŋ˨˩˦$
廪	liŋ˨˩˦$
廬	lu˨˨˦$
廳	tʰiŋ˧˧˦$
延	ɦiᴇ˨˨˦$
廷	diŋ˨˨˦$
建	kiᴇ˥$
廿	niᴇ˧˥$
开	kʰei˧˧˦$
弁	biᴇ˧˥$
异	ɦi˧˥$
弃	kʰi˥$
弄	loŋ˧˥$
弈	ɦiɪʔ˨˧$
弊	bi˧˥$
弋	ɦiɪʔ˨˧$
式	ɕiɪʔ˥$
弓	kyoŋ˧˧˦$
弔	tiau˥$
引	ɦiŋ˨˩˦$
弗	føʔ˥$
弘	ŋ˨˨˦$
弛	ʣɿ˨˨˦$
弟	di˨˩˦$
张	ʨiaŋ˧˧˦$
弢	tʰau˧˧˦$
弥	mi˨˨˦$
弦	ɦiᴇ˨˨˦$
弧	ɦu˨˨˦$
弩	nu˨˩˦$
弯	uᴇ˧˧˦$
弱	ʑiaʔ˨˧$
張	ʨiaŋ˧˧˦$
弶	giaŋ˧˥$
強	giaŋ˨˨˦$
弹	dᴇ˨˨˦$
强	giaŋ˨˨˦$
弼	biɪʔ˨˧$
彆	piæʔ˥$
彈	dᴇ˨˨˦$
彌	mi˨˨˦$
彎	uᴇ˧˧˦$
归	kuei˧˧˦$
当	tɔ̃˧˧˦$
录	loʔ˨˧$
彖	tʰuø˥$
彗	ɦuei˧˥$
彙	ɦuei˧˥$
彝	ɦi˨˨˦$
形	ɦiŋ˨˨˦$
彤	doŋ˨˨˦$
彥	ŋᴇ˧˥$
彦	ŋᴇ˧˥$
彧	yuʔ˥$
彩	ʦʰei˧˨˥$
彪	piau˧˧˦$
彬	piŋ˧˧˦$
彭	baŋ˨˨˦$
影	iŋ˧˨˥$
彷	bɔ̃˨˨˦$
役	ɦiɪʔ˨˧$
彻	ʨʰiæʔ˥$
彼	pi˧˨˥$
往	uɔ̃˧˨˥$
征	ʨiŋ˧˧˦$
徂	zu˨˨˦$
径	kiŋ˥$
待	dei˨˩˦$
很	həŋ˧˨˥$
徉	ɦiaŋ˨˨˦$
律	liɪʔ˨˧$
後	ɦɤu˨˩˦$
徐	ʑy˨˨˦$
徑	kiŋ˥$
徒	du˨˨˦$
得	tøʔ˥$
徙	ɕi˧˨˥$
徛	gi˨˩˦$
徜	zɔ̃˨˨˦$
從	ʦʰoŋ˧˧˦$
御	ny˧˥$
徨	ɦuɔ̃˨˨˦$
復	voʔ˨˧$
循	ʑyoŋ˨˨˦$
徭	ɦiau˨˨˦$
微	vi˨˨˦$
德	tøʔ˥$
徹	ʨʰiæʔ˥$
徼	kiau˥$
徽	huei˧˧˦$
心	ɕiŋ˧˧˦$
必	piɪʔ˥$
忆	i˥$
忌	gi˧˥$
忍	ʑiŋ˨˩˦$
忏	ʦʰᴇ˥$
忐	tʰᴇ˧˨˥$
忑	tʰøʔ˥$
忒	tʰøʔ˥$
忖	ʦʰəŋ˧˨˥$
志	ʦɿ˥$
忘	mɔ̃˧˥$
忙	mɔ̃˨˨˦$
忝	tʰiᴇ˧˨˥$
忠	ʨyoŋ˧˧˦$
忡	ʨʰyoŋ˧˧˦$
忤	ɦu˨˩˦$
忧	iɤu˧˧˦$
快	kʰua˥$
忱	ʑiŋ˨˩˦$
念	niᴇ˧˥$
忻	hiŋ˧˧˦$
忽	huøʔ˥$
忾	kʰei˥$
忿	vəŋ˨˩˦$
怀	ɦua˨˨˦$
态	tʰei˥$
怂	soŋ˧˨˥$
怃	vu˨˩˦$
怄	ɤu˥$
怅	ʨʰiaŋ˥$
怆	ʨʰiaŋ˥$
怍	zɔʔ˨˧$
怎	ʦəŋ˧˨˥$
怒	nu˧˥$
怕	pʰa˥$
怖	pu˥$
怙	ɦu˨˩˦$
怛	tæʔ˥$
怜	liᴇ˨˨˦$
思	sɿ˧˧˦$
怠	dei˨˩˦$
怡	ɦi˨˨˦$
急	kiɪʔ˥$
怦	pʰaŋ˧˧˦$
性	ɕiŋ˥$
怨	yø˥$
怪	kua˥$
怯	kʰiæʔ˥$
怵	ʨʰyʔ˥$
总	ʦoŋ˧˨˥$
恃	zɿ˨˩˦$
恆	ɦəŋ˨˨˦$
恇	kʰuɔ̃˧˧˦$
恋	liᴇ˧˥$
恍	huɔ̃˧˨˥$
恐	kʰoŋ˧˨˥$
恒	ɦəŋ˨˨˦$
恕	ɕy˥$
恙	ɦiaŋ˧˥$
恢	huei˧˧˦$
恣	ʦɿ˥$
恤	ɕyʔ˥$
恥	ʦʰɿ˧˨˥$
恨	ɦəŋ˧˥$
恩	əŋ˧˧˦$
恫	doŋ˧˥$
恭	koŋ˧˧˦$
息	ɕiɪʔ˥$
恰	kʰæʔ˥$
恳	kʰəŋ˧˨˥$
恶	u˥$
恸	doŋ˧˥$
恺	kʰei˧˨˥$
恻	ʦʰøʔ˥$
恼	nau˨˩˦$
恿	yoŋ˧˨˥$
悃	kʰuəŋ˧˨˥$
悄	ʨʰiau˧˨˥$
悅	ɦiaʔ˨˧$
悉	ɕiɪʔ˥$
悌	di˨˩˦$
悍	ɦᴇ˧˥$
悒	iɪʔ˥$
悔	huei˧˨˥$
悖	bei˧˥$
悚	soŋ˧˨˥$
悛	ʨʰyø˧˧˦$
悝	kʰuei˧˧˦$
悟	ɦu˧˥$
悠	iɤu˧˧˦$
患	ɦuᴇ˧˥$
悦	ɦiaʔ˨˧$
悬	ɦyø˨˨˦$
悯	miŋ˨˩˦$
悲	pei˧˧˦$
悴	ʦʰei˥$
悵	ʨʰiaŋ˥$
悶	məŋ˧˥$
悸	gi˧˥$
悻	ɦiŋ˨˩˦$
悼	dau˧˥$
悽	ʨʰi˧˧˦$
情	ʑiŋ˨˨˦$
惇	təŋ˧˧˦$
惊	kiŋ˧˧˦$
惋	uø˥$
惑	ɦuəʔ˨˧$
惕	tʰiɪʔ˥$
惘	mɔ̃˨˩˦$
惚	huøʔ˥$
惛	huəŋ˧˧˦$
惜	ɕiɪʔ˥$
惟	vi˨˨˦$
惠	ɦuei˧˥$
惡	u˥$
惧	gy˧˥$
惨	ʦʰø˧˨˥$
惩	ʥiŋ˨˨˦$
惬	kʰiæʔ˥$
惭	ʣᴇ˨˨˦$
惮	dᴇ˧˥$
惯	kuᴇ˥$
惰	do˨˩˦$
惱	nau˨˩˦$
想	ɕiaŋ˧˨˥$
惴	ʨy˥$
惶	ɦuɔ̃˨˨˦$
惹	niaʔ˨˧$
惻	ʦʰøʔ˥$
愁	zɤu˨˨˦$
愆	kʰiᴇ˧˧˦$
愈	ɦy˨˩˦$
愉	ɦy˨˨˦$
愍	miŋ˨˩˦$
愎	biɪʔ˨˧$
意	i˥$
愔	iŋ˧˧˦$
愕	ŋɔʔ˨˧$
愚	ny˨˨˦$
愛	ei˥$
愜	kʰiæʔ˥$
感	kᴇ˧˨˥$
愤	vəŋ˨˩˦$
愧	kuei˥$
愴	ʨʰiaŋ˥$
愷	kʰei˧˨˥$
愾	kʰei˥$
愿	nyø˧˥$
慁	ɦuəŋ˧˥$
慄	liɪʔ˨˧$
慇	iŋ˧˧˦$
慈	zɿ˨˨˦$
態	tʰei˥$
慌	huɔ̃˧˧˦$
慎	ʑiŋ˧˥$
慕	mu˧˥$
慘	ʦʰø˧˨˥$
慚	ʣᴇ˨˨˦$
慟	doŋ˧˥$
慢	mᴇ˧˥$
慣	kuᴇ˥$
慧	ɦuei˧˥$
慨	kʰei˥$
慪	ɤu˥$
慫	soŋ˧˨˥$
慮	ly˧˥$
慰	uei˥$
慶	kʰiŋ˥$
慷	kʰɔ̃˧˨˥$
慾	ɦyuʔ˨˧$
憂	iɤu˧˧˦$
憋	piæʔ˥$
憐	liᴇ˨˨˦$
憑	biŋ˨˨˦$
憔	ʑiau˨˨˦$
憚	dᴇ˧˥$
憤	vəŋ˨˩˦$
憧	ʨʰyoŋ˧˧˦$
憨	hᴇ˧˧˦$
憫	miŋ˨˩˦$
憬	kiŋ˧˨˥$
憮	vu˨˩˦$
憯	ʦʰᴇ˧˨˥$
憲	hiᴇ˥$
憶	i˥$
憾	ɦᴇ˧˥$
懂	toŋ˧˨˥$
懇	kʰəŋ˧˨˥$
懈	ga˨˩˦$
應	iŋ˧˧˦$
懊	au˧˨˥$
懋	mau˧˥$
懑	məŋ˧˥$
懒	lᴇ˨˩˦$
懔	liŋ˨˩˦$
懣	məŋ˧˥$
懦	no˨˩˦$
懲	ʥiŋ˨˨˦$
懵	moŋ˨˩˦$
懶	lᴇ˨˩˦$
懷	ɦua˨˨˦$
懸	ɦyø˨˨˦$
懺	ʦʰᴇ˥$
懼	gy˧˥$
懿	i˥$
戀	liᴇ˧˥$
戆	ʨyɔ̃˥$
戇	ʨyɔ̃˥$
戈	ko˧˨˥$
戉	ɦiaʔ˨˧$
戊	ɦu˧˥$
戌	ɕyʔ˥$
戍	ɕy˥$
戎	nyoŋ˨˨˦$
戏	hi˥$
我	ŋo˨˩˦$
戒	ka˥$
戕	ʑiaŋ˨˨˦$
或	ɦuəʔ˨˧$
战	ʨiᴇ˥$
戚	ʨʰiɪʔ˥$
戟	kiɪʔ˥$
戡	kʰᴇ˧˧˦$
戥	təŋ˧˨˥$
戩	ʨiᴇ˧˨˥$
截	ʑiæʔ˨˧$
戬	ʨiᴇ˧˨˥$
戮	loʔ˨˧$
戰	ʨiᴇ˥$
戲	hi˥$
戳	ʨʰyɔʔ˥$
戴	ta˥$
戶	ɦu˨˩˦$
户	ɦu˨˩˦$
戽	hu˥$
戾	li˧˥$
房	vɔ̃˨˨˦$
所	su˧˨˥$
扁	piᴇ˧˨˥$
扃	kyoŋ˧˧˦$
扇	ɕiᴇ˥$
扈	ɦu˨˩˦$
扉	fi˧˧˦$
手	ɕiɤu˧˨˥$
才	zei˨˨˦$
扎	ʦæʔ˥$
扑	boʔ˨˧$
打	taŋ˧˨˥$
托	tʰɔʔ˥$
扛	kɔ̃˧˧˦$
扣	kʰɤu˥$
扦	ʨʰiᴇ˧˧˦$
执	ʨiɪʔ˥$
扩	kʰuɔʔ˥$
扪	məŋ˧˥$
扫	sau˧˨˥$
扬	ɦiaŋ˨˨˦$
扭	niɤu˨˩˦$
扮	pᴇ˥$
扯	ʦʰa˧˨˥$
扰	ʑiau˨˩˦$
扳	pᴇ˧˧˦$
扶	voʔ˨˧$
批	pʰi˧˧˦$
扼	aʔ˥$
扽	təŋ˥$
找	ʦau˧˨˥$
承	ʑiŋ˨˨˦$
技	gi˨˩˦$
抄	ʨʰiau˧˧˦$
抉	kyəʔ˥$
把	pa˧˨˥$
抌	ʨiŋ˧˧˦$
抑	iɪʔ˥$
抒	ɕy˧˧˦$
抓	ʦau˧˧˦$
抔	bɤu˨˨˦$
投	dɤu˨˨˦$
抖	tɤu˧˨˥$
抗	kʰɔ̃˥$
折	ʨiæʔ˥$
抚	fu˧˨˥$
抛	pʰau˧˧˦$
抟	duø˨˨˦$
抠	kʰɤu˧˧˦$
抡	ləŋ˨˨˦$
抢	ʨʰiaŋ˧˨˥$
护	ɦu˧˥$
报	pau˥$
抨	pʰaŋ˧˧˦$
披	pʰi˧˧˦$
抬	dei˨˨˦$
抱	bau˨˩˦$
抲	kʰo˥$
抵	ti˧˨˥$
抹	muəʔ˨˧$
押	æʔ˥$
抽	ʨʰiɤu˧˧˦$
拂	føʔ˥$
拄	ʨy˥$
担	tᴇ˧˧˦$
拆	ʦʰaʔ˥$
拇	mu˨˩˦$
拈	niᴇ˨˨˦$
拊	fu˧˨˥$
拋	pʰau˧˧˦$
拌	bø˨˩˦$
拍	pʰaʔ˥$
拐	kua˧˨˥$
拒	gy˨˩˦$
拓	tʰɔʔ˥$
拔	bæʔ˨˧$
拖	tʰa˧˧˦$
拗	au˧˨˥$
拘	ky˧˧˦$
拙	ʨyɔʔ˥$
招	ʨiau˧˧˦$
