㮸	soŋ˥$
兌	de˩˧$
免	mie˩˧$
兑	de˩˧$
兒	n̩˧˩$
兔	tʰu˩˧$
党	tɑ̃˥$
兜	təɯ˥˧$
兢	ʥiən˧˩$
入	zəʔ˨$
內	ne˩˧$
全	zie˧˩$
兩	liã˩˧$
八	paʔ˥$
公	koŋ˥˧$
六	loʔ˨$
兮	ji˧˩$
兰	lɛ˧˩$
共	goŋ˩˧$
关	kuɛ˥˧$
兴	ɕiən˥˧$
兵	piən˥˧$
其	ʥi˧˩$
具	ʥy˩˧$
典	tie˥$
兹	ʦɿ˥˧$
养	jiã˩˧$
兼	ʨie˥˧$
兽	səɯ˦˦˥$
冀	ʨi˥˧$
内	ne˩˧$
冈	kɑ̃˥˧$
冉	zø˩˧$
冊	ʦʰəʔ˥$
册	ʦʰəʔ˥$
再	ʦɛ˦˦˥$
冒	mɔ˩˧$
冗	zoŋ˩˧$
写	sia˥$
军	ʨyən˥˧$
农	loŋ˧˩$
冠	kø˦˦˥$
冢	ʦoŋ˥$
冥	miən˩˧$
冬	toŋ˥˧$
冯	voŋ˧˩$
冰	piən˥˧$
冲	ʦʰoŋ˥˧$
决	ʨioʔ˥$
况	huɑ̃˥$
冶	jia˩˧$
冷	lã˩˧$
冻	toŋ˦˦˥$
凄	ʦʰi˥˧$
准	ʦən˥$
凉	liã˨$
凌	liən˧˩$
凍	toŋ˦˦˥$
减	kɛ˥$
凑	ʦʰəɯ˩˧$
凛	liən˩˧$
凜	liən˩˧$
凝	ȵiən˧˩$
几	ʨi˦˦˥$
凡	vɛ˧˩$
凤	voŋ˩˧$
凯	kʰɛ˩˧$
凱	kʰɛ˩˧$
凳	tən˦˦˥$
击	ʨiəʔ˥$
函	ɦø˧˩$
刀	tɔ˥˧$
刁	tiɔ˥˧$
刃	zən˩˧$
分	fən˥˧$
切	ʦʰiəʔ˥$
刈	ȵi˩˧$
刊	kʰø˥˧$
刍	ʦʰu˥˧$
刎	vən˩˧$
刑	jiən˧˩$
划	ɦuaʔ˨$
列	liəʔ˨$
刘	liəɯ˧˩$
则	ʦəʔ˥$
刚	kɑ̃˥˧$
创	ʦʰɑ̃˩˧$
初	ʦʰu˥˧$
删	sɛ˥˧$
判	pʰø˩˧$
別	biəʔ˨$
刨	bɔ˧˩$
利	li˩˧$
刪	sɛ˥˧$
别	biəʔ˨$
刮	kuaʔ˥$
到	tɔ˦˦˥$
制	ʦɿ˦˦˥$
刷	səʔ˥$
券	ʨʰiø˩˧$
刺	ʦʰɿ˩˧$
刻	kʰəʔ˥$
剃	tʰi˩˧$
則	ʦəʔ˥$
削	siaʔ˥$
剌	laʔ˨$
前	zie˧˩$
剐	ko˥$
剑	ʨie˦˦˥$
剔	tʰiəʔ˥$
剖	pʰəɯ˦˦˥$
剛	kɑ̃˥˧$
剝	poʔ˥$
剥	poʔ˥$
剧	ʥiəʔ˨$
剩	zən˩˧$
剮	ko˥$
割	kəʔ˥$
創	ʦʰɑ̃˩˧$
劃	ɦuaʔ˨$
劄	ʦaʔ˥$
劇	ʥiəʔ˨$
劉	liəɯ˧˩$
劍	ʨie˦˦˥$
力	liəʔ˨$
劝	ʨʰiø˩˧$
办	bɛ˩˧$
功	koŋ˥˧$
加	ka˥˧$
务	vu˩˧$
劣	liəʔ˨$
动	doŋ˩˧$
助	zu˩˧$
努	nu˩˧$
劫	ʨiəʔ˥$
