㮸	soŋ˥$
快	kʰua˩˧$
念	ȵie˩˧$
忽	huəʔ˥$
忿	vən˩˧$
怀	ɦuɛ˧˩$
态	tʰɛ˩˧$
怂	soŋ˥$
怅	ʦʰã˩˧$
怒	nu˩˧$
怕	pʰa˩˧$
怖	pu˦˦˥$
怗	tʰiəʔ˥$
怜	lie˧˩$
思	sɿ˥˧$
怠	dɛ˩˧$
怡	ji˧˩$
急	ʨiəʔ˥$
性	siən˦˦˥$
怪	kua˦˦˥$
怯	ʨʰiaʔ˥$
总	ʦoŋ˥$
恃	zɿ˩˧$
恆	ɦən˧˩$
恋	lie˧˩$
恍	huɑ̃˥$
恐	kʰoŋ˩˧$
恒	ɦən˧˩$
恕	sʮ˦˦˥$
恙	iã˦˦˥$
恢	kʰue˥˧$
恥	ʦʰɿ˩˧$
恨	ɦən˩˧$
恩	ən˥˧$
恭	koŋ˥˧$
息	siəʔ˥$
恳	kʰən˩˧$
恶	oʔ˥$
恼	nɔ˩˧$
悄	ʦʰiɔ˩˧$
悅	jioʔ˨$
悉	siəʔ˥$
悔	hue˦˦˥$
悟	ŋu˩˧$
患	uɛ˦˦˥$
悦	jioʔ˨$
悬	jiø˧˩$
悯	miən˩˧$
悲	pe˥˧$
悴	zue˩˧$
悵	ʦʰã˩˧$
悶	mən˩˧$
情	du˩˧$
惜	ɕiəʔ˥$
惟	vi˧˩$
惠	ɦue˩˧$
惡	oʔ˥$
惧	ʥy˩˧$
惨	ʦʰø˩˧$
惩	zən˧˩$
惭	zɛ˧˩$
惮	dɛ˩˧$
惯	kuɛ˦˦˥$
惱	nɔ˩˧$
想	siã˥$
愁	zəɯ˧˩$
愈	jy˩˧$
愉	jy˧˩$
意	i˦˦˥$
愚	ȵy˧˩$
愛	ɛ˦˦˥$
感	kø˦˦˥$
愣	lən˧˩$
愤	vən˩˧$
愧	kʰue˩˧$
愿	ȵiø˩˧$
慈	zɿ˧˩$
態	tʰɛ˩˧$
慌	huɑ̃˥˧$
慎	zən˩˧$
慕	mo˩˧$
慘	ʦʰø˩˧$
慚	zɛ˧˩$
慢	mɛ˩˧$
慣	kuɛ˦˦˥$
慨	kʰɛ˩˧$
慫	soŋ˥$
慮	ly˩˧$
慶	ʨʰiən˩˧$
慷	kʰɑ̃˦˦˥$
憂	iəɯ˥˧$
憋	piəʔ˥$
憐	lie˧˩$
憚	dɛ˩˧$
憤	vən˩˧$
憫	miən˩˧$
憲	ɕie˩˧$
憾	ɦø˩˧$
懂	toŋ˥$
懇	kʰən˩˧$
懈	ga˩˧$
應	iən˦˦˥$
懊	ɔ˥$
懒	lɛ˩˧$
懲	zən˧˩$
懵	moŋ˩˧$
懶	lɛ˩˧$
懷	ɦuɛ˧˩$
懸	jiø˧˩$
懺	ʦʰɛ˩˧$
懼	ʥy˩˧$
戀	lie˧˩$
戆	gɑ̃˩˧$
戇	gɑ̃˩˧$
戈	ku˥˧$
戍	sʮ˦˦˥$
戎	zoŋ˧˩$
戏	ɕi˦˦˥$
成	zən˧˩$
我	ŋu˩˧$
戒	ka˦˦˥$
战	ʦø˦˦˥$
戟	ʨiəʔ˥$
截	ziəʔ˨$
戮	loʔ˨$
戰	ʦø˦˦˥$
戲	ɕi˦˦˥$
戳	ʦʰoʔ˥$
戴	tɛ˦˦˥$
戶	ɦu˩˧$
户	ɦu˩˧$
戽	hu˥$
房	vɑ̃˧˩$
所	su˥$
扁	pie˥$
手	səɯ˥$
才	zɛ˧˩$
扎	ʦaʔ˥$
扑	pʰoʔ˥$
打	tã˥$
扔	zən˧˩$
托	tʰoʔ˥$
扛	kɑ̃˥˧$
扣	kʰəɯ˩˧$
执	ʦəʔ˥$
扩	kʰoʔ˥$
扫	sɔ˥$
扬	jiã˧˩$
扭	ȵiəɯ˥$
扮	pɛ˦˦˥$
扯	ʦʰa˩˧$
扰	zɔ˩˧$
扳	pɛ˥˧$
扶	vu˧˩$
批	pʰi˥˧$
扼	ŋəʔ˥$
扽	tən˦˦˥$
找	ʦɔ˥$
承	zən˧˩$
技	ʥi˩˧$
抄	ʦʰɔ˥˧$
把	po˦˦˥$
抑	iəʔ˥$
抓	ʦa˥˧$
投	tʰəɯ˩˧$
抖	təɯ˥$
抗	kʰɑ̃˦˦˥$
折	zəʔ˨$
抚	fu˥$
抛	pʰɔ˥˧$
抢	ʦʰiã˩˧$
护	ɦu˩˧$
报	pɔ˦˦˥$
披	pʰi˥˧$
抬	dɛ˧˩$
抱	bɔ˩˧$
抵	ti˥$
抹	maʔ˨$
押	aʔ˥$
抽	ʦʰəɯ˥˧$
拂	fəʔ˥$
担	tɛ˦˦˥$
拆	ʦʰaʔ˥$
拋	pʰɔ˥˧$
拍	pʰaʔ˥$
拎	liən˥˧$
拐	kua˦˦˥$
拒	ʥy˩˧$
拔	baʔ˨$
拖	tʰu˥˧$
拗	ɔ˥$
拘	ʨy˥˧$
拙	ʦəʔ˥$
招	ʦɔ˥˧$
拜	pa˦˦˥$
拟	ȵi˩˧$
拢	loŋ˩˧$
拣	kɛ˥$
拥	ioŋ˥$
拦	lɛ˧˩$
拨	pəʔ˥$
择	zəʔ˨$
括	kuaʔ˥$
拯	ʦən˥$
拱	koŋ˥$
拳	ʥieo˧˩$
拴	sø˥˧$
拼	pʰiən˥˧$
拾	zəʔ˨$
拿	na˥˧$
持	zɿ˧˩$
挂	ko˦˦˥$
指	ʦɿ˥$
按	ø˦˦˥$
挑	tʰiɔ˥˧$
挖	uaʔ˥$
挜	o˥˧$
挟	jiaʔ˨$
挠	nɔ˧˩$
挡	tɑ̃˥$
挤	ʦi˥˧$
挥	hue˥˧$
挫	ʦʰu˩˧$
振	ʦən˦˦˥$
挺	tʰiən˩˧$
挽	uɛ˥$
挾	jiaʔ˨$
捆	kʰuən˩˧$
捉	ʦoʔ˥$
捋	ləʔ˨$
捎	sɔ˥˧$
捐	ʨiø˥˧$
捕	bu˩˧$
捞	lɔ˥˧$
损	sən˥$
换	ø˦˦˥$
捧	foŋ˦˦˥$
捨	so˥$
据	ʨy˦˦˥$
捷	ziəʔ˨$
捺	naʔ˨$
捻	ȵie˩˧$
掀	ɕie˥˧$
掂	tie˥˧$
掃	sɔ˥$
掇	təʔ˥$
授	zəɯ˩˧$
掌	ʦã˥$
掏	dɔ˧˩$
掐	kʰaʔ˥$
排	ba˧˩$
掗	o˥˧$
掘	ʥioʔ˨$
掛	ko˦˦˥$
掠	liaʔ˨$
採	ʦʰɛ˥$
探	tʰø˩˧$
接	ʦiəʔ˥$
控	kʰoŋ˩˧$
推	tʰe˥˧$
掩	ie˥$
措	ʦʰu˩˧$
掼	guɛ˩˧$
揀	kɛ˥$
揆	gue˩˧$
描	miɔ˧˩$
插	ʦʰaʔ˥$
揖	iəʔ˥$
揚	jiã˧˩$
換	ø˦˦˥$
握	oʔ˥$
揩	kʰa˥˧$
揭	ʨiəʔ˥$
揮	hue˥˧$
援	jiø˧˩$
揽	lɛ˦˦˥$
搀	ʦʰɛ˥˧$
搂	ləɯ˥˧$
搅	kɔ˥$
損	sən˥$
搓	ʦʰu˥˧$
搖	jiɔ˧˩$
搜	səɯ˥˧$
搞	kɔ˥$
搬	pø˥˧$
搶	ʦʰiã˩˧$
搽	zo˧˩$
搿	gəʔ˨$
摄	səʔ˥$
摆	pa˥$
摇	jiɔ˧˩$
摊	tʰɛ˥˧$
摔	sue˦˦˥$
摜	guɛ˩˧$
摟	ləɯ˥˧$
摩	mo˧˩$
摸	moʔ˨$
摺	ʦəʔ˥$
撇	pʰiəʔ˥$
撈	lɔ˥˧$
撐	ʦʰã˥˧$
撑	ʦʰã˥˧$
撒	saʔ˥$
撓	nɔ˧˩$
撕	sɿ˥˧$
撙	ʦən˥˧$
撞	zɑ̃˩˧$
撤	ʦʰəʔ˥$
撥	pəʔ˥$
撩	liɔ˥˧$
撫	fu˥$
播	pu˦˦˥$
撮	ʦʰəʔ˥$
撰	zɛ˩˧$
撲	pʰoʔ˥$
撼	ɦø˩˧$
擁	ioŋ˥$
擅	jie˧˩$
擇	zəʔ˨$
擊	ʨiəʔ˥$
擋	tɑ̃˥$
操	ʦʰɔ˥˧$
擎	ʥiən˧˩$
擒	ʥiən˧˩$
擔	tɛ˦˦˥$
據	ʨy˦˦˥$
擠	ʦi˥˧$
擡	dɛ˧˩$
擦	ʦʰaʔ˥$
擬	ȵi˩˧$
擴	kʰoʔ˥$
擺	pa˥$
擾	zɔ˩˧$
攏	loŋ˩˧$
攔	lɛ˧˩$
攘	zã˩˧$
攙	ʦʰɛ˥˧$
攝	səʔ˥$
攤	tʰɛ˥˧$
攪	kɔ˥$
攬	lɛ˦˦˥$
支	ʦɿ˥˧$
收	səɯ˥˧$
改	kɛ˥$
攻	koŋ˥˧$
放	fɑ̃˦˦˥$
政	ʦən˦˦˥$
故	ku˦˦˥$
效	jiɔ˩˧$
敌	diəʔ˨$
敏	miən˩˧$
救	ʨiəɯ˦˦˥$
敗	ba˩˧$
敘	zy˩˧$
教	kɔ˦˦˥$
敛	lie˩˧$
敝	bi˩˧$
敢	kø˥$
散	sɛ˦˦˥$
敦	tən˥˧$
敨	tʰəɯ˩˧$
敬	ʨiən˩˧$
数	su˥$
敲	kʰɔ˥˧$
整	ʦən˦˦˥$
敵	diəʔ˨$
敷	fu˥˧$
數	su˥$
斂	lie˩˧$
斃	bi˩˧$
文	vən˧˩$
斑	pɛ˥˧$
斗	təɯ˥$
料	liɔ˩˧$
斛	ɦoʔ˨$
斜	zia˧˩$
斟	ʦən˥˧$
斤	ʨiən˥˧$
斥	ʦʰəʔ˥$
斧	fu˥$
斩	ʦɛ˥$
斬	ʦɛ˥$
断	dø˩˧$
斯	sɿ˥˧$
新	siən˥˧$
斷	dø˩˧$
方	fɑ̃˥˧$
於	jy˧˩$
施	sɿ˥˧$
旁	bɑ̃˧˩$
旋	zie˧˩$
旌	ʦiən˥˧$
族	zoʔ˨$
旗	ʥi˧˩$
无	m̩˥$
既	ʨi˦˦˥$
日	zəʔ˨$
旦	tɛ˦˦˥$
旧	ʥiəɯ˩˧$
旨	ʦɿ˦˦˥$
早	ʦɔ˥$
旬	ziən˧˩$
旭	ɕioʔ˥$
旱	ɦø˩˧$
时	zɿ˧˩$
旷	kʰuɑ̃˩˧$
旺	ɦuɑ̃˩˧$
昆	kuən˥˧$
昌	ʦʰã˥˧$
明	miən˧˩$
昏	huən˥˧$
易	ji˩˧$
星	siən˥˧$
春	ʦʰən˥˧$
昧	me˩˧$
昨	zoʔ˨$
昭	ʦɔ˥˧$
是	zɿ˩˧$
显	ɕie˩˧$
時	zɿ˧˩$
晉	ʦiən˦˦˥$
晋	ʦiən˦˦˥$
晏	ie˦˦˥$
晓	ɕiɔ˥$
晕	jyən˩˧$
晚	mɛ˩˧$
晦	hue˦˦˥$
晨	zən˧˩$
普	pʰu˦˦˥$
景	ʨiən˩˧$
晶	ʦiən˥˧$
智	ʦɿ˦˦˥$
暂	zɛ˧˩$
暈	jyən˩˧$
暑	sʮ˥$
暖	nø˩˧$
暢	ʦʰã˩˧$
暫	zɛ˧˩$
暴	bɔ˩˧$
暹	sie˥˧$
曆	liəʔ˨$
曉	ɕiɔ˥$
曝	boʔ˨$
曠	kʰuɑ̃˩˧$
曰	jioʔ˨$
曲	ʨʰioʔ˥$
更	kã˥˧$
曷	əʔ˥$
書	sʮ˥˧$
曹	zɔ˧˩$
曾	zən˧˩$
替	tʰi˩˧$
最	ʦue˦˦˥$
會	ue˦˦˥$
月	ȵioʔ˨$
有	jiəɯ˩˧$
朋	bən˧˩$
服	voʔ˨$
望	mɑ̃˩˧$
朝	zɔ˧˩$
期	ʥi˧˩$
木	moʔ˨$
未	mi˩˧$
本	pən˥$
札	ʦaʔ˥$
术	zəʔ˨$
朱	ʦʮ˥˧$
朴	pʰoʔ˥$
机	ʨi˥˧$
朽	ɕiəɯ˦˦˥$
杀	saʔ˥$
杂	zəʔ˨$
权	ʥiø˧˩$
杆	kø˥$
杈	ʦʰo˥˧$
杌	ŋəʔ˨$
李	li˩˧$
杏	ɦã˧˩$
村	ʦʰən˥˧$
杖	zã˩˧$
杜	du˩˧$
杞	ʨʰi˩˧$
束	soʔ˥$
杠	kɑ̃˥˧$
条	diɔ˧˩$
来	lɛ˧˩$
杨	jiã˧˩$
杭	ɦɑ̃˧˩$
杯	pe˥˧$
杰	ʥiəʔ˨$
東	toŋ˥˧$
杳	iɔ˥$
松	soŋ˥˧$
板	pɛ˥$
极	ʥiəʔ˨$
构	kəɯ˦˦˥$
析	siəʔ˥$
枕	ʦən˥$
林	liən˧˩$
枚	me˧˩$
果	ku˥$
枝	ʦɿ˥˧$
枣	ʦɔ˥$
枪	ʦʰiã˥˧$
枯	kʰu˥˧$
枵	ɕiɔ˥˧$
架	ka˦˦˥$
柄	piən˦˦˥$
柏	paʔ˥$
某	məɯ˩˧$
柑	kø˥˧$
染	zø˩˧$
柚	iəɯ˦˦˥$
柜	gue˩˧$
查	zo˧˩$
柩	ʥiəɯ˩˧$
柬	ʨie˥$
柱	zʮ˩˧$
柳	liəɯ˩˧$
柴	za˧˩$
柵	saʔ˥$
柿	zɿ˩˧$
栅	saʔ˥$
标	piɔ˥˧$
栈	zɛ˩˧$
栋	toŋ˦˦˥$
栏	lɛ˧˩$
树	zʮ˩˧$
栖	si˥˧$
栗	liəʔ˨$
校	jiɔ˩˧$
栨	ʦʰi˩˧$
株	ʦʮ˥˧$
核	ŋəʔ˨$
根	kən˥˧$
格	kaʔ˥$
栽	ʦɛ˥˧$
桂	kue˦˦˥$
桃	dɔ˧˩$
桅	ŋue˧˩$
案	ø˦˦˥$
桌	ʦoʔ˥$
桐	doŋ˧˩$
桑	sɑ̃˥˧$
桓	ɦø˧˩$
桔	ʨioʔ˥$
桠	o˥˧$
桥	ʥiɔ˧˩$
桧	gue˩˧$
桨	ʦiã˥$
桩	ʦɑ̃˥˧$
桿	kø˥$
梁	liã˨$
梅	me˧˩$
梓	ʦɿ˥$
梗	kã˥$
條	diɔ˧˩$
梢	sɔ˥˧$
梦	moŋ˩˧$
梧	ŋu˧˩$
梨	li˧˩$
梭	su˥˧$
梯	tʰi˥˧$
梳	su˥˧$
梵	vɛ˩˧$
检	ʨie˥$
棄	ʨʰi˩˧$
棉	mie˧˩$
棋	ʥi˧˩$
棍	kuən˦˦˥$
棒	bɑ̃˩˧$
棕	ʦoŋ˥˧$
棗	ʦɔ˥$
棘	ʨiəʔ˥$
棚	bã˧˩$
棟	toŋ˦˦˥$
棧	zɛ˩˧$
森	sən˥˧$
棲	si˥˧$
棵	kʰu˥˧$
椅	i˥$
植	zəʔ˨$
椏	o˥˧$
椒	ʦiɔ˥˧$
椰	ia˥˧$
椽	zø˧˩$
楊	jiã˧˩$
楚	ʦʰu˩˧$
楣	me˧˩$
楦	ɕiø˥˧$
業	ȵiəʔ˨$
極	ʥiəʔ˨$
楷	kʰa˩˧$
楼	ləɯ˧˩$
概	kɛ˦˦˥$
榄	lɛ˦˦˥$
榆	jy˧˩$
榛	ʦən˥˧$
榜	pɑ̃˥$
榧	fi˥˧$
榨	ʦo˦˦˥$
榫	sən˥$
榮	jioŋ˧˩$
榴	liəɯ˧˩$
構	kəɯ˦˦˥$
槌	zue˧˩$
槍	ʦʰiã˥˧$
槐	ɦua˧˩$
槟	piən˥˧$
槳	ʦiã˥$
槽	lu˩˧$
樁	ʦɑ̃˥˧$
樂	jiaʔ˨$
樓	ləɯ˧˩$
標	piɔ˥˧$
樟	ʦã˥˧$
模	mo˧˩$
横	ɦuã˧˩$
樱	ã˥˧$
樵	ziɔ˧˩$
樸	pʰoʔ˥$
樹	zʮ˩˧$
橋	ʥiɔ˧˩$
橙	zən˧˩$
橛	ʥioʔ˨$
機	ʨi˥˧$
橫	ɦuã˧˩$
檀	dɛ˧˩$
檐	jie˧˩$
檜	gue˩˧$
檢	ʨie˥$
檯	dɛ˧˩$
檳	piən˥˧$
櫃	gue˩˧$
櫻	ã˥˧$
欄	lɛ˧˩$
權	ʥiø˧˩$
欖	lɛ˦˦˥$
欠	ʨʰie˩˧$
次	ʦʰɿ˩˧$
欢	hø˥˧$
欣	ɕiən˥˧$
欧	əɯ˥˧$
欲	jioʔ˨$
欺	ʨʰi˥˧$
欽	ʨʰiən˥˧$
款	kʰø˩˧$
歇	ɕiəʔ˥$
歉	ʨʰie˩˧$
歎	tʰɛ˩˧$
歐	əɯ˥˧$
歡	hø˥˧$
止	ʦɿ˦˦˥$
正	ʦən˦˦˥$
此	ʦʰɿ˩˧$
步	bu˩˧$
武	vu˩˧$
歪	hua˥˧$
歲	sue˦˦˥$
歷	liəʔ˨$
歸	kue˥˧$
死	sɿ˥$
歼	ʦʰie˥˧$
殃	iã˥˧$
殆	dɛ˩˧$
殉	ziən˩˧$
殊	zʮ˧˩$
残	zɛ˧˩$
殓	lie˩˧$
殖	zəʔ˨$
殘	zɛ˧˩$
殡	piən˦˦˥$
殮	lie˩˧$
殯	piən˦˦˥$
殲	ʦʰie˥˧$
殴	əɯ˥$
段	dø˩˧$
殷	iən˥˧$
殺	saʔ˥$
殼	kʰoʔ˥$
殿	die˩˧$
毀	hue˦˦˥$
毁	hue˦˦˥$
毅	ȵi˩˧$
毆	əɯ˥$
毋	vu˧˩$
母	mo˩˧$
每	me˩˧$
毒	doʔ˨$
比	pi˥$
毕	piəʔ˥$
毙	bi˩˧$
毛	mɔ˧˩$
毡	ʦø˥˧$
毫	ɦɔ˧˩$
毯	tʰɛ˩˧$
氈	ʦø˥˧$
氏	zɿ˩˧$
民	miən˧˩$
气	ʨʰi˩˧$
氣	ʨʰi˩˧$
水	sue˥$
永	ioŋ˥$
氽	tʰən˩˧$
汀	tʰiən˥˧$
汁	ʦəʔ˥$
求	ʥiəɯ˧˩$
汆	ʦʰø˥˧$
汇	ɦue˩˧$
汉	hø˦˦˥$
汗	ɦø˩˧$
汙	u˥˧$
汝	zʮ˩˧$
汞	koŋ˦˦˥$
江	kɑ̃˥˧$
池	zɿ˧˩$
污	u˥˧$
汤	tʰɑ̃˥˧$
汪	uɑ̃˥˧$
汲	ʨiəʔ˥$
汴	bie˩˧$
決	ʨioʔ˥$
汽	ʨʰi˩˧$
沂	ȵi˧˩$
沃	oʔ˥$
沉	zən˧˩$
沌	dən˩˧$
沐	moʔ˨$
沒	məʔ˨$
沖	ʦʰoŋ˥˧$
沙	so˥˧$
沟	kəɯ˥˧$
没	məʔ˨$
沤	əɯ˥$
沦	lən˧˩$
沪	ɦu˩˧$
河	ɦu˧˩$
治	zɿ˩˧$
沼	ʦɔ˦˦˥$
沾	ʦø˥˧$
沿	jie˧˩$
況	huɑ̃˥$
泄	siəʔ˥$
泊	boʔ˨$
泌	pi˦˦˥$
泔	kø˥˧$
法	faʔ˥$
泛	fɛ˦˦˥$
泡	pʰɔ˩˧$
波	pu˥˧$
泣	ʨʰiəʔ˥$
注	ʦʮ˦˦˥$
泪	le˩˧$
泰	tʰa˩˧$
泳	ioŋ˥$
泻	sia˦˦˥$
泼	pʰəʔ˥$
泽	zəʔ˨$
洁	ʨiəʔ˥$
洋	jiã˧˩$
洒	sa˥$
洗	si˥$
洞	doŋ˩˧$
津	ʦiən˥˧$
洪	hoŋ˥˧$
洲	ʦəɯ˥˧$
活	ɦuəʔ˨$
洽	jiaʔ˨$
派	pʰa˩˧$
流	liəɯ˧˩$
浅	ʦʰie˩˧$
浆	ʦiã˥˧$
浇	ʨiɔ˥˧$
浊	zoʔ˨$
测	ʦʰəʔ˥$
济	ʦi˦˦˥$
浑	ɦuən˩˧$
浒	hu˥$
浓	loŋ˧˩$
浙	ʦəʔ˥$
浚	ʦiən˦˦˥$
浜	pã˥˧$
浦	pʰu˦˦˥$
浩	ɦɔ˩˧$
浮	vəɯ˧˩$
浴	jioʔ˨$
海	hɛ˥$
浸	ʦiən˦˦˥$
消	siɔ˥˧$
涉	zəʔ˨$
涌	ioŋ˥$
涎	jie˧˩$
涓	ʨiø˥˧$
涕	tʰi˩˧$
涛	dɔ˧˩$
涝	bɑ̃˧˩$
润	zən˩˧$
涧	kɛ˦˦˥$
涨	ʦã˥$
涩	səʔ˥$
液	jiəʔ˨$
涼	liã˨$
淆	jiɔ˧˩$
淋	liən˧˩$
淑	zoʔ˨$
淒	ʦʰi˥˧$
淘	dɔ˧˩$
淚	le˩˧$
淤	y˥˧$
淪	lən˧˩$
淫	jiən˧˩$
淮	ɦua˧˩$
深	sən˥˧$
淳	zən˧˩$
混	ɦuən˧˩$
淹	ie˥˧$
淺	ʦʰie˩˧$
添	tʰie˥˧$
清	ʦʰiən˥˧$
渐	zie˩˧$
渔	jy˧˩$
渗	sən˦˦˥$
減	kɛ˥$
渠	ʥy˧˩$
渡	du˩˧$
渣	ʦo˥˧$
温	uən˥˧$
測	ʦʰəʔ˥$
港	kɑ̃˥$
渴	kʰəʔ˥$
游	jiəɯ˧˩$
渺	miɔ˥$
渾	ɦuən˩˧$
湊	ʦʰəɯ˩˧$
湖	ɦu˧˩$
湧	ioŋ˥$
湫	ʦiəɯ˥˧$
湯	tʰɑ̃˥˧$
湾	uɛ˥˧$
湿	səʔ˥$
溃	gue˩˧$
溅	ʦie˩˧$
溉	kø˦˦˥$
源	ȵiø˧˩$
溝	kəɯ˥˧$
溪	ʨʰi˥˧$
溫	uən˥˧$
滅	miəʔ˨$
滋	ʦɿ˥˧$
滑	ɦuaʔ˨$
滓	ʦɿ˥$
滔	tʰɔ˥˧$
滚	kuən˥$
满	mø˩˧$
滤	ly˩˧$
滩	tʰɛ˥˧$
滬	ɦu˩˧$
滲	sən˦˦˥$
滴	tiəʔ˥$
滸	hu˥$
滾	kuən˥$
滿	mø˩˧$
漁	jy˧˩$
漂	pʰiɔ˥˧$
漆	ʦʰiəʔ˥$
漏	ləɯ˩˧$
演	jie˩˧$
漚	əɯ˥$
漢	hø˦˦˥$
漱	səɯ˦˦˥$
漲	ʦã˥$
漸	zie˩˧$
漿	ʦiã˥˧$
潑	pʰəʔ˥$
潔	ʨiəʔ˥$
潘	pʰø˥˧$
潛	zie˧˩$
潜	zie˧˩$
潤	zən˩˧$
潭	dø˥$
潰	gue˩˧$
潺	zɛ˧˩$
澀	səʔ˥$
澄	zən˧˩$
澆	ʨiɔ˥˧$
澇	bɑ̃˧˩$
澗	kɛ˦˦˥$
澡	ʦɔ˥$
澤	zəʔ˨$
激	ʨiəʔ˥$
濁	zoʔ˨$
濃	loŋ˧˩$
濕	səʔ˥$
濟	ʦi˦˦˥$
濤	dɔ˧˩$
濯	zoʔ˨$
濺	ʦie˩˧$
濾	ly˩˧$
瀉	sia˦˦˥$
瀑	boʔ˨$
灋	faʔ˥$
灑	sa˥$
灘	tʰɛ˥˧$
灣	uɛ˥˧$
火	hu˥$
灭	miəʔ˨$
灯	tən˥˧$
灰	hue˥˧$
灵	liən˧˩$
灶	ʦɔ˦˦˥$
灸	ʨiəɯ˥$
災	ʦɛ˥˧$
灾	ʦɛ˥˧$
灿	ʦʰɛ˩˧$
炊	ʦʰue˥˧$
炎	jie˧˩$
炒	ʦʰɔ˥$
炕	kʰɑ̃˦˦˥$
炙	ʦəʔ˥$
炭	tʰɛ˩˧$
炮	pʰɔ˩˧$
炸	ʦo˦˦˥$
点	tie˥$
為	ɦue˧˩$
炼	lie˩˧$
烂	lɛ˦˦˥$
烈	liəʔ˨$
烏	u˥˧$
烘	hoŋ˥˧$
烙	loʔ˨$
烛	ʦoʔ˥$
烟	ie˥˧$
烦	vɛ˧˩$
烧	sɔ˥˧$
烫	tʰɑ̃˩˧$
热	zəʔ˨$
烹	pʰã˥˧$
焊	ø˦˦˥$
焕	hø˦˦˥$
焚	vən˧˩$
無	m̩˥$
焦	ʦiɔ˥˧$
焰	jie˩˧$
然	zø˧˩$
煉	lie˩˧$
煎	ʦie˥˧$
煙	ie˥˧$
煠	zaʔ˨$
煤	me˧˩$
煥	hø˦˦˥$
照	ʦɔ˦˦˥$
煨	ue˥˧$
煩	vɛ˧˩$
煮	ʦʮ˥$
熄	siəʔ˥$
熊	jioŋ˧˩$
熏	ɕyən˥˧$
熔	jioŋ˧˩$
熙	ɕi˥˧$
熟	zoʔ˨$
熱	zəʔ˨$
燃	zø˧˩$
燈	tən˥˧$
燎	liɔ˧˩$
燒	sɔ˥˧$
燕	ie˦˦˥$
燙	tʰɑ̃˩˧$
營	jiən˧˩$
燦	ʦʰɛ˩˧$
燭	ʦoʔ˥$
爆	pɔ˦˦˥$
爊	ɔ˥˧$
爛	lɛ˦˦˥$
爪	ʦɔ˥˧$
爬	ba˧˩$
爭	ʦã˥˧$
爱	ɛ˦˦˥$
爲	ɦue˧˩$
爵	ʦiaʔ˥$
父	vu˩˧$
爷	jia˧˩$
爸	pa˥˧$
爺	jia˧˩$
爾	əl˧˩$
爿	bɛ˧˩$
牀	zɑ̃˥$
片	pʰie˩˧$
版	pɛ˥$
牌	ba˧˩$
牍	doʔ˨$
牒	diəʔ˨$
牘	doʔ˨$
牙	jia˧˩$
牛	ȵiəɯ˧˩$
牝	biən˩˧$
牡	məɯ˩˧$
牢	lɔ˧˩$
牧	moʔ˨$
物	vəʔ˨$
牲	sã˥˧$
牵	ʨʰie˥˧$
特	dəʔ˨$
牺	ɕi˥˧$
牽	ʨʰie˥˧$
犀	si˥˧$
犁	li˧˩$
犧	ɕi˥˧$
犬	ʨʰiø˩˧$
犯	vɛ˩˧$
状	zɑ̃˩˧$
犹	jiəɯ˧˩$
狀	zɑ̃˩˧$
狂	guɑ̃˧˩$
狄	diəʔ˨$
狐	ɦu˧˩$
狗	kəɯ˥$
独	doʔ˨$
狭	ɦaʔ˨$
狮	sɿ˥˧$
狱	ȵioʔ˨$
狸	li˧˩$
狹	ɦaʔ˨$
狼	lɑ̃˧˩$
猛	mã˦˦˥$
猜	ʦʰɛ˥˧$
猪	ʦɿ˥˧$
猫	mɔ˧˩$
猬	ɦue˩˧$
献	ɕie˩˧$
猴	ɦəɯ˧˩$
猶	jiəɯ˧˩$
猾	ɦuaʔ˨$
獄	ȵioʔ˨$
獅	sɿ˥˧$
獎	ʦiã˥$
獨	doʔ˨$
獭	tʰaʔ˥$
獲	ɦoʔ˨$
獸	səɯ˦˦˥$
獺	tʰaʔ˥$
獻	ɕie˩˧$
率	liəʔ˨$
玉	ȵioʔ˨$
王	ɦuɑ̃˧˩$
玩	ŋuɛ˧˩$
玫	me˧˩$
环	guɛ˧˩$
玻	pu˥˧$
珀	pʰaʔ˥$
珊	sɛ˥˧$
珍	ʦən˥˧$
珠	ʦʮ˥˧$
班	pɛ˥˧$
球	ʥiəɯ˧˩$
理	li˩˧$
琐	su˥$
琢	ʦoʔ˥$
琴	ʥiən˧˩$
琶	ba˧˩$
琼	ʥioŋ˧˩$
瑞	zue˩˧$
瑟	səʔ˥$
瑣	su˥$
瑩	jioŋ˧˩$
瑰	kue˦˦˥$
璞	pʰoʔ˥$
環	guɛ˧˩$
瓊	ʥioŋ˧˩$
瓜	ko˥˧$
瓢	biɔ˧˩$
瓦	ŋo˩˧$
瓮	ioŋ˥$
瓶	biən˧˩$
瓷	zɿ˧˩$
甕	ioŋ˥$
甘	kø˥˧$
甚	zən˩˧$
甜	die˧˩$
生	sã˥˧$
產	ʦʰɛ˩˧$
甥	sã˥˧$
用	ioŋ˦˦˥$
甩	huɛ˦˦˥$
甫	fu˥$
甬	ioŋ˥$
甯	ȵiən˧˩$
田	die˧˩$
由	jiəɯ˧˩$
甲	kaʔ˥$
申	sən˥˧$
电	die˩˧$
男	nø˥$
畅	ʦʰã˩˧$
界	ka˦˦˥$
留	liəɯ˧˩$
畜	ɕioʔ˥$
畝	məɯ˩˧$
畢	piəʔ˥$
略	liaʔ˨$
番	fɛ˥˧$
當	tɑ̃˦˦˥$
