㞘底	toʔ˥ ti˥˧
一歇儿	ʔiəʔ˥ ɕiɑʔ˥ əl˧
一歇兒	ʔiəʔ˥ ɕiɑʔ˥ əl˧
一歇歇儿	ʔiəʔ˥ ɕiɑʔ˥ ɕiɑʔ˥ əl˧
一歇歇兒	ʔiəʔ˥ ɕiɑʔ˥ ɕiɑʔ˥ əl˧
一清二楚	ʔiəʔ˥ ʨʰin˧ əl˥ ʦʰu˥˧
一清二白	ʔiəʔ˥ ʨʰin˧ əl˥ bɑʔ˨
一点一画	ʔiəʔ˥ tiɛ̃˥˧ ʔiəʔ˥ ɦuɑʔ˨
一甏裏的貨	ʔiəʔ˥ bɑŋ˩˧ li˥˧ ti hu˥
一甏里的货	ʔiəʔ˥ bɑŋ˩˧ li˥˧ ti hu˥
一生一世	ʔiəʔ˥ sen˧ ʔiəʔ˥ sɿ˥
一百	ʔiəʔ˥ pɑʔ˥
一百一十	ʔiəʔ˥ pɑʔ˥ zəʔ˨ ʔʔiəʔ˥
一百分	ʔiəʔ˥ pɑʔ˥ fen˧˩
一百十	ʔiəʔ˥ pɑʔ˥ zəʔ˨
一百多个	ʔiəʔ˥ pɑʔ˥ to˧ koʔ˥
一百多個	ʔiəʔ˥ pɑʔ˥ to˧ koʔ˥
一眼眼	ʔiəʔ˥ ŋɛ̃˥˧ ŋɛ̃˧˩
一等一	ʔiəʔ˥ ten˥˧ ʔiəʔ˥
一等那摩温	ʔiəʔ˥ ten˥˧ nɑ˩˧ mo˥˧ ʔun˧˩
一等那摩溫	ʔiəʔ˥ ten˥˧ nɑ˩˧ mo˥˧ ʔun˧˩
一肚皮	ʔiəʔ˥ du˩˧ bi˥˧
一腔	ʔiəʔ˥ ʨʰiɑŋ˧
一萬二	ʔiəʔ˥ vɛ̃˩˧ əl˥
一號	ʔiəʔ˥ ɦɔ˩˧
一記頭	ʔiəʔ˥ ʨi˥ dei
一记头	ʔiəʔ˥ ʨi˥ dei
一连串	ʔiəʔ˥ liɛ̃˧˩ ʦʰʮõ
一造	ʔiəʔ˥ ʦʰɔ˧
一連串	ʔiəʔ˥ liɛ̃˧˩ ʦʰʮõ
一道生	ʔiəʔ˥ dɔ˩˧ sen˥˧
一門心思	ʔiəʔ˥ men˧ ɕin˧ sɿ˧
一门心思	ʔiəʔ˥ men˧ ɕin˧ sɿ˧
一隻爹一隻娘	ʔiəʔ˥ ʦɑʔ˥ tiɑ˧ ʔʔiəʔ˥ tɑsq˥ niɑŋ˨˩˧
一隻鼎	ʔiəʔ˥ ʦɑʔ˥ tin˥˧
一頭	ʔiəʔ˥ dei
一點一畫	ʔiəʔ˥ tiɛ̃˥˧ ʔiəʔ˥ ɦuɑʔ˨
丁	tin˧
七	ʨʰiəʔ˥
七上八下	ʨʰiəʔ˥ zɑŋ˩˧ pɑʔ˥ ɦiɑ˩˧
七十	ʨʰiəʔ˥ zəʔ˨
七十一	ʨʰiəʔ˥ zəʔ˨ ʔiəʔ˥
七号	ʨʰiəʔ˥ ɦɔ˩˧
七嘴八舌	ʨʰiəʔ˥ ʦʮei˥˧ pɑʔ˥ zəʔ˨
七巧	ʨʰiəʔ˥ ʨʰiɔ˥˧
七巧板儿	ʨʰiəʔ˥ ʨʰiɔ˥˧ pɛ̃˥˧ əl˧˩
七巧板兒	ʨʰiəʔ˥ ʨʰiɔ˥˧ pɛ̃˥˧ əl˧˩
七手八脚	ʨʰiəʔ˥ sei˥˧ pɑʔ˥ ʨiɑʔ˥
七手八腳	ʨʰiəʔ˥ sei˥˧ pɑʔ˥ ʨiɑʔ˥
七拼八凑	ʨʰiəʔ˥ pʰin˧ pɑʔ˥ ʦʰei˥
七拼八湊	ʨʰiəʔ˥ pʰin˧ pɑʔ˥ ʦʰei˥
七搭八搭	ʨʰiəʔ˥ tɑʔ˥ pɑʔ˥ tɑʔ˥
七撮扁担稻桶星	ʨʰiəʔ˥ ʦʰoʔ˥ piɛ̃˥˧ tɛ̃˧˩ dɔ˩˧ tʰoŋ˥˧ ɕin˧˩
七撮扁擔稻桶星	ʨʰiəʔ˥ ʦʰoʔ˥ piɛ̃˥˧ tɛ̃˧˩ dɔ˩˧ tʰoŋ˥˧ ɕin˧˩
