㞘底	toʔ˥ ti˥˧
加飯	ʨiɑ˧ vɛ̃˧
加饭	ʨiɑ˧ vɛ̃˧
务	ɦu˩˧
劣	lɑʔ˨
动	doŋ˩˧
动不动	doŋ˩˧ pəʔ˥ doŋ˩˧
动手	doŋ˩˧ sei˥˧
动气	doŋ˩˧ ʨʰi˥
动脑筋	doŋ˩˧ nɔ˥˧ ʨin˧˩
助	ʣu˩˧
努	no˥˧
劫	ʨiəʔ˥
励	li˩˧
劲	ʥin˩˧
劲道	ʥin˩˧ dɔ˥˧
劳	lɔ˨˩˧
劳作	lɔ˧˩ ʦoʔ˥
势	sɿ˦˦˥
勁	ʥin˩˧
勁道	ʥin˩˧ dɔ˥˧
勃	bəʔ˨
勇	ioŋ˥˧
勉	miᴇ̃˥˧
勋	ɕyn˧
勒	ləʔ˨
勒哈	ləʔ˨ hɑ˧
勒得末	ləʔ˨ təʔ(或tɛ) moʔ˨
動	doŋ˩˧
動不動	doŋ˩˧ pəʔ˥ doŋ˩˧
動手	doŋ˩˧ sei˥˧
動氣	doŋ˩˧ ʨʰi˥
動腦筋	doŋ˩˧ nɔ˥˧ ʨin˧˩
勘	kʰᴇ̃˦˦˥
務	ɦu˩˧
勝	sen˦˦˥
勞	lɔ˨˩˧
勞作	lɔ˧˩ ʦoʔ˥
募	mo˩˧
勢	sɿ˦˦˥
勤	ʥin˨˩˧
勳	ɕyn˧
勵	li˩˧
勸	ʨʰyõ˦˦˥
勸酒	ʨʰyõ˥ ʨiø˥˧
勺	zoʔ˨
勺儿	zoʔ˨ əl˩˧
勺兒	zoʔ˨ əl˩˧
勻	ɦyn˨˩˧
勾	kei˧
勾肩搭背	kø˧ ʨiɛ̃˧ tɑʔ˥ pei˥
勿	vəʔ˨
匀	ɦyn˨˩˧
包	pɔ˧
包厢	pɔ˧ ɕiɑŋ˧
包头鱼	pɔ˧ dei˧ ɦy˧
包廂	pɔ˧ ɕiɑŋ˧
包心菜	pɔ˧ ɕin˧ ʦʰɛ˧
包打听	pɔ˧ tɑ˥˧ tʰin˧˩
包打聽	pɔ˧ tɑ˥˧ tʰin˧˩
包梢	pɔ˧ sɔ˧
包涵	pɔ˧ ɦɛ̃˧
包落來	pɔ˧ loʔ˥ lɛ
包落来	pɔ˧ loʔ˥ lɛ
包車	pɔ˧ ʦʮei˧
包車夫	pɔ˧ ʦʮei˧ fu˧
包车	pɔ˧ ʦʮei˧
包车夫	pɔ˧ ʦʮei˧ fu˧
包退	pɔ˧ tʰui˥
包頭魚	pɔ˧ dei˧ ɦy˧
包風火	pɔ˧ foŋ˧ ho˧
包风火	pɔ˧ foŋ˧ ho˧
匆	ʦʰoŋ˧
化	huɑ˦˦˥
化痰	huɑ˥ dɛ̃˨˩˧
化石灰	huɑ˥ zɑʔ˨ hui˧
化緣	huɑ˥ ɦyõ˨˩˧
化缘	huɑ˥ ɦyõ˨˩˧
化肥	huɑ˥ vi˧˩
北	poʔ˥
北佬儿	poʔ˥ lɔ˥˧ əl˧˩
北佬兒	poʔ˥ lɔ˥˧ əl˧˩
北大荒哥儿	poʔ˥ dɑ˩˧ huɑŋ˧ ko˧ əl˧
北大荒哥兒	poʔ˥ dɑ˩˧ huɑŋ˧ ko˧ əl˧
北头	poʔ˥ dei
北面	poʔ˥ miɛ̃˥
北頭	poʔ˥ dei
北高峯	poʔ˥ kɔ˧ foŋ˧
北高峰	poʔ˥ kɔ˧ foŋ˧
匙	zɿ˨˩˧
匠	ʥiɑŋ˩˧
匡	kʰuɑŋ˧
匡算	kʰuɑŋ˧ sʮõ˧
匪	fi˥˧
匯	ɦui˩˧
匹	pʰiəʔ˥
区	ʨʰy˧
医	ʔi˧
医生	i˧ sen˧
匾	piɛ̃˥˧
匿	ȵiəʔ˨
區	ʨʰy˧
十	zəʔ˨
十一	zəʔ˨ ʔiəʔ˥
十三块六角	zəʔ˨ sɛ̃˧ kʰui˧ loʔ˨ koʔ˥
十三塊六角	zəʔ˨ sɛ̃˧ kʰui˧ loʔ˨ koʔ˥
十三点	zəʔ˨ sɛ̃˧ tiɛ̃˥˧
十三點	zəʔ˨ sɛ̃˧ tiɛ̃˥˧
十二生肖	zəʔ˨ əl˥ sen˧ sɔ˧
十來個	zəʔ˨ lɛ˩˧ koʔ˥
十号	zəʔ˨ ɦɔ˩˧
十多个	zəʔ˨ to˧ koʔ˥
十多個	zəʔ˨ to˧ koʔ˥
十多日	zəʔ˨ to˧ zəʔ˨
十来个	zəʔ˨ lɛ˩˧ koʔ˥
十號	zəʔ˨ ɦɔ˩˧
千	ʨʰiɛ̃˧
千军万马	ʨʰiɛ̃˧ ʨʰyn˧ vɛ̃˩˧ mɑ˥˧
千变万化	ʨʰiɛ̃˧ piɛ̃˥ vɛ̃˩˧ huɑ˥˧
千家万户	ʨʰiɛ̃˧ ʨʰiɑ˧ vɛ̃˩˧ ɦu˩˧
千家萬戶	ʨʰiɛ̃˧ ʨʰiɑ˧ vɛ̃˩˧ ɦu˩˧
千层	ʨʰiɛ̃˧ ʣen˧
千層	ʨʰiɛ̃˧ ʣen˧
千岛湖	ʨʰiɛ̃˧ tɔ˥˧ ɦu˧˩
千島湖	ʨʰiɛ̃˧ tɔ˥˧ ɦu˧˩
千手觀音	ʨʰiɛ̃˧ sei˥˧ kuõ˧ ʔin˧
千手观音	ʨʰiɛ̃˧ sei˥˧ kuõ˧ ʔin˧
千把人	ʨʰiɛ̃˧ pɑ˥˧ zen˧˩
千真万确	ʨʰiɛ̃˧ ʦen˧ vɛ̃˩˧ ʨʰioʔ˥
千真萬確	ʨʰiɛ̃˧ ʦen˧ vɛ̃˩˧ ʨʰioʔ˥
千裏鏡	ʨʰiɛ̃˧ li˧ ʨʰin˧
千言万语	ʨʰiɛ̃˧ ɦiɛ̃˧ vɛ̃˩˧ ʔy˥˧
千言萬語	ʨʰiɛ̃˧ ɦiɛ̃˧ vɛ̃˩˧ ʔy˥˧
千變萬化	ʨʰiɛ̃˧ piɛ̃˥ vɛ̃˩˧ huɑ˥˧
千軍萬馬	ʨʰiɛ̃˧ ʨʰyn˧ vɛ̃˩˧ mɑ˥˧
千辛万苦	ʨʰiɛ̃˧ ɕin˧ vɛ̃˩˧ kʰu˥˧
千辛萬苦	ʨʰiɛ̃˧ ɕin˧ vɛ̃˩˧ kʰu˥˧
千里镜	ʨʰiɛ̃˧ li˧ ʨʰin˧
升	sen˧
升米儿	sen˧ əl˧ mi˥˧
升米兒	sen˧ əl˧ mi˥˧
升級	sen˧ ʨiəʔ˥
升级	sen˧ ʨiəʔ˥
午	ʔu˥˧
午时	ʔu˥˧ zɿ˧˩
午時	ʔu˥˧ zɿ˧˩
半	puõ˥
半三不四	puõ˥ sɛ̃˧˩ pəʔ˥ sɿ˥
半个	puõ˥ koʔ˥
半个月	puõ˥ koʔ˥ ɦiəʔ˨
半個	puõ˥ koʔ˥
半個月	puõ˥ koʔ˥ ɦiəʔ˨
半吊子	puõ˥ tiɔ˥˧ ʦɿ
半夜裡	puõ˥ ɦi˩˧ li˥˧
半夜里	puõ˥ ɦi˩˧ li˥˧
半山腰	puõ˥ sɛ̃˧˩ ʔiɔ˧˩
半开门	puõ˥ kʰɛ˧˩ men˧˩
半当中	puõ˥ tɑŋ˧˩ ʦɑŋ˧˩
半日	puõ˥ zəʔ˨
半當中	puõ˥ tɑŋ˧˩ ʦɑŋ˧˩
半而不接	puõ˥ əl˧˩ pəʔ˥ ʨiəʔ˥
半脚佬	puõ˥ ʨiɑʔ˥ lɔ˥˧
半腳佬	puõ˥ ʨiɑʔ˥ lɔ˥˧
半路出家	puõ˥ lu˩˧ ʦʰʮəʔ˥ ʨiɑ˧
半边风瘫	puõ˥ piɛ̃˧˩ foŋ˧ tʰɛ̃˧
半邊風癱	puõ˥ piɛ̃˧˩ foŋ˧ tʰɛ̃˧
半開門	puõ˥ kʰɛ˧˩ men˧˩
华	ɦuɑ˨˩˧
协	ɦiɑʔ˨
卑	pei˧
卒	ʦʮəʔ˥
卒卒儿	ʦʮəʔ˥ ʦʮəʔ˥ əl˧˩
卒卒兒	ʦʮəʔ˥ ʦʮəʔ˥ əl˧˩
卓	ʦoʔ˥
協	ɦiɑʔ˨
单	tᴇ̃˧
单刁	tɛ̃˧ tiɔ
单放	tɛ̃˧ fɑŋ˧
单爿儿	tɛ̃˧ pɛ̃˧ əl˧
单眼皮儿	tɛ̃˧ ʔiɛ̃˥˧ bi˧˩ əl˧˩
单耳朵	tɛ̃˧ əl˧ to˧
单裤	tɛ̃˧ kʰu˧
单隑人	tɛ̃˧ gɛ˩˧ zen˥˧
卖	mᴇ˦˦˥
卖关子	mɛ˩˧ kuõ˧ ʦɿ
卖屄儿子	mɛ˩˧ pi˧ əl˧˩ ʦɿ
卖屄货	mɛ˩˧ pi˧ hu˧
卖狗皮膏药	mɛ˩˧ kø˥˧ bi˧˩ kɔ˧ ɦiq˥
卖相	mɛ˩˧ ɕiɑŋ˥˧
卖面子	mɛ˩˧ miɛ̃˥ ʦɿ
南	nᴇ̃˨˩˧
南宋	nɛ̃˧˩ soŋ˥
南屏晚鐘	nɛ̃˧˩ bin˩˧ fɛ̃˥˧ ʦoŋ˧˩
南屏晚钟	nɛ̃˧˩ bin˩˧ fɛ̃˥˧ ʦoŋ˧˩
南瓜	nɛ̃˧˩ kuɑ˧
南瓜子	nɛ̃˧˩ kuɑ˧ ʦɿ˥˧
南瓜柄儿	nɛ̃˧˩ kuɑ˧ pin˥ əl˧˩
南瓜柄兒	nɛ̃˧˩ kuɑ˧ pin˥ əl˧˩
南面	nɛ̃˧˩ miɛ̃˥
博	poʔ˥
卜	pʰoʔ˥
卜卦	pʰoʔ˥ kuɑ˥
占	ku˥˧
卡車	kʰɑ˥˧ ʦʰʮei˧˩
卡车	kʰɑ˥˧ ʦʰʮei˧˩
卢	lu˨˩˧
卤	lu˥˧
卤儿	lu˥˧ əl˧˩
卤味	lu˥˧ vi˧˩
卤味店	lu˥˧ vi˧˩ tiɛ̃˥
卦	kuɑ˦˦˥
卧	ŋo˩˧
卫	ɦui˩˧
卫生纸	ɦui˩˧ sen˥˧ ʦɿ˥˧
卫生衫	ɦui˩˧ sen˥˧ sɛ̃˧˩
卫生裤	ɦui˩˧ sen˥˧ kʰu˧˩
卯	mɔ˥˧
印	ʔin˥
印儿	ʔin˥ əl˧˩
印兒	ʔin˥ əl˧˩
印版	ʔin˥ pɛ̃˥˧
印花稅	ʔin˥ huɑ˧˩ sʮei˥
印花税	ʔin˥ huɑ˧˩ sʮei˥
危	ɦui˨˩˧
危险八剌	ɦui˧˩ ɕiɛ̃˥˧ pɑʔ˥ lɑʔ˥
危險八剌	ɦui˧˩ ɕiɛ̃˥˧ pɑʔ˥ lɑʔ˥
即	ʨiəʔ˥
却	ʨʰiɑʔ˥
卵	luõ˥˧
卵子	luõ˥˧ ʦɿ
卵毛	luõ˥˧ mɔ˧˩
卵脬	luõ˥˧ pʰɔ˧˩
卷	ʨyõ˥˧
卷尺	ʨyõ˥˧ ʦʰəʔ˥
卷毛狗	ʨyõ˥˧ mɔ˧˩ kø˥˧
卷笔刀	ʨyõ˥˧ piəʔ˥ tɔ˧
卷筆刀	ʨyõ˥˧ piəʔ˥ tɔ˧
卷铺盖	ʨyõ˥˧ pʰu˧ kɛ˧
卸	ɕiɑ˦˦˥
卸任	ɕiəʔ˥ zen˩˧
卻	ʨʰiɑʔ˥
卿	ʨʰin˦˦˥
厂	ʦʰɑŋ˥˧
厅	tʰin˧
历	liəʔ˨
历本	liəʔ˨ pen˥˧
厉	li˩˧
压	iɑʔ˥
压台戏	ʔiɑʔ˥ dɛ˧ ɕi˧
压实	ʔiɑʔ˥ pɔ˥˧
压岁钿	ʔiɑʔ˥ sʮei˥ diɛ̃˧˩
厌	ʔiɛ̃˥
厌气	ʔiɛ̃˥ ʨʰi˧˩
厕	ʦʰɿ˦˦˥
厕所间	ʦʰɿ˥ so˥˧ kɛ̃˧˩
厘	li˨˩˧
原	ɦyõ˨˩˧
原个头	ɦyõ˧˩ koʔ˥ dei
原個頭	ɦyõ˧˩ koʔ˥ dei
原先	ɦyõ˧˩ ɕiɛ̃˧
原告	ɦyõ˧˩ kɔ˥
原番	ɦyõ˧˩ fɛ̃˧
原配	ɦyõ˧˩ pʰei˥
厢	ɕiɑŋ˧
厢房	ɕiɑŋ˧ vɑŋ˧
厣	iᴇ̃˥˧
厥	ʨyəʔ˥
厥倒	ʨyəʔ˥ tɔ˥˧
厦	ɦiɑ˩˧
厨	ʣʮ˨˩˧
厨刀	ʣʮ˧˩ tɔ˧
厨房	ʣʮ˧˩ vɑŋ˥˧
厨房师傅	ʣʮ˧˩ vɑŋ˥˧ sɿ˧ vu˧
厭	iᴇ̃˦˦˥
厭氣	ʔiɛ̃˥ ʨʰi˧˩
厮	sɿ˧
厲	li˩˧
厴	iᴇ̃˥˧
厴儿	ʔiɛ̃˥˧ əl˧˩
厴兒	ʔiɛ̃˥˧ əl˧˩
去	ʨʰi˦˦˥
去年子	ʨʰy˥ niɛ̃˧˩ ʦɿ
去得唻	ʨʰi˥˧ tə lɛ
去風溼	ʨʰi˥ foŋ˧ səʔ˥
去风湿	ʨʰi˥ foŋ˧ səʔ˥
县	ɦiᴇ̃˩˧
参	sen˧
參	sen˧
又	iø˥˧
叉	ʦʰɑ˧
及	ʥiəʔ˨
友	iø˥˧
双	sʮɑŋ˧
双加饭	sʮɑŋ˧ ʨiɑ˧ vɛ̃˧
双峰插云	sʮɑŋ˧ foŋ˧ ʦʰɑʔ˥ ɦyn˨˩˧
双抢	sʮɑŋ˧ ʨʰiɑŋ˥˧
双梯	sʮɑŋ˧ tʰi˧
双漩涡儿	sʮɑŋ˧ ʥiɛ̃˩˧ ʔo˥˧ əl˧˩
双生儿	sʮɑŋ˧ sen˧ əl˧
双眼皮儿	sʮɑŋ˧ ʔiɛ̃˥˧ bi˧˩ əl˧˩
双耳朵	sʮɑŋ˧ əl˧ to˧
双菜瓜	sʮɑŋ˧ ʦʰɛ˧ kuɑ˧
双隑人	sʮɑŋ˧ gɛ˧ zen˧
双黄蛋	sʮɑŋ˧ ɦuɑŋ˧ dɛ̃˩˧
反	fᴇ̃˥˧
反文旁	fɛ̃˥˧ ɦun˧˩ bɑŋ˧˩
反犬旁	fɛ̃˥˧ ʨʰyõ˧˩ bɑŋ˧˩
反綁	fɛ̃˥˧ pɑŋ˧˩
反绑	fɛ̃˥˧ pɑŋ˧˩
发	fɑʔ˥
发㤿	fɑʔ˥ ʔiɛ̃˥˧
发冷	fɑʔ˥ len˥˧
发利市	fɑʔ˥ li˩˧ zɿ˥˧
发嗲	fɑʔ˥ tiɑ˥˧
发噱	fɑʔ˥ ɕiəʔ˥
发大兴	fɑʔ˥ dɑ˩˧ ɕin˥˧
发大水	fɑʔ˥ do˩˧ sʮei˥˧
发急	fɑʔ˥ ʥiəʔ˨
发抖	fɑʔ˥ tei˥˧
发棵	fɑʔ˥ kʰo˧
发榜	fɑʔ˥ pɑŋ˥˧
发毛	fɑʔ˥ mɔ˨˩˧
发火	fɑʔ˥ ho˥˧
发火儿	fɑʔ˥ ho˥˧ əl˧˩
发热	fɑʔ˥ zʮəʔ˨
发痧	fɑʔ˥ sɑ˧
发痴	fɑʔ˥ ʦʰɿ˧
发瘟病	fɑʔ˥ ʔun˧ bin˧
发皮	fɑʔ˥ bi˩˧
发神经	fɑʔ˥ zen˧˩ ʨin˧
发票	fɑʔ˥ pʰiɔ˥
发背	fɑʔ˥ pei˥
发菜	fɑʔ˥ ʦʰɛ˧
发誓	fɑʔ˥ zɿ˩˧
发踱	fɑʔ˥ doʔ˨
发酵粉	fɑʔ˥ ʨiɔ˥ fen˥˧
发面	fɑʔ˥ miɛ̃˥
发骚	fɑʔ˥ sɔ˧
发鼾	fɑʔ˥ hei˧
叔	soʔ˥
取	ʨʰy˥˧
受	zei˩˧
受寒	zei˩˧ ɦɛ̃˨˩˧
受气包	zei˩˧ ʨʰi˥ pɔ˧˩
受氣包	zei˩˧ ʨʰi˥ pɔ˧˩
受賄	zei˩˧ hui˥
受贿	zei˩˧ hui˥
变	piᴇ̃˦˦˥
变戏法儿	piɛ̃˥ ɕi˥ fɑʔ˥ əl˧
变死	piɛ̃˥ sɿ˥˧
叙	ʥy˩˧
叛	buõ˩˧
叟	sei˧
叠叠铺	diəʔ˨ diəʔ˨ pʰu˥
叠起来	diəʔ˨ ʨʰi˥˧ lɛ˧˩
叢	ʣoŋ˨˩˧
口	kʰø˥˧
口供	kʰø˥˧ koŋ˧˩
口头	kʰø˥˧ dei
口才	kʰø˥˧ ʣɛ˧˩
口气	kʰø˥˧ ʨʰi˧˩
口氣	kʰø˥˧ ʨʰi˧˩
口流水儿	kʰø˥˧ liø˧˩ sʮei˥˧ əl˧˩
口流水兒	kʰø˥˧ liø˧˩ sʮei˥˧ əl˧˩
口臭	kʰø˥˧ ʦʰei˧˩
口音	kʰø˥˧ ʔin˧˩
口頭	kʰø˥˧ dei
古董	ku˥˧ toŋ˧˩
古香緞	ku˥˧ ɕiɑŋ˧˩ duõ˩˧
古香缎	ku˥˧ ɕiɑŋ˧˩ duõ˩˧
句	ʨy˥
另	lin˩˧
另外	lin˥ ɦuɛ˩˧
叨	tɔ˧
只	ʦɑʔ˥
只得	ʦəʔ˥ tɛ
叫	ʨiɔ˥
叫名	ʨiɔ˥ min˧˩
叫哥哥	ʨiɔ˥ ko˧˩ ko˧˩
叫子	ʨiɔ˥ ʦɿ
叫得应	ʨiɔ˥ təʔ ʔin˥
叫得應	ʨiɔ˥ təʔ ʔin˥
召	ʣɔ˩˧
叮	tin˧
叮人	tin˧ zen˨˩˧
可	kʰo˥˧
台	dɛ˨˩˧
台布	dɛ˨˩˧ foŋ˧
台板玻璃	dɛ˨˩˧ pɛ̃˥˧ po˧ li˧
台毯布	dɛ˨˩˧ tʰɛ̃˥˧ pu˧˩
台鐘	dɛ˨˩˧ ʦoŋ˧
台钟	dɛ˨˩˧ ʦoŋ˧
台面	dɛ˨˩˧ miɛ̃˩˧
台风	dɛ˨˩˧ foŋ˧
史	sɿ˥˧
右	ɦiø˩˧
叶	ɦiəʔ˨
号	ɦɔ˩˧
号令	ɦɔ˩˧ lin˥˧
司	sɿ˧
司不灵	sɿ˧ pəʔ˥ lin˧
司不靈	sɿ˧ pəʔ˥ lin˧
司机	sɿ˧ ʨi˧
司機	sɿ˧ ʨi˧
司的克	sɿ˧ tiəʔ˥ kʰəʔ˥
叹	tʰᴇ̃˦˦˥
叹苦经	tʰɛ̃˥ kʰu˥˧ ʨin˧˩
吃	ʨʰioʔ˥
吃巴掌	ʨʰioʔ˥ pɑ˧ ʦɑŋ˧
吃饭	ʨʰioʔ˥ vɛ̃˩˧
各	koʔ˥
合	ɦɑʔ˨
合扑	ɦɑʔ˨ pʰoʔ˥
合扑睏	ɦɑʔ˨ pʰoʔ˥ kʰun˥
合撲	ɦɑʔ˨ pʰoʔ˥
合撲睏	ɦɑʔ˨ pʰoʔ˥ kʰun˥
合算	kɑʔ˥ sʮõ˥
吉	ʨiəʔ˥
吊	tiɔ˥
吊兰	tiɔ˥ lɛ̃˧˩
吊命	tiɔ˥ min˥
吊桶	tiɔ˥ tʰoŋ˥˧
吊桶索儿	tiɔ˥ tʰoŋ˥˧ soʔ˥ əl˧
吊桶索兒	tiɔ˥ tʰoŋ˥˧ soʔ˥ əl˧
吊水	tiɔ˥ sʮei˥˧
吊灯	tiɔ˥ ten˧˩
吊煞鬼	tiɔ˥ sɑʔ˥ kui˧˩
吊燈	tiɔ˥ ten˧˩
吊眼皮	tiɔ˥ ʔiɛ̃˥˧ bi˧˩
吊胃口	tiɔ˥ ʔui˥ kʰø˧˩
吊膀子	tiɔ˥ pɑŋ˥˧ ʦɿ
吊蘭	tiɔ˥ lɛ̃˧˩
吊袜带	tiɔ˥ mɑʔ˨ tɛ˥
吊襪帶	tiɔ˥ mɑʔ˨ tɛ˥
同	doŋ˨˩˧
同党	doŋ˧˩ tɑŋ˥˧
同学	doŋ˧˩ ɦiɑʔ˨
同學	doŋ˧˩ ɦiɑʔ˨
同年	doŋ˧˩ niɛ̃˩˧
同行宗	doŋ˧˩ ɦɑŋ˩˧ ʦoŋ˧
同輩	doŋ˧˩ pei˥
同辈	doŋ˧˩ pei˥
同黨	doŋ˧˩ tɑŋ˥˧
名	min˨˩˧
名堂	min˧˩ dɑŋ˩˧
名头	min˧˩ dei
名气	min˧˩ ʨʰi˥
名氣	min˧˩ ʨʰi˥
名頭	min˧˩ dei
后	ɦei˩˧
后冲	ɦei˩˧ ʦʰoŋ˥˧
后半夜	ɦei˩˧ puõ˥˧ ɦi˧˩
后头	ɦei˩˧ dei
后娘	ɦei˩˧ niɑŋ˥˧
后年	ɦei˩˧ niɛ̃˧˩
后底头	ɦei˩˧ ti˥˧ dei
后手	ɦei˩˧ sei˥˧
后日	ɦei˩˧ zəʔ˨
后爪	ɦei˩˧ ʦɔ˥˧
后爹	ɦei˩˧ tiɑ˥˧
后生	ɦei˩˧ sen˥˧
后脑勺	ɦei˩˧ nɔ˥˧ zoʔ˨
后花园	ɦei˩˧ huɑ˥˧ ɦyõ˧˩
后门	ɦei˩˧ men˥˧
后门头	ɦei˩˧ men˥˧ dei
后首来	ɦei˩˧ sei˥˧ lɛ˧˩
吏	li˩˧
吐	tʰu˦˦˥
向	ɕiɑŋ˥
吓	hɑʔ˥
吓了一头	hɑʔ˥ ləʔ˥ ʔiəʔ˥ dei
吓人倒怪	hɑʔ˥ zen˧ tɔ˥˧ kuɛ˧˩
吓佬佬	hɑʔ˥ lɔ˥˧ lɔ˧˩
吕	ly˥˧
君	ʨyn˧
吝	lin˩˧
吞	tʰen˧
吞头	tʰen˧ dei
吞頭	tʰen˧ dei
吟	ȵin˨˩˧
吠	fi˦˦˥
否	fei˥˧
含	ɦᴇ̃˨˩˧
听	tʰin˧
听装	tʰin˧ ʦʮɑŋ˧
听隔壁戏	tʰin˧ kɑʔ˥ piəʔ˥ ɕi˥
听骂声	tʰin˧ mɑ˥ sen˧˩
启	ʨʰi˥˧
吳	ɦu˨˩˧
吳山	ɦu˧˩ sɛ̃˧
吳山天風	ɦu˧˩ sɛ̃˧ tʰiɛ̃˧ foŋ˧
吳山酥油餅	ɦu˧˩ sɛ̃˧ su˧ ɦiø˧ pin˧
吴	ɦu˨˩˧
吴山	ɦu˧˩ sɛ̃˧
吴山天风	ɦu˧˩ sɛ̃˧ tʰiɛ̃˧ foŋ˧
吴山酥油饼	ɦu˧˩ sɛ̃˧ su˧ ɦiø˧ pin˧
吵	ʦʰɔ˥˧
吵你	ʦʰɔ˥˧ ni˥˧
吵吵儿	ʦʰɔ˥˧ ʦʰɔ˧˩ əl˧˩
吵吵兒	ʦʰɔ˥˧ ʦʰɔ˧˩ əl˧˩
吵新房	ʦʰɔ˥˧ ɕin˧ fɑŋ˧
吸	ɕiəʔ˥
吸墨	ɕiəʔ˥ moʔ˥
吸水	ɕiəʔ˥ sʮei˥˧
吸鐵石	ɕiəʔ˥ tʰiəʔ˥ zɑʔ˨
吸铁石	ɕiəʔ˥ tʰiəʔ˥ zɑʔ˨
吹	ʦʰʮei˧
吹乌	ʦʰʮei˧ ʔu˧
吹了	ʦʰʮei˧ ləʔ
吹叫子	ʦʰʮei˧ ʨiɔ˥ ʦɿ
吹大气泡	ʦʰʮei˧ dɑ˩˧ ʨʰi˥˧ pʰɔ˧˩
吹大氣泡	ʦʰʮei˧ dɑ˩˧ ʨʰi˥˧ pʰɔ˧˩
吹烏	ʦʰʮei˧ ʔu˧
吹牛屄	ʦʰʮei˧ niø˧˩ pi˧
吹風	ʦʰʮei˧ foŋ˧
吹风	ʦʰʮei˧ foŋ˧
吻	ven˩˧
吼	
吾	ɦu˨˩˧
呂	ly˥˧
呃	əʔ˥
呆	ŋɛ˨˩˧
呆七呆八	ŋɛ˧˩ ʨʰiəʔ˥ ŋɛ˧˩ pɑʔ˥
呆不楞登	ŋɛ˧˩ pəʔ˥ len˩˧ den˥˧
呆呆交	ŋɛ˧˩ ŋɛ˩˧ ʨiɔ˧
呆大女婿	ŋɛ˧˩ do˩˧ ny˥˧ ɕy˧˩
呆头呆脑	ŋɛ˧˩ dei˩˧ ŋɛ˧˩ nɔ˧˩
呆木大	ŋɛ˧˩ moʔ˨ do˩˧
呆板	kʰɛ˧˧(或ŋɛ˧˩) pɛ̃˥˧
呆煞得	ŋɛ˧˩ sɑʔ˥ təʔ
呆笃笃	ŋɛ˧˩ toʔ˥ toʔ˥
呆篤篤	ŋɛ˧˩ toʔ˥ toʔ˥
呆頭呆腦	ŋɛ˧˩ dei˩˧ ŋɛ˧˩ nɔ˧˩
呆鼓儿	ŋɛ˧˩ ku˥˧ əl˧˩
呆鼓兒	ŋɛ˧˩ ku˥˧ əl˧˩
呆鼓鼓	ŋɛ˨˩˧ ku˥˧ ku˧˩
呈	ʣen˨˩˧
告	kɔ˦˦˥
告状	kɔ˥˧ ʣʮɑŋ˩˧
告狀	kɔ˥˧ ʣʮɑŋ˩˧
告示	kɔ˥˧ zɿ˧˩
告訴	kɔ˥˧ su˧˩
告诉	kɔ˥˧ su˧˩
呕	ei˥˧
员	ɦyõ˨˩˧
呛	ʨʰiɑŋ˥
呛一声	ʨʰiɑŋ˥ ʔiəʔ˥ sen˧˩
周	ʦei˧
味	vi˩˧
味精	vi˩˧ ʨin˧
味道	vi˩˧ dɔ˥˧
呵痒	ho˧ ʔiɑŋ˥˧
呵癢	ho˧ ʔiɑŋ˥˧
呼	hu˧
呼哮笋	hu˧ ɕiɔ˧ sʮen˥˧
呼哮筍	hu˧ ɕiɔ˧ sʮen˥˧
呼炭	hu˧ tʰɛ̃˧
命	min˩˧
命令	min˩˧ lin˥˧
和	ɦo˨˩˧
和尚	ɦo˨˩˧ zɑŋ˩˧
和尚头	ɦo˨˩˧ zɑŋ˩˧ dei˨˩˧
和尚頭	ɦo˨˩˧ zɑŋ˩˧ dei˨˩˧
和棋	ɦo˨˩˧ ʥi˩˧
和气生财	ɦo˨˩˧ ʨʰi˥ sen˧ ʣɛ˨˩˧
和氣生財	ɦo˨˩˧ ʨʰi˥ sen˧ ʣɛ˨˩˧
和面	ɦo˨˩˧ miɛ̃˩˧
咎	ʥiø˩˧
咏	ioŋ˥˧
咒	ʦei˦˦˥
咖喱粉	kɑ˧ li˧ fen˥˧
咨	ʦɿ˧
咬	ʔiɔ˥˧
咬牙切齒	ʔiɔ˥˧ ɦiɑ˨˩˧ ʨʰiəʔ˨ ʦʰɿ˥˧
咬牙切齿	ʔiɔ˥˧ ɦiɑ˨˩˧ ʨʰiəʔ˨ ʦʰɿ˥˧
咬耳朵	ʔiɔ˥˧ əl˥˧ to˧˩
咸	ɦiɛ̃˨˩˧
咸件儿	ɦiɛ̃˧˩ ʥiɛ̃˩˧ əl˥˧
咸枪蟹	ɦiɛ̃˧˩ ʨʰiɑŋ˧ ɕiɛ˥˧
咸肉	ɦiɛ̃˧˩ zoʔ˨
咸菜	ɦiɛ̃˧˩ ʦʰɛ˥
咸萝卜干	ɦiɛ̃˧˩ lo˨˩˧ boʔ˨ kɛ̃˧
咸鱼	ɦiɛ̃˧˩ ɦy˨˩˧
咸鸡蛋	ɦiɛ̃˧˩ ʨi˧ dɛ̃˩˧
咸鸭蛋	ɦiɛ̃˧˩ ʔiɑʔ˥ dɛ̃˩˧
咽	iᴇ̃˧
咽不落	ʔiɛ̃˥ pəʔ˥ loʔ˨
咽落去	ʔiɛ̃˥ loʔ˨ ʨʰi˧˩
哀	ᴇ˧
品	pʰin˥˧
哄	hoŋ˦˦˥
哄人鬼儿	hoŋ˥ zen˧˩ kui˥˧ əl˧˩
