㒼	mũ˨˩˧
发心	fɐʔ˥ ɕiŋ˥˧
发棵	fɐʔ˥ kʰəu˥˧
发热昏	fɐʔ˥ ȵiɪʔ˩˨ huəŋ˥˧
发痧气	fɐʔ˥ so˥˧ ʨʰi˦˦
发送	fɐʔ˥ soŋ˦˦
发酒凚	fɐʔ˥ ʨiʏ˧˥ ʥiŋ˨˩˧
发酵粉	fɐʔ˥ kɔ˦˦ fəŋ˧˥
发醭	fɐʔ˥ pʰoʔ˥
发隔	fɐʔ˥ kɐʔ˥
发食	fɐʔ˥ ʑiɪʔ˩˨
叔伯姆	soʔ˥ pa˦˦ m̩˨˦
叔公	soʔ˥ koŋ˥˧
叔婆	soʔ˥ bəu˨˦
受委气	ʑiʏ˨˩˧ uɐɪ˧˥ ʨʰi˦˦
受委氣	ʑiʏ˨˩˧ uɐɪ˧˥ ʨʰi˦˦
叠	diɐʔ˩˨
口	kʰœʏ˧˥
口头	kʰœʏ˧˥ dœʏ˨˦
口沒煞	kʰœʏ˧˥ mɐʔ˩˨ sɐʔ˥
口没煞	kʰœʏ˧˥ mɐʔ˩˨ sɐʔ˥
口泛	kʰœʏ˧˥ fɛ˦˦
口頭	kʰœʏ˧˥ dœʏ˨˦
古老百千	ku˧˥ lɔ˨˩˧ pɐʔ˥ ʨʰi˥˧
只勒	ʨiɪʔ˥ lɐʔ˩˨
只勿	ʨiɪʔ˥ vɐʔ˩˨
只只	ʨiɪʔ˥ ʨiɪʔ˥
只欠多	ʨiɪʔ˥ ʨʰi˦˦ təu˧˥
叫	ʨio˦˦
叫子	ʨio˦˦ ʦɿ˧˥
叫扁	ʨio˦˦ pi˧˥
叫花子	kɔ˦˦ huo˦˦ ʦɿ˧˥
叫𧐖	ʨio˦˦ li˨˦
可	kʰəu˧˥
可怜	kʰəu˧˥ li˨˦
可怜可相	kʰəu˧˥ li˨˦ kʰəu˧˥ ɕiã˦˦
可怜相	kʰəu˧˥ li˨˦ ɕiã˦˦
可恶	kʰəu˧˥ ɦu˨˩˧
可惡	kʰəu˧˥ ɦu˨˩˧
可憐	kʰəu˧˥ li˨˦
可憐可相	kʰəu˧˥ li˨˦ kʰəu˧˥ ɕiã˦˦
可憐相	kʰəu˧˥ li˨˦ ɕiã˦˦
叶爿	ɦiɪʔ˩˨ bɛ˨˦
叶薄	ɦiɪʔ˩˨ boʔ˩˨
叶薄里	ɦiɪʔ˩˨ boʔ˩˨ li˨˩˧
司卫铁	sɿ˥˧ ɦuɐɪ˨˩˧ tʰiɪʔ˥
司的克	sɿ˥˧ tiɪʔ˥ kʰɐʔ˥
司衛鐵	sɿ˥˧ ɦuɐɪ˨˩˧ tʰiɪʔ˥
叹苦经	tʰɛ˦˦ kʰu˧˥ ʨiŋ˥˧
叽咕	ʨi˥˧ ku˥˧
叽奏	ʨi˥˧ ʦœʏ˥˧
吃	ʨʰyoʔ˥
吃上加吃	ʨʰyoʔ˥ zɔ̃˨˩˧ ko˥˧ ʨʰyoʔ˥
吃人脑髓	ʨʰyoʔ˥ ȵiŋ˨˦ nɔ˨˩˧ ɕi˥˧
吃僝头	ʨʰyoʔ˥ zɛ˨˩˧ dœʏ˨˦
吃勒落	ʨʰyoʔ˥ lɐʔ˩˨ loʔ˩˨
吃勿落	ʨʰyoʔ˥ vɐʔ˩˨ loʔ˩˨
吃发螂	ʨʰyoʔ˥ fɐʔ˥ lɔ̃˨˦
吃发螳螂	ʨʰyoʔ˥ fɐʔ˥ dɔ̃˨˦ lɔ̃˨˦
吃口	ʨʰyoʔ˥ kʰœʏ˧˥
吃后扑	ʨʰyoʔ˥ ɦœʏ˨˩˧ pʰoʔ˥
吃吓	ʨʰiɪʔ˥ hɐʔ˥
吃喷头	ʨʰyoʔ˥ pʰəŋ˥˧ dœʏ˨˦
吃嘴	kɐʔ˥ ʦʮ˧˥
吃场	ʨʰyoʔ˥ ʥiã˨˩˧
吃场案	ʨʰyoʔ˥ ʥiã˨˩˧ ɐɪ˦˦
吃夹饼	ʨʰyoʔ˥ kɐʔ˥ piŋ˧˥
吃客	ʨʰyoʔ˥ kʰɐʔ˥
吃小苦	ʨʰyoʔ˥ ɕio˧˥ kʰu˧˥
吃巴掌	ʨʰyoʔ˥ po˥˧ ʦɔ̃˧˥
吃排头	ʨʰyoʔ˥ ba˨˦ dœʏ˨˦
吃排山	ʨʰyoʔ˥ ba˨˦ sɛ˥˧
吃搅势	ʨʰyoʔ˥ gɔ˨˩˧ sʮ˦˦
吃栗子	ʨʰyoʔ˥ liɪʔ˩˨ ʦɿ˧˥
吃格	ʨʰyoʔ˥ kɐʔ˥
吃死饭	ʨʰyoʔ˥ ɕi˧˥ vɛ˨˩˧
吃气勿过	ʨʰyoʔ˥ ʨʰi˦˦ vɐʔ˩˨ kəu˦˦
吃水	ʨʰyoʔ˥ sʮ˧˥
吃热	ʨʰyoʔ˥ ȵiɪʔ˩˨
吃煞	ʨʰyoʔ˥ sɐʔ˥
吃生活	ʨʰyoʔ˥ sã˥˧ ɦuɐʔ˩˨
吃瘪	ʨʰyoʔ˥ piɪʔ˥
吃相	ʨʰyoʔ˥ ɕiã˦˦
吃着	ʨʰyoʔ˥ ʣoʔ˩˨
吃着吃	ʨʰyoʔ˥ ʣoʔ˩˨ ʨʰyoʔ˥
吃空心汤团	ʨʰyoʔ˥ kʰoŋ˦˦ ɕiŋ˥˧ tʰɔ̃˥˧ dø˨˦
吃糖	ʨʰyoʔ˥ dɔ̃˨˦
吃素	ʨʰyoʔ˥ su˦˦
吃翻桌	ʨʰyoʔ˥ fɛ˥˧ ʦoʔ˥
吃老苦	ʨʰyoʔ˥ lɔ˨˩˧ kʰu˧˥
吃老蛤螷	ʨʰyoʔ˥ lɔ˨˩˧ kɐʔ˥ bi˨˦
吃脑子卜	ʨʰyoʔ˥ nɔ˨˩˧ ʦɿ˧˥ boʔ˩˨
吃脑子弹	ʨʰyoʔ˥ nɔ˨˩˧ ʦɿ˧˥ dɛ˨˩˧
吃脑子磕	ʨʰyoʔ˥ nɔ˨˩˧ ʦɿ˧˥ kʰɐʔ˥
吃舌头	kɐʔ˥ ʑiɪʔ˩˨ dœʏ˨˦
吃花菜	ʨʰyoʔ˥ huo˦˦ ʦʰe˦˦
吃萝卜干	ʨʰyoʔ˥ ləu˨˦ boʔ˩˨ ki˥˧
吃落脚	ʨʰyoʔ˥ loʔ˩˨ ʨiã˧˥
吃蛋糕	ʨʰyoʔ˥ dɛ˨˩˧ kɔ˥˧
吃豁辣面	ʨʰyoʔ˥ huɐʔ˥ lɐʔ˩˨ mi˨˩˧
吃豆腐	ʨʰyoʔ˥ dœʏ˨˩˧ vu˨˩˧
吃赔账	ʨʰyoʔ˥ bɐɪ˨˦ ʨiã˦˦
吃趤饭	ʨʰyoʔ˥ dã˨˩˧ vɛ˨˩˧
吃轮饭	ʨʰyoʔ˥ liŋ˨˦ vɛ˨˩˧
吃软弶	ʨʰyoʔ˥ ȵy˨˩˧ ʥiã˨˩˧
吃送轿米饭	ʨʰyoʔ˥ soŋ˦˦ ʥio˨˩˧ mi˨˩˧ vɛ˨˩˧
吃送酒	ʨʰyoʔ˥ soŋ˦˦ ʨiʏ˧˥
吃酒	ʨʰyoʔ˥ ʨiʏ˧˥
吃面孔	ʨʰyoʔ˥ mi˨˩˧ kʰoŋ˧˥
吃食	ʨʰyoʔ˥ ʑiɪʔ˩˨
吃食命	ʨʰyoʔ˥ ʑiɪʔ˩˨ miŋ˨˩˧
吃饭家生	ʨʰyoʔ˥ vɛ˨˩˧ ko˥˧ sã˥˧
吃饭间	ʨʰyoʔ˥ vɛ˨˩˧ kɛ˧˥
吃麵孔	ʨʰyoʔ˥ mi˨˩˧ kʰoŋ˧˥
吃𢞕	ʨʰiɪʔ˥ hoʔ˥
各人管自	koʔ˥ ȵiŋ˨˦ kũ˧˥ ʑi˨˩˧
各到各处	koʔ˥ tɔ˦˦ koʔ˥ ʦʰʮ˧˥
各到各採	koʔ˥ tɔ˦˦ koʔ˥ ʦʰe˧˥
各到各處	koʔ˥ tɔ˦˦ koʔ˥ ʦʰʮ˧˥
各到各采	koʔ˥ tɔ˦˦ koʔ˥ ʦʰe˧˥
各号	koʔ˥ ɦɔ˨˩˧
各头各面	koʔ˥ dœʏ˨˦ koʔ˥ mi˨˩˧
各岔	koʔ˥ ʦʰo˦˦
各手勿知賬	koʔ˥ ɕiʏ˧˥ vɐʔ˩˨ ʦʮ˥˧ ʨiã˦˦
各手勿知账	koʔ˥ ɕiʏ˧˥ vɐʔ˩˨ ʦʮ˥˧ ʨiã˦˦
各有人	koʔ˥ ɦiʏ˨˩˧ ȵiŋ˨˦
各样	koʔ˥ ɦiã˨˩˧
各樣	koʔ˥ ɦiã˨˩˧
各色各样	koʔ˥ sɐʔ˥ koʔ˥ ɦiã˨˩˧
各色各樣	koʔ˥ sɐʔ˥ koʔ˥ ɦiã˨˩˧
各號	koʔ˥ ɦɔ˨˩˧
各貌	koʔ˥ mɔ˨˩˧
各起管	koʔ˥ ʨʰi˧˥ kũ˧˥
各頭各面	koʔ˥ dœʏ˨˦ koʔ˥ mi˨˩˧
各𡍲	koʔ˥ tʰɐʔ˥
合	kɐʔ˥
合扑	ɦa˨˦ pʰoʔ˥
合撲	ɦa˨˦ pʰoʔ˥
合着	kɐʔ˥ ʣoʔ˩˨
吊	tio˦˦
吊心火	tio˦˦ ɕiŋ˥˧ həu˧˥
吊梁桶	tio˦˦ liã˨˦ doŋ˨˩˧
吊煞鬼	tio˦˦ sɐʔ˥ ʨy˧˥
吊燥水	tio˦˦ sɔ˦˦ sʮ˧˥
吊眼	tio˦˦ ŋɛ˨˩˧
吊紅	tio˦˦ ɦoŋ˨˦
吊红	tio˦˦ ɦoŋ˨˦
吊脚筋	tio˦˦ ʨiɐʔ˥ ʨiŋ˥˧
吊腳筋	tio˦˦ ʨiɐʔ˥ ʨiŋ˥˧
同同	doŋ˨˦ doŋ˨˦
同同到老	doŋ˨˦ doŋ˨˦ tɔ˦˦ lɔ˨˩˧
同年	doŋ˨˦ ȵi˨˦
同年相仿	doŋ˨˦ ȵi˨˦ ɕiã˦˦ pɔ̃˧˥
同行中	doŋ˨˦ ɦɔ̃˨˦ ʦoŋ˥˧
名其	miŋ˨˦ ʥi˨˩˧
名头	miŋ˨˦ dœʏ˨˦
名頭	miŋ˨˦ dœʏ˨˦
后	ɦœʏ˨˩˧
后坐臀	ɦœʏ˨˩˧ zəu˨˩˧ dəŋ˨˦
后头	ɦœʏ˨˩˧ dœʏ˨˦
后头来	ɦœʏ˨˩˧ dœʏ˨˦ le˨˦
后夹	ɦœʏ˨˩˧ kɐʔ˥
后夹身	ɦœʏ˨˩˧ kɐʔ˥ ɕiŋ˥˧
后屁眼	ɦœʏ˨˩˧ pʰi˦˦ ŋɛ˨˩˧
后屁股	ɦœʏ˨˩˧ pʰi˦˦ ku˧˥
后影	ɦœʏ˨˩˧ iŋ˧˥
后扑	ɦœʏ˨˩˧ pʰoʔ˥
后施枕	ɦœʏ˨˩˧ sɿ˥˧ ʨiŋ˧˥
后日	ɦœʏ˨˩˧ ȵiɪʔ˩˨
后日子	ɦœʏ˨˩˧ ȵiɪʔ˩˨ ʦɿ˧˥
后枪袋	ɦœʏ˨˩˧ ʨʰiã˥˧ de˨˩˧
后煞来	ɦœʏ˨˩˧ sɐʔ˥ le˨˦
后生	ɦœʏ˨˩˧ sã˥˧
后生家	ɦœʏ˨˩˧ sã˥˧ ko˥˧
后背	ɦœʏ˨˩˧ pɐɪ˦˦
后脚煞	ɦœʏ˨˩˧ ʨiɐʔ˥ sɐʔ˥
后起来	ɦœʏ˨˩˧ ʨʰi˧˥ le˨˦
后首来	ɦœʏ˨˩˧ ɕiʏ˧˥ le˨˦
向	ɕiã˦˦
向天	ɕiã˦˦ tʰi˥˧
向天河	ɕiã˦˦ tʰi˥˧ ɦəu˨˦
向天泅	ɕiã˦˦ tʰi˥˧ ʥiʏ˨˦
向抛天	ɕiã˦˦ pʰɔ˥˧ tʰi˥˧
向拋天	ɕiã˦˦ pʰɔ˥˧ tʰi˥˧
向白篮	ɕiã˦˦ bɐʔ˩˨ lɛ˨˦
向白籃	ɕiã˦˦ bɐʔ˩˨ lɛ˨˦
吓人倒怪	hɐʔ˥ ȵiŋ˨˦ tɔ˧˥ kua˦˦
吓势势	hɐʔ˥ sʮ˦˦ sʮ˦˦
吓煞	hɐʔ˥ sɐʔ˥
吓煞倒人	hɐʔ˥ sɐʔ˥ tɔ˧˥ ȵiŋ˨˦
吓老老	hɐʔ˥ lɔ˨˩˧ lɔ˨˩˧
吖	o˥˧
否则	fœʏ˧˥ ʦɐʔ˥
否則	fœʏ˧˥ ʦɐʔ˥
否格	fœʏ˧˥ kɐʔ˥
含胡桃	ɦɐɪ˨˦ ɦu˨˦ dɔ˨˦
听	tʰiŋ˥˧
听名声	tʰiŋ˥˧ miŋ˨˦ ɕiŋ˥˧
听回话	tʰiŋ˥˧ ɦuɐɪ˨˦ ɦuo˨˩˧
听壁脚	tʰiŋ˥˧ piɪʔ˥ ʨiɐʔ˥
听头	tʰiŋ˥˧ dœʏ˨˦
听头货	tʰiŋ˥˧ dœʏ˨˦ həu˦˦
听张	tʰiŋ˥˧ ʨiã˥˧
听明	tʰiŋ˥˧ miŋ˨˦
吵房	ʦʰɔ˧˥ vɔ̃˨˦
吵朋	ʦʰɔ˧˥ bã˨˦
吵朋乌龟	ʦʰɔ˧˥ bã˨˦ ̃ ʨy˥˧
吵朋烏龜	ʦʰɔ˧˥ bã˨˦ ̃ ʨy˥˧
吶	nɐʔ˩˨
吸	ɕiɪʔ˥
吸人	ɕiɪʔ˥ ȵiŋ˨˦
吸吸嚯嚯	ɕiɪʔ˥ ɕiɪʔ˥ hoʔ˥ hoʔ˥
吹吹泡	ʦʰʮ˥˧ ʦʰʮ˥˧ pʰɔ˦˦
吹牛屄	ʦʰʮ˥˧ ŋœʏ˨˦ pi˥˧
吹箫	ʦʰʮ˥˧ ɕio˥˧
吹簫	ʦʰʮ˥˧ ɕio˥˧
吹行	ʦʰʮ˥˧ ɦɔ̃˨˦
吼	hœʏ˥˧
吼势	hœʏ˥˧ sʮ˦˦
吼勢	hœʏ˥˧ sʮ˦˦
呀呀乎	ia˦˦ ia˦˦ ɦu˨˦
呆	ŋe˨˦
呆剝剝	ŋe˨˦ poʔ˥ poʔ˥
呆剝龍東	ŋe˨˦ poʔ˥ loŋ˨˦ toŋ˥˧
呆剥剥	ŋe˨˦ poʔ˥ poʔ˥
呆剥龙东	ŋe˨˦ poʔ˥ loŋ˨˦ toŋ˥˧
呆大	ŋe˨˦ dəu˨˩˧
呆大佬	ŋe˨˦ dəu˨˩˧ lɔ˨˩˧
呆大儿子	ŋe˨˦ dəu˨˩˧ ŋ̩˨˦ ʦɿ˧˥
呆大兒子	ŋe˨˦ dəu˨˩˧ ŋ̩˨˦ ʦɿ˧˥
呆大刮气	ŋe˨˦ dəu˨˩˧ kuɐʔ˥ ʨʰi˦˦
呆大刮氣	ŋe˨˦ dəu˨˩˧ kuɐʔ˥ ʨʰi˦˦
呆头呆脑	ŋe˨˦ dœʏ˨˦ ŋe˨˦ nɔ˨˩˧
呆忖忖	ŋe˨˦ ʦʰəŋ˧˥ ʦʰəŋ˧˥
呆性性	ŋe˨˦ ɕiŋ˦˦ ɕiŋ˦˦
呆的剝落	ŋe˨˦ tiɪʔ˥ poʔ˥ loʔ˩˨
呆的剥落	ŋe˨˦ tiɪʔ˥ poʔ˥ loʔ˩˨
呆脸呆得	ŋe˨˦ li˨˩˧ ŋe˨˦ tɐʔ˥
呆臉呆得	ŋe˨˦ li˨˩˧ ŋe˨˦ tɐʔ˥
呆長呆大	ŋe˨˦ ʥiã˨˦ ŋe˨˦ dəu˨˩˧
呆长呆大	ŋe˨˦ ʥiã˨˦ ŋe˨˦ dəu˨˩˧
呆頓頓	ŋe˨˦ təŋ˦˦ təŋ˦˦
呆頭呆腦	ŋe˨˦ dœʏ˨˦ ŋe˨˦ nɔ˨˩˧
呆顿顿	ŋe˨˦ təŋ˦˦ təŋ˦˦
告	kɔ˦˦
告格	kɔ˦˦ kɐʔ˥
呐	nɐʔ˩˨
呒	ʔm̩˦˦
呒介事	ʔm̩˦˦ ka˦˦ zɿ˨˩˧
呒佬	ʔm̩˦˦ lɔ˨˩˧
呒做	ʔm̩˦˦ ʦəu˦˦
呒出产	ʔm̩˦˦ ʦʰʮœʔ˥ sɛ˥˧
呒后还	ʔm̩˦˦ ɦœʏ˨˩˧ ɦuɛ˨˦
呒告	ʔm̩˦˦ kɔ˦˦
呒告多少	ʔm̩˦˦ kɔ˦˦ təu˧˥ ɕio˧˥
呒告话头	ʔm̩˦˦ kɔ˦˦ ɦuo˨˩˧ dœʏ˨˦
呒商量	ʔm̩˦˦ ɕiã˥˧ liã˨˦
呒头夹脚	ʔm̩˦˦ dœʏ˨˦ kɐʔ˥ ʨiɐʔ˥
呒心到事	ʔm̩˦˦ ɕiŋ˥˧ tɔ˦˦ zɿ˨˩˧
呒心呒事	ʔm̩˦˦ ɕiŋ˥˧ ʔm̩˦˦ zɿ˨˩˧
呒心相	ʔm̩˦˦ ɕiŋ˥˧ ɕiã˦˦
呒掉	ʔm̩˦˦ dio˨˩˧
呒数	ʔm̩˦˦ su˧˥
呒数倒账	ʔm̩˦˦ su˧˥ tɔ˧˥ ʨiã˦˦
呒数目账	ʔm̩˦˦ su˧˥ moʔ˩˨ ʨiã˦˦
呒本	ʔm̩˦˦ pəŋ˧˥
呒样范	ʔm̩˦˦ ɦiã˨˩˧ vɛ˨˩˧
呒根烂脚	ʔm̩˦˦ kəŋ˧˥ lɛ˨˩˧ ʨiɐʔ˥
呒根脚	ʔm̩˦˦ kəŋ˧˥ ʨiɐʔ˥
呒气呒魄	ʔm̩˦˦ ʨʰi˦˦ ʔm̩˦˦ pʰɐʔ˥
呒气懒魄	ʔm̩˦˦ ʨʰi˦˦ lɛ˨˩˧ pʰɐʔ˥
呒清头	ʔm̩˦˦ ʨʰiŋ˥˧ dœʏ˨˦
呒清夹头	ʔm̩˦˦ ʨʰiŋ˥˧ kɐʔ˥ dœʏ˨˦
呒清白头	ʔm̩˦˦ ʨʰiŋ˥˧ bɐʔ˩˨ dœʏ˨˦
呒百廿	ʔm̩˦˦ pɐʔ˥ ne˨˩˧
呒相干	ʔm̩˦˦ ɕiã˦˦ ki˥˧
呒结果	ʔm̩˦˦ ʨiɪʔ˥ kəu˧˥
呒脚力	ʔm̩˦˦ ʨiɐʔ˥ liɪʔ˩˨
呒脚活狲	ʔm̩˦˦ ʨiɐʔ˥ ɦuɐʔ˩˨ səŋ˥˧
呒脚色	ʔm̩˦˦ ʨiɐʔ˥ sɐʔ˥
呒脚蟹	ʔm̩˦˦ ʨiɐʔ˥ ha˧˥
呒要得紧	ʔm̩˦˦ io˦˦ tɐʔ˥ ʨiŋ˧˥
呒设法	ʔm̩˦˦ ɕiɪʔ˥ fɐʔ˥
呒话呒说	ʔm̩˦˦ ɦuo˨˩˧ ʔm̩˦˦ sʮœʔ˥
呒话说	ʔm̩˦˦ ɦuo˨˩˧ sʮœʔ˥
呒账得算	ʔm̩˦˦ ʨiã˦˦ tɐʔ˥ sʏ˦˦
呒趣相	ʔm̩˦˦ ʦʰʮ˦˦ ɕiã˦˦
呒进呒出	ʔm̩˦˦ ʨiŋ˦˦ ʔm̩˦˦ ʦʰʮœʔ˥
呒郎	ʔm̩˦˦ lɔ̃˨˦
呒郎看大体	ʔm̩˦˦ lɔ̃˨˦ kʰi˦˦ da˨˩˧ tʰi˧˥
呒采去	ʔm̩˦˦ ʦʰe˧˥ ʨʰi˦˦
呒长进	ʔm̩˦˦ ʨiã˧˥ ʨiŋ˦˦
呒陶成	ʔm̩˦˦ dɔ˨˦ ʥiŋ˨˦
呒陶白成	ʔm̩˦˦ dɔ˨˦ bɐʔ˩˨ ʥiŋ˨˦
呕	œʏ˥˧
呕侬疙瘩𡀂	œʏ˥˧ nəu˨˩˧ kɐʔ˥ tɐʔ˥ lɐɪ˨˦
呕侬𢜭力𡀂	œʏ˥˧ nəu˨˩˧ ʥiɐʔ˩˨ liɪʔ˩˨ lɐɪ˨˦
呕俉疙瘩𡀂	œʏ˥˧ ŋ̩˨˩˧ kɐʔ˥ tɐʔ˥ lɐɪ˨˦
呕俉𢜭力𡀂	œʏ˥˧ ŋ̩˨˩˧ ʥiɐʔ˩˨ liɪʔ˩˨ lɐɪ˨˦
呕勒应	œʏ˥˧ lɐʔ˩˨ iŋ˥˧
呕勿应	œʏ˥˧ vɐʔ˩˨ iŋ˥˧
呕呕其	œʏ˥˧ œʏ˥˧ ʥi˨˩˧
呕活灵	œʏ˥˧ ɦuɐʔ˩˨ liŋ˨˦
呛	ʨʰiã˦˦
呛拍	ʨʰiã˦˦ pʰɐʔ˥
呛气	ʨʰiã˦˦ ʨʰi˦˦
周捉	ʨiʏ˥˧ ʦoʔ˥
味	vi˨˩˧
味之素	vi˨˩˧ ʦɿ˥˧ su˦˦
呵呵	həu˦˦ həu˦˦
呵痒趣趣	huo˥˧ ɦiã˨˩˧ ʦʰʮ˦˦ ʦʰʮ˦˦
呵癢趣趣	huo˥˧ ɦiã˨˩˧ ʦʰʮ˦˦ ʦʰʮ˦˦
呵趣趣	huo˥˧ ʦʰʮ˦˦ ʦʰʮ˦˦
呵鼾	huo˥˧ he˥˧
呼啸蛇	fu˥˧ ɕio˥˧ ʣo˨˦
呼嘯蛇	fu˥˧ ɕio˥˧ ʣo˨˦
呼筱丝	fu˥˧ ɕio˧˥ sɿ˥˧
呼筱絲	fu˥˧ ɕio˧˥ sɿ˥˧
咂	ʦoʔ˥
咉	ɔ̃˥˧
咋	ʣa˨˩˧
咋光景	ʣa˨˩˧ kuɔ̃˥˧ ʨiŋ˧˥
咋呢	ʣa˨˩˧ ȵi˨˦
咋回事体	ʣa˨˩˧ ɦuɐɪ˨˦ zɿ˨˩˧ tʰi˧˥
咋回事體	ʣa˨˩˧ ɦuɐɪ˨˦ zɿ˨˩˧ tʰi˧˥
咋弄	ʣa˨˩˧ loŋ˨˩˧
咋弄弄	ʣa˨˩˧ loŋ˨˩˧ loŋ˨˩˧
咋式貌	ʣa˨˩˧ ɕiɪʔ˥ mɔ˨˩˧
咋式貌格	ʣa˨˩˧ ɕiɪʔ˥ mɔ˨˩˧ kɐʔ˥
咋挔	ʣa˨˩˧ i˦˦
咋挔挔	ʣa˨˩˧ i˦˦ i˦˦
咋管	ʣa˨˩˧ kəu˧˥
咋結煞	ʣa˨˩˧ ʨiɪʔ˥ sɐʔ˥
咋结煞	ʣa˨˩˧ ʨiɪʔ˥ sɐʔ˥
咋西娘格	ʣa˨˩˧ ɕi˥˧ ȵiã˨˦ kɐʔ˥
咋話	ʣa˨˩˧ ɦuo˨˩˧
咋话	ʣa˨˩˧ ɦuo˨˩˧
咋貌	ʣa˨˩˧ mɔ˨˩˧
咋貌格	ʣa˨˩˧ mɔ˨˩˧ kɐʔ˥
咋長闊短	ʣa˨˩˧ ʥiã˨˦ kʰuɐʔ˥ tø˧˥
咋长阔短	ʣa˨˩˧ ʥiã˨˦ kʰuɐʔ˥ tø˧˥
和	ɦəu˨˩˧
和个	ɦəu˨˩˧ kəu˦˦
和個	ɦəu˨˩˧ kəu˦˦
和头	ɦəu˨˩˧ dœʏ˨˦
和家	ɦəu˨˩˧ ko˥˧
和家老小	ɦəu˨˩˧ ko˥˧ lɔ˨˩˧ ɕio˧˥
和尚头	ɦəu˨˩˧ zɔ̃˨˩˧ dœʏ˨˦
和尚蟹	ɦəu˨˩˧ zɔ̃˨˩˧ ha˧˥
和尚頭	ɦəu˨˩˧ zɔ̃˨˩˧ dœʏ˨˦
和尚餅	ɦəu˨˩˧ zɔ̃˨˩˧ piŋ˧˥
和尚饼	ɦəu˨˩˧ zɔ̃˨˩˧ piŋ˧˥
和总	ɦəu˨˩˧ ʦoŋ˧˥
和拢	ɦəu˨˩˧ loŋ˨˩˧
和排	ɦəu˨˩˧ ba˨˦
和攏	ɦəu˨˩˧ loŋ˨˩˧
和消头	ɦəu˨˩˧ ɕio˥˧ dœʏ˨˦
和消頭	ɦəu˨˩˧ ɕio˥˧ dœʏ˨˦
和白篮摊	ɦəu˨˩˧ bɐʔ˩˨ lɛ˨˦ tʰɛ˥˧
和白籃攤	ɦəu˨˩˧ bɐʔ˩˨ lɛ˨˦ tʰɛ˥˧
和總	ɦəu˨˩˧ ʦoŋ˧˥
和落三姆	ɦəu˨˩˧ loʔ˩˨ sɛ˥˧ m̩˨˦
和頭	ɦəu˨˩˧ dœʏ˨˦
咍咍	he˦˦ he˦˦
咕	gu˨˩˧
咕咕	ku˥˧ ku˥˧
咖咖	go˨˦ go˨˦
咦	ɦi˨˩˧
咩咩	ʔmɛ˦˦ ʔmɛ˦˦
咪咪	ʔmi˦˦ ʔmi˦˦
咬	ŋɔ˨˩˧
咬口	ŋɔ˨˩˧ kʰœʏ˧˥
咬奶头	ŋɔ˨˩˧ na˨˩˧ dœʏ˨˦
咬奶蒂头	ŋɔ˨˩˧ na˨˩˧ ti˥˧ dœʏ˨˦
咬奶蒂頭	ŋɔ˨˩˧ na˨˩˧ ti˥˧ dœʏ˨˦
咬奶頭	ŋɔ˨˩˧ na˨˩˧ dœʏ˨˦
咱伊	ʣa˨˩˧ i˥˧
咳	he˦˦
咸克克	ɦɛ˨˦ kʰɐʔ˥ kʰɐʔ˥
咸咪咪	ɦɛ˨˦ ʔmi˦˦ ʔmi˦˦
咸滋滋	ɦɛ˨˦ ʦɿ˥˧ ʦɿ˥˧
咸苦	ɦɛ˨˦ kʰu˧˥
咸草	ɦɛ˨˦ ʦʰɔ˧˥
咸菜	ɦɛ˨˦ ʦʰe˦˦
咸虀	ɦɛ˨˦ ʨi˥˧
咸蟹	ɦɛ˨˦ ha˧˥
咸货店	ɦɛ˨˦ həu˦˦ ti˦˦
咸辣	ɦɛ˨˦ lɐʔ˩˨
咸辣辣	ɦɛ˨˦ lɐʔ˩˨ lɐʔ˩˨
咸韲	ɦɛ˨˦ ʨi˥˧
咸齑	ɦɛ˨˦ ʨi˥˧
咸齑菜	ɦɛ˨˦ ʨi˥˧ ʦʰe˦˦
咸𣝗	ɦɛ˨˦ ɦuɐʔ˩˨
咸𣝗青果	ɦɛ˨˦ ɦuɐʔ˩˨ ʨʰiŋ˥˧ kəu˧˥
咸𧆌	ɦɛ˨˦ ʨi˥˧
咸𪉨蟹	ɦɛ˨˦ ʨʰiã˦˦ ha˧˥
咽酸	i˦˦ sʏ˥˧
咿胡噢胡	i˥˧ ɦu˨˦ ɔ˥˧ ɦu˨˦
哄	ɦoŋ˨˩˧
哄闹热	ɦoŋ˨˩˧ nɔ˨˩˧ ȵiɪʔ˩˨
哄鬧熱	ɦoŋ˨˩˧ nɔ˨˩˧ ȵiɪʔ˩˨
哈答糊塗	hɐʔ˥ tɐʔ˥ ɦu˨˦ du˨˦
哈答糊涂	hɐʔ˥ tɐʔ˥ ɦu˨˦ du˨˦
响	ɕiã˧˥
响动	ɕiã˧˥ doŋ˨˩˧
响器	ɕiã˧˥ ʨʰi˦˦
响米花	ɕiã˧˥ mi˨˩˧ huo˦˦
响雷	ɕiã˧˥ lɐɪ˨˦
哎	ɐɪ˥˧
哏哏	gəŋ˨˦ gəŋ˨˦
哑子	o˧˥ ʦɿ˧˥
哓猪	ȵio˨˦ ʦʮ˧˥
哕	yəʔ˥
哕气勿转	yəʔ˥ ʨʰi˦˦ vɐʔ˩˨ ʦʏ˧˥
哚哚	do˨˩˧ do˨˩˧
哝克哝克	ʔnoŋ˦˦ kʰɐʔ˥ ʔnoŋ˦˦ kʰɐʔ˥
