儿	ŋ̩˧˩$
允	in˦$
元	ȵiø˧˩$
兄	ɕioŋ˥˧$
充	ʦʰoŋ˥˧$
兆	zɔ˩˧$
先	siɪ˥˧$
光	kuɑ̃˥˧$
克	kʰəʔ˥$
兌	dɛ˩˧$
免	miɪ˩˧$
兑	dɛ˩˧$
兒	ŋ̩˧˩$
兔	tʰu˧˥$
党	tɑ̃˦$
兜	tɤ˥˧$
入	zəʔ˨$
內	nɛ˩˧$
全	ziɪ˧˩$
兩	liɛ̃˩˧$
八	paʔ˥$
公	koŋ˥˧$
兮	i˥˧$
兰	lɛ˧˩$
共	goŋ˩˧$
关	kuɛ˥˧$
兴	ɕin˧˥$
兵	pin˥˧$
其	ʥi˧˩$
具	ʥy˩˧$
典	tiɪ˦$
兹	ʦɿ˥˧$
养	jiɛ̃˩˧$
兼	ʨiɪ˥˧$
兽	sɤ˧˥$
冀	ʨi˧˥$
内	nɛ˩˧$
冈	kɑ̃˥˧$
冊	ʦʰaʔ˥$
册	ʦʰaʔ˥$
再	ʦɛ˧˥$
写	sia˦$
军	ʨin˥˧$
农	loŋ˧˩$
冠	kø˧˥$
冤	iø˥˧$
冥	min˦$
冬	toŋ˥˧$
冯	ɦoŋ˧˩$
冰	pin˥˧$
冲	ʦʰoŋ˧˥$
况	fɑ̃˧˥$
冶	iɪ˧˥$
冷	lɛ̃˩˧$
冻	toŋ˧˥$
净	zin˩˧$
凄	ʦʰi˥˧$
准	ʦən˦$
凉	liɛ̃˧˩$
凌	lin˧˩$
凍	toŋ˧˥$
减	kɛ˦$
凑	ʦʰɤ˧˥$
凝	ȵin˧˩$
几	ʨi˦$
凡	vɛ˧˩$
凤	ɦoŋ˩˧$
凭	bin˧˩$
凯	kʰɛ˧˥$
凱	kʰɛ˧˥$
凳	tən˧˥$
凶	ɕioŋ˥˧$
凹	ɔ˥˧$
出	bø˧˩$
击	ʨiɪʔ˥$
函	ɦø˧˩$
凿	zoʔ˨$
刀	tɔ˥˧$
刁	tiɔ˥˧$
刃	zən˩˧$
分	fən˥˧$
切	ʦʰiɪʔ˥$
刊	kʰø˧˥$
刑	jin˧˩$
划	ɦuaʔ˨$
列	liɪʔ˨$
刘	lɤ˧˩$
则	ʦəʔ˥$
刚	kɑ̃˥˧$
创	ʦʰɑ̃˧˥$
初	ʦʰu˥˧$
删	sɛ˥˧$
判	pʰø˧˥$
別	biɪʔ˨$
刨	bɔ˩˧$
利	li˩˧$
刪	sɛ˥˧$
别	biɪʔ˨$
刮	kuaʔ˥$
到	tɔ˧˥$
刳	kʰu˥˧$
制	ʦɿ˧˥$
刷	søʔ˥$
券	ʨʰiø˧˥$
刺	ʦʰɿ˧˥$
刻	kʰəʔ˥$
刽	kʰuɛ˧˥$
剃	tʰi˧˥$
則	ʦəʔ˥$
削	siaʔ˥$
剑	ʨiɪ˧˥$
剔	tʰiɪʔ˥$
剛	kɑ̃˥˧$
剝	poʔ˥$
剥	poʔ˥$
剧	ʥiɪʔ˨$
剩	zən˩˧$
剪	ʦiɪ˦$
割	kəʔ˥$
創	ʦʰɑ̃˧˥$
劃	ɦo˧˩$
劄	ʦaʔ˥$
劇	ʥiɪʔ˨$
劈	pʰiɪʔ˥$
劉	lɤ˧˩$
劊	kʰuɛ˧˥$
劍	ʨiɪ˧˥$
劗	ʦɛ˥˧$
劝	ʨʰiø˧˥$
办	bɛ˩˧$
功	koŋ˥˧$
加	ʨia˥˧$
务	vu˩˧$
劣	liɪʔ˨$
动	doŋ˩˧$
助	zu˩˧$
努	nu˦$
劫	ʨiɪʔ˥$
劬	ʥy˧˩$
励	li˩˧$
劲	ʥin˩˧$
劳	lɔ˧˩$
势	sɿ˧˥$
勁	ʥin˩˧$
勃	bəʔ˨$
勇	ioŋ˦$
勉	miɪ˩˧$
勋	ɕin˥˧$
勒	ləʔ˨$
動	doŋ˩˧$
務	vu˩˧$
勞	lɔ˧˩$
募	mu˩˧$
勢	sɿ˧˥$
勤	ʥin˧˩$
勩	i˧˥$
勳	ɕin˥˧$
勵	li˩˧$
勸	ʨʰiø˧˥$
勹	pɔ˥˧$
勻	jin˧˩$
勾	kɤ˥˧$
匀	jin˧˩$
包	pɔ˥˧$
匆	ʦʰoŋ˥˧$
匈	ɕioŋ˥˧$
匏	bɔ˧˩$
匕	pi˦$
化	ho˧˥$
匙	zɿ˧˩$
匠	ziɛ̃˩˧$
匣	ɦaʔ˨$
匪	fi˥˧$
匯	vɛ˩˧$
匹	pʰiɪʔ˥$
区	ɤ˥˧$
医	i˥˧$
匾	piɪ˦$
區	ɤ˥˧$
十	zəʔ˨$
千	ʦʰiɪ˥˧$
升	sən˥˧$
午	ŋ̩˩˧$
半	pø˧˥$
华	ɦo˧˩$
协	jiaʔ˨$
卑	pɛ˥˧$
卒	ʦøʔ˥$
卓	ʦoʔ˥$
協	jiaʔ˨$
单	tɛ˥˧$
卖	ma˩˧$
博	poʔ˥$
卜	bo˧˩$
占	ʦø˥˧$
卦	ko˧˥$
卧	ŋu˩˧$
卯	mɔ˩˧$
印	in˧˥$
危	vɛ˧˩$
即	ʦiɪʔ˥$
却	ʦʰiaʔ˥$
卵	lø˩˧$
卷	ʨiø˦$
卸	sia˧˥$
卻	ʦʰiaʔ˥$
厂	ʦʰɛ̃˧˥$
厅	tʰin˥˧$
厉	li˩˧$
压	aʔ˥$
厌	iɪ˧˥$
厕	ʦʰɿ˧˥$
厘	li˧˩$
厚	ɦɤ˩˧$
厝	ʦʰu˧˥$
原	ȵiø˧˩$
厢	siɛ̃˥˧$
厣	iɪ˦$
厥	ʨiøʔ˥$
厦	ia˧˥$
厨	zʮ˧˩$
厭	iɪ˧˥$
厲	li˩˧$
厴	iɪ˦$
去	ʨʰi˧˥$
厾	toʔ˥$
县	iø˧˥$
参	sən˥˧$
參	sən˥˧$
又	iɤ˧˥$
叉	ʦʰo˥˧$
及	ʥi˩˧$
友	jiɤ˩˧$
双	sɑ̃˥˧$
反	fɛ˦$
发	faʔ˥$
叔	soʔ˥$
取	ʦʰy˧˥$
受	zɤ˩˧$
变	piɪ˧˥$
叛	bø˩˧$
叠	diɪʔ˨$
叢	zoŋ˧˩$
古	ku˦$
句	ʨy˧˥$
另	lin˩˧$
叨	tɔ˥˧$
只	ʦɿ˦$
叫	ʨiɔ˧˥$
召	zɔ˩˧$
叮	tin˥˧$
可	kʰo˧˥$
台	tʰɛ˥˧$
史	sɿ˦$
右	iɤ˧˥$
叶	jiɪʔ˨$
号	ɦɔ˩˧$
司	sɿ˥˧$
叹	tʰɛ˧˥$
吁	jy˩˧$
吃	ʨʰiəʔ˥$
各	koʔ˥$
合	ɦuøʔ˨$
吉	ʨiɪʔ˥$
吊	tiɔ˧˥$
同	doŋ˧˩$
名	min˧˩$
后	ɦɤ˩˧$
吐	tʰu˧˥$
吓	haʔ˥$
君	ʨin˥˧$
吞	tʰən˥˧$
吟	ȵin˧˩$
否	fɤ˦$
含	ɦø˧˩$
听	tʰin˧˥$
启	ʨʰi˧˥$
吳	vu˧˩$
吴	vu˧˩$
吵	ʦʰɔ˧˥$
吸	ɕiɪʔ˥$
吹	ʦʰɛ˥˧$
吻	vən˩˧$
吼	hɤ˧˥$
吾	ŋu˧˩$
呆	tɛ˥˧$
呈	zən˧˩$
告	kɔ˧˥$
呒	m̩˥˧$
呓	ȵi˩˧$
呕	ɤ˦$
呗	ba˩˧$
员	jiø˧˩$
呛	ʨʰiɛ̃˧˥$
呜	ʋu˥˧$
呢	nəʔ˨$
周	ʦɤ˥˧$
呱	ku˥˧$
味	mi˩˧$
呸	pʰɛ˥˧$
命	min˩˧$
咆	bɔ˧˩$
和	vu˧˩$
咎	ʥiɤ˩˧$
咏	jioŋ˩˧$
咕	ku˥˧$
咨	ʦɿ˥˧$
咩	mɛ̃˦$
咫	ʦɿ˦$
咬	ŋɔ˩˧$
咳	kʰəʔ˥$
咸	jiɪ˧˩$
咿	i˥˧$
品	pʰin˧˥$
哈	ha˥˧$
响	ɕiɛ̃˦$
哑	ia˦$
哙	kʰua˧˥$
員	jiø˧˩$
哥	ku˥˧$
哦	ŋu˧˩$
哭	kʰoʔ˥$
哮	hɔ˥˧$
哲	ʦøʔ˥$
哺	bu˩˧$
哽	kɛ̃˦$
唄	ba˩˧$
唆	su˥˧$
唇	zən˧˩$
唐	dɑ̃˧˩$
唔	ŋ̩˥˧$
唠	lɔ˧˩$
售	zɤ˩˧$
唯	vi˧˩$
唱	ʦʰɑ̃˧˥$
唾	tʰu˧˥$
啄	toʔ˥$
商	sɑ̃˥˧$
問	mən˩˧$
啐	ʦʰɛ˧˥$
啕	dɔ˧˩$
啞	ia˦$
啟	ʨʰi˧˥$
啥	sa˦$
啻	ʦʰɿ˧˥$
啼	di˧˩$
喂	y˧˥$
善	zø˩˧$
喉	ɦɤ˧˩$
喊	hɛ˧˥$
喌	to˧˥$
喜	ɕi˦$
喝	həʔ˥$
喪	sɑ̃˥˧$
喫	ʨʰiəʔ˥$
喬	ʥiɔ˧˩$
單	tɛ˥˧$
喻	jy˩˧$
嗆	ʨʰiɛ̃˧˥$
嗉	su˧˥$
嗍	soʔ˥$
嗒	taʔ˥$
嗚	ʋu˥˧$
嗜	zɿ˩˧$
嗞	ʦɿ˥˧$
嗣	zɿ˩˧$
嗤	ʦʰɿ˥˧$
嗲	tia˦$
嗽	sɤ˧˥$
嘉	ka˥˧$
嘓	koʔ˥$
嘔	ɤ˦$
嘗	zɛ̃˧˩$
嘘	ɕy˥˧$
嘮	lɔ˧˩$
嘱	ʦoʔ˥$
嘴	ʦɿ˦$
嘸	m̩˥˧$
噎	iɪʔ˥$
噓	ɕy˥˧$
器	ʨʰi˧˥$
噫	i˥˧$
噬	zɿ˩˧$
噱	ɕiøʔ˥$
噲	kʰua˧˥$
嚇	haʔ˥$
嚐	zɑ̃˧˩$
嚴	ȵiɪ˧˩$
嚷	zɛ̃˩˧$
嚼	ziaʔ˨$
囈	ȵi˩˧$
囊	nɑ̃˧˩$
囑	ʦoʔ˥$
四	sɿ˧˥$
回	vɛ˧˩$
因	in˥˧$
囡	nø˧˩$
团	dø˧˩$
囥	kʰɑ̃˧˥$
囪	ʦʰoŋ˥˧$
园	jiø˧˩$
困	kʰuən˧˥$
囱	ʦʰoŋ˥˧$
围	jy˧˩$
固	ku˧˥$
国	køʔ˥$
图	du˧˩$
圃	pu˧˥$
圄	ȵy˩˧$
圆	jiø˧˩$
圈	ʨʰiø˥˧$
圉	ȵy˩˧$
國	køʔ˥$
圍	jy˧˩$
園	jiø˧˩$
圓	jiø˧˩$
圖	du˧˩$
團	dø˧˩$
土	tʰu˧˥$
圣	sən˧˥$
在	zɛ˩˧$
圭	kuɛ˧˥$
地	di˩˧$
场	zɛ̃˧˩$
址	ʦɿ˦$
均	ʨin˥˧$
坌	bən˩˧$
坍	tʰɛ˥˧$
坏	ua˧˥$
坐	zu˩˧$
坑	kʰɛ̃˥˧$
块	kʰuɛ˧˥$
坚	ʨiɪ˥˧$
坝	po˧˥$
坞	ʋu˦$
坟	vən˧˩$
坡	pʰu˧˥$
坤	kʰuən˥˧$
坦	tʰɛ˧˥$
坯	pʰɛ˥˧$
垂	zɛ˧˩$
垃	la˩˧$
垄	loŋ˩˧$
型	jin˧˩$
垫	diɪ˩˧$
埂	kɛ̃˦$
埋	ma˧˩$
城	zən˧˩$
域	jiøʔ˨$
埠	bu˩˧$
埭	da˩˧$
執	ʦəʔ˥$
培	bɛ˧˩$
基	ʨi˥˧$
堂	dɑ̃˧˩$
堅	ʨiɪ˥˧$
堆	tɛ˥˧$
堡	pɔ˦$
堤	di˧˩$
堪	kʰø˥˧$
堰	iɪ˧˥$
報	pɔ˧˥$
場	zɛ̃˧˩$
堵	tu˦$
塊	kʰuɛ˧˥$
塌	tʰaʔ˥$
塑	soʔ˥$
塔	tʰaʔ˥$
塗	du˧˩$
塘	dɑ̃˧˩$
塞	səʔ˥$
塢	ʋu˦$
填	diɪ˧˩$
塵	zən˧˩$
境	ʨin˧˥$
墊	diɪ˩˧$
墓	mu˩˧$
墙	ziɛ̃˧˩$
增	ʦən˥˧$
墨	məʔ˨$
墩	tən˥˧$
墳	vən˧˩$
壁	piɪʔ˥$
壅	ioŋ˧˥$
壓	aʔ˥$
壞	ua˧˥$
壟	loŋ˩˧$
壤	zɛ̃˩˧$
壩	po˧˥$
士	zɿ˩˧$
壬	ȵin˧˩$
壮	ʦɑ̃˧˥$
壯	ʦɑ̃˧˥$
声	sən˥˧$
壳	kʰoʔ˥$
壸	vu˧˩$
壼	vu˧˩$
壽	zɤ˩˧$
处	ʦʰʮ˧˥$
备	bɛ˩˧$
复	foʔ˥$
夏	ia˧˥$
夕	ziɪʔ˨$
外	ŋa˩˧$
夙	soʔ˥$
多	tu˥˧$
夜	ia˧˥$
够	kɤ˧˥$
夠	kɤ˧˥$
夢	moŋ˩˧$
夥	fu˦$
大	du˩˧$
天	tʰiɪ˥˧$
太	tʰa˧˥$
夫	fu˥˧$
夭	iɔ˥˧$
央	iɛ̃˥˧$
夯	hɛ̃˥˧$
失	səʔ˥$
头	dɤ˧˩$
夷	ji˧˩$
夹	kaʔ˥$
夺	døʔ˨$
夾	kaʔ˥$
奇	ʥi˧˩$
奈	nɛ˩˧$
奉	ɦoŋ˩˧$
奋	fən˧˥$
奎	kʰuɛ˥˧$
奏	ʦɤ˧˥$
契	ʨʰi˧˥$
奔	pən˥˧$
奖	ʦiɛ̃˦$
套	tʰɔ˧˥$
奚	ji˧˩$
奠	diɪ˩˧$
奢	sia˦$
奪	døʔ˨$
奮	fən˧˥$
女	ȵy˩˧$
奴	nu˧˩$
奶	na˩˧$
奸	kɛ˥˧$
好	hɔ˦$
如	zʮ˧˩$
妃	fi˥˧$
妄	mɑ̃˩˧$
妈	ma˩˧$
妊	zən˩˧$
妒	tu˦$
妓	ʥi˩˧$
妖	iɔ˥˧$
妙	miɔ˩˧$
妣	pi˦$
妤	jy˧˩$
妥	tʰu˧˥$
妸	ʋu˥˧$
妹	mɛ˩˧$
妻	ʦʰi˥˧$
妾	ʦʰiɪʔ˥$
姆	m̩˥˧$
姊	ʦɿ˦$
始	sɿ˦$
