修	siɤɯ˥$
俯	fu˧˦$
俸	foŋ˦˨˧$
倉	ʦʰaŋ˥$
個	kəʔ˥$
倌	kuɤ˥$
倍	bæi˨˦$
們	mən˨˩˧$
倒	taɤ˧˦$
倔	ʨʰyəʔ˨$
倘	tʰaŋ˧˦$
候	ɦei˨˦$
倚	i˧˦$
倜	tʰiəʔ˥$
借	ʦia˦˨˧$
倡	ʦʰaŋ˦˨˧$
倦	ʥiɤ˨˦$
倨	ʨy˦˨˧$
倩	ʦʰiɪ˥$
倪	ȵi˨˩˧$
倫	lən˨˩˧$
债	ʦa˦˨˧$
值	ʣəʔ˨$
倾	ʨʰin˥$
偃	iɪ˧˦$
假	ko˧˦$
偉	ɦuæi˨˦$
偏	pʰiɪ˥$
做	ʦɤɯ˦˨˧$
停	din˨˩˧$
健	ʥiɪ˨˦$
側	ʦəʔ˥$
偵	ʦən˥$
偶	ŋei˧˦$
偷	tʰei˥$
偿	zaŋ˨˩˧$
傀	kʰuæi˧˦$
傅	fu˦˨˧$
傍	baŋ˨˦$
傑	ʥiəʔ˨$
傘	sɛ˧˦$
備	bæi˨˦$
傢	ko˥$
傥	tʰaŋ˦˨˧$
傧	pin˥$
储	ʣʮ˨˩˧$
催	ʦʰuæi˥$
傭	ioŋ˦˨˧$
傲	ŋaɤ˨˦$
傳	ʣɤ˨˩˧$
債	ʦa˦˨˧$
傷	saŋ˥$
傻	sa˥$
傾	ʨʰin˥$
僅	ʥin˨˦$
像	ziaŋ˨˦$
僑	ʥiaɤ˨˩˧$
僕	bɔʔ˨$
僚	liaɤ˨˩˧$
僧	sən˥$
僭	ʦiɪ˦˨˧$
僵	ʨiaŋ˥$
價	ko˦˨˧$
僻	pʰiəʔ˥$
儀	ɦi˨˩˧$
儉	ʥiɪ˨˦$
儐	pin˥$
儒	zʮ˨˩˧$
儔	zei˨˩˧$
償	zaŋ˨˩˧$
優	iɤɯ˥$
儲	ʣʮ˨˩˧$
儷	li˨˦$
儻	tʰaŋ˦˨˧$
儼	ȵiɪ˨˩˧$
儾	naŋ˨˦$
儿	ȵi˨˩˧$
兀	ŋəʔ˨$
允	yən˧˦$
元	ɦyɤ˨˩˧$
兄	ɕioŋ˥$
充	ʦʰoŋ˥$
兆	ʣaɤ˨˦$
先	siɪ˥$
光	kuaŋ˥$
克	kʰəʔ˥$
免	miɪ˧˦$
兒	ȵi˨˩˧$
兔	tʰu˦˨˧$
兖	iɪ˧˦$
兗	iɪ˧˦$
党	taŋ˧˦$
兜	tei˥$
入	zuəʔ˨$
全	ziɤ˨˩˧$
兩	liaŋ˧˦$
八	paʔ˥$
公	koŋ˥$
