㪕	ʨʰiɑʔ˥$
孤	ku˦˧˧$
学	ɦiɑʔ˧˦$
孩	ɦæ˨˨˧$
孫	sᴇŋ˦˧˧$
孵	fu˦˧˧$
學	ɦiɑʔ˧˦$
孽	ȵiɪʔ˧˦$
宁	ȵiŋ˨˨˧$
宅	ʣəʔ˧˦$
宇	y˧˧˦$
守	ɕiøʏ˧˧˦$
安	ɯ̃˦˧˧$
宋	soŋ˥˩$
完	ɦuɯ̃˨˨˧$
宏	ɦoŋ˨˨˧$
宗	ʦoŋ˦˧˧$
官	kɯ̃˦˧˧$
宙	ʥiøʏ˧˩$
定	diŋ˧˩$
宛	uæ̃˧˧˦$
宜	ȵi˨˨˧$
宝	pɒ˧˧˦$
实	ʑiɘʔ˧˦$
宠	ʨʰioŋ˧˧˦$
审	ɕiᴇŋ˧˧˦$
客	kʰəʔ˥$
宣	siɪ̃˦˧˧$
室	ɕiɘʔ˥$
宦	ɦuæ̃˧˩$
宪	ɕiɪ̃˥˩$
宫	koŋ˦˧˧$
宮	koŋ˦˧˧$
宰	ʦæ˧˧˦$
害	ɦæ˧˩$
宴	iɪ̃˥˩$
宵	siɒ˦˧˧$
家	ko˦˧˧$
容	ɦioŋ˨˨˧$
宽	kʰɯ̃˦˧˧$
宾	piŋ˦˧˧$
宿	siøʏ˥˩$
寂	ziɪʔ˧˦$
寄	ʨi˥˩$
寅	ɦiŋ˨˨˧$
密	miɪʔ˧˦$
寇	kʰøʏ˥˩$
富	fu˥˩$
寐	me˧˩$
寒	ɦɯ̃˨˨˧$
寓	y˥˩$
寝	ʦʰiŋ˧˧˦$
寞	mɔʔ˧˦$
察	ʦʰɑʔ˥$
寡	ko˧˧˦$
寢	ʦʰiŋ˧˧˦$
寥	liɒ˨˨˧$
實	ʑiɘʔ˧˦$
寧	ȵiŋ˨˨˧$
寨	sæ˥˩$
審	ɕiᴇŋ˧˧˦$
寫	siɑ˧˧˦$
寬	kʰɯ̃˦˧˧$
寵	ʨʰioŋ˧˧˦$
寶	pɒ˧˧˦$
寸	ʦʰᴇŋ˥˩$
对	te˥˩$
寺	zɿ˧˩$
寻	ziŋ˨˨˧$
导	dɒ˧˩$
寿	ʑiøʏ˧˩$
封	foŋ˦˧˧$
射	ʑiɑ˧˩$
将	ʦiɪ̃˦˧˧$
將	ʦiɪ̃˦˧˧$
專	ʨyɯ̃˦˧˧$
尊	ʦᴇŋ˦˧˧$
尋	ziŋ˨˨˧$
對	te˥˩$
導	dɒ˧˩$
小	siɒ˧˧˦$
少	ɕiɒ˧˧˦$
尔	ɚ˧˧˦$
尖	ʦiɪ̃˦˧˧$
尘	ʥiᴇŋ˨˨˧$
尚	ʥiæ̃˧˩$
尝	ʥiæ̃˨˨˧$
尤	ɦiøʏ˨˨˧$
尥	liɒ˧˩$
尧	ɦiɒ˨˨˧$
尬	kɑ˥˩$
就	ziøʏ˧˩$
尴	kæ̃˦˧˧$
尷	kæ̃˦˧˧$
尸	sɿ˦˧˧$
尹	iŋ˧˧˦$
尺	ʨʰiɘʔ˥$
尼	ni˨˨˧$
尽	ʦiŋ˧˧˦$
尾	i˧˧˦$
尿	se˦˧˧$
局	ʥyɔʔ˧˦$
屁	pʰi˥˩$
层	zᴇŋ˨˨˧$
居	ʨy˦˧˧$
屆	ʨiæ˥˩$
屈	ʨʰyʊʔ˥$
屉	tʰiɪʔ˥$
届	ʨiæ˥˩$
屋	ɔʔ˥$
屍	sɿ˦˧˧$
屎	sɿ˧˧˦$
屏	biŋ˨˨˧$
屑	siɪʔ˥$
展	ʨyɯ̃˧˧˦$
屜	tʰiɪʔ˥$
属	ʑyɔʔ˧˦$
屠	du˨˨˧$
屡	ly˧˧˦$
屢	ly˧˧˦$
層	zᴇŋ˨˨˧$
履	ly˧˧˦$
屬	ʑyɔʔ˧˦$
屯	dᴇŋ˨˨˧$
山	sæ̃˦˧˧$
岁	se˥˩$
岂	ʨʰi˧˧˦$
岐	ʥi˨˨˧$
岑	zᴇŋ˨˨˧$
岔	ʦʰo˥˩$
岗	kɑŋ˦˧˧$
岛	tɒ˧˧˦$
岡	kɑŋ˦˧˧$
岩	ɦiɪ̃˨˨˧$
岭	liŋ˧˧˦$
岳	ŋɔʔ˧˦$
岸	ŋɯ̃˧˩$
峡	kɑʔ˥$
峰	foŋ˦˧˧$
島	tɒ˧˧˦$
峽	kɑʔ˥$
崇	zoŋ˨˨˧$
崑	kʰuᴇŋ˦˧˧$
崔	ʦʰe˦˧˧$
崖	ŋæ˨˨˧$
崗	kɑŋ˦˧˧$
崙	lᴇŋ˨˨˧$
崩	pᴇŋ˦˧˧$
嵌	kʰæ̃˥˩$
嵩	soŋ˦˧˧$
嶺	liŋ˧˧˦$
嶽	ŋɔʔ˧˦$
川	ʨʰyɯ̃˦˧˧$
州	ʨiøʏ˦˧˧$
巡	ziŋ˨˨˧$
巢	zɒ˨˨˧$
工	koŋ˦˧˧$
左	ʦʌɤ˧˧˦$
巧	ʨiɒ˧˧˦$
巨	ʥy˧˩$
巩	koŋ˧˧˦$
巫	vu˨˨˧$
差	ʦʰo˦˧˧$
己	ʨi˧˧˦$
已	i˧˧˦$
巳	zɿ˧˩$
巴	po˦˧˧$
巷	ɦɑŋ˧˩$
巾	ʨiŋ˦˧˧$
币	bi˧˩$
市	zɿ˧˩$
布	pu˥˩$
帅	ɕyæ˥˩$
帆	fæ̃˦˧˧$
师	sɿ˦˧˧$
希	ɕi˦˧˧$
帐	ʨiæ̃˥˩$
帕	pʰɑʔ˥$
帖	tʰiɪʔ˥$
帘	liɪ̃˨˨˧$
帚	ʨiøʏ˧˧˦$
帛	bɔʔ˧˦$
帝	ti˥˩$
帥	ɕyæ˥˩$
带	tæ˥˩$
師	sɿ˦˧˧$
席	ziɪʔ˧˦$
帮	pɑŋ˦˧˧$
帳	ʨiæ̃˥˩$
帶	tæ˥˩$
常	ʥiæ̃˨˨˧$
帽	mɒ˧˩$
幅	fɔʔ˥$
幔	mɯ̃˧˩$
幕	mɔʔ˧˦$
幣	bi˧˩$
幫	pɑŋ˦˧˧$
干	kɯ̃˦˧˧$
平	biŋ˨˨˧$
年	ȵiɪ̃˨˨˧$
并	biŋ˧˩$
幸	ɦiŋ˧˩$
幹	kɯ̃˥˩$
幺	iɒ˦˧˧$
幻	ɦɯ̃˧˩$
幼	iøʏ˥˩$
幽	iøʏ˦˧˧$
幾	ʨi˧˧˦$
广	kuɑŋ˧˧˦$
庄	ʨyɑŋ˦˧˧$
庆	ʨʰiŋ˥˩$
庇	pi˥˩$
床	ʑyɑŋ˨˨˧$
序	zi˧˩$
庐	lu˨˨˧$
库	kʰu˥˩$
应	iŋ˥˩$
底	ti˧˧˦$
店	tiɪ̃˥˩$
庙	miɒ˧˩$
庚	kᴇŋ˦˧˧$
府	fu˧˧˦$
庞	bɑŋ˨˨˧$
废	fi˥˩$
度	du˧˩$
座	zʌɤ˧˩$
庫	kʰu˥˩$
庭	diŋ˨˨˧$
庵	ɯ̃˦˧˧$
庶	ɕy˥˩$
康	kʰɑŋ˦˧˧$
庸	ioŋ˦˧˧$
廁	ʦʰəʔ˥$
廂	siɪ̃˦˧˧$
廈	ɕiɑ˧˧˦$
廉	liɪ̃˨˨˧$
廊	lɑŋ˨˨˧$
廓	kʰɔʔ˥$
廖	liɒ˧˩$
廚	ʥy˨˨˧$
廝	sɿ˦˧˧$
廟	miɒ˧˩$
廠	ʨʰiæ̃˧˧˦$
廢	fi˥˩$
廣	kuɑŋ˧˧˦$
廬	lu˨˨˧$
廳	tʰiŋ˦˧˧$
延	ɦiɪ̃˨˨˧$
廷	diŋ˨˨˧$
建	ʨiɪ̃˥˩$
开	kʰæ˦˧˧$
异	i˥˩$
弃	ʨʰi˥˩$
弄	loŋ˧˩$
弊	bi˧˩$
式	ɕiɘʔ˥$
弓	koŋ˦˧˧$
弔	tiɒ˥˩$
引	iŋ˧˧˦$
弘	ɦoŋ˨˨˧$
弟	di˧˩$
张	ʨiæ̃˦˧˧$
弥	mi˨˨˧$
弦	ɦiɪ̃˨˨˧$
弯	uæ̃˦˧˧$
弱	ʑiɑʔ˧˦$
張	ʨiæ̃˦˧˧$
強	ʥiɪ̃˨˨˧$
弹	dæ̃˨˨˧$
强	ʥiɪ̃˨˨˧$
弼	biɪʔ˧˦$
彈	dæ̃˨˨˧$
彌	mi˨˨˧$
彎	uæ̃˦˧˧$
归	kue˦˧˧$
当	tɑŋ˦˧˧$
录	lɔʔ˧˦$
彙	ɦue˧˩$
形	ɦiŋ˨˨˧$
彩	ʦʰæ˧˧˦$
彪	piɒ˦˧˧$
彬	piŋ˦˧˧$
彭	bᴇŋ˨˨˧$
影	iŋ˧˧˦$
彷	fɑŋ˧˧˦$
役	ɦyʊʔ˧˦$
彻	ʨʰiɘʔ˥$
彼	pi˧˧˦$
彿	fəʔ˥$
往	uɑŋ˧˧˦$
征	ʨiᴇŋ˦˧˧$
径	ʨiŋ˥˩$
待	dæ˧˩$
很	hᴇŋ˧˧˦$
律	liɪʔ˧˦$
後	ɦøʏ˧˩$
徐	zi˨˨˧$
徑	ʨiŋ˥˩$
徒	du˨˨˧$
得	təʔ˥$
徙	si˧˧˦$
從	zoŋ˨˨˧$
御	y˥˩$
復	fɔʔ˥$
循	ziŋ˨˨˧$
微	mi˦˧˧$
徵	ʨiᴇŋ˦˧˧$
德	təʔ˥$
徹	ʨʰiɘʔ˥$
徽	hue˦˧˧$
心	siŋ˦˧˧$
必	piɪʔ˥$
忆	iɪʔ˥$
忌	ʥi˧˩$
忍	iᴇŋ˧˧˦$
忒	tʰəʔ˥$
忖	ʦʰᴇŋ˧˧˦$
志	ʦɿ˥˩$
忘	mɑŋ˧˩$
忙	mɑŋ˨˨˧$
忠	ʨioŋ˦˧˧$
忧	iøʏ˦˧˧$
快	kʰuæ˥˩$
念	ȵiɪ̃˧˩$
忽	huəʔ˥$
忿	vᴇŋ˧˩$
怀	ɦuæ˨˨˧$
态	tʰæ˥˩$
怂	soŋ˧˧˦$
怄	øʏ˥˩$
怒	nu˧˩$
怕	pʰo˥˩$
怖	pu˥˩$
怜	liɪ̃˨˨˧$
思	sɿ˦˧˧$
怠	dæ˧˩$
急	ʨiɪʔ˥$
性	siŋ˥˩$
怨	yɯ̃˥˩$
怪	kuæ˥˩$
怯	ʨʰiɪʔ˥$
怱	ʦʰoŋ˦˧˧$
总	ʦoŋ˧˧˦$
恃	zɿ˧˩$
恋	liɪ̃˧˩$
恐	kʰoŋ˧˧˦$
恒	ɦᴇŋ˨˨˧$
恕	ɕy˥˩$
恢	hue˦˧˧$
恤	siɪʔ˥$
恥	ʦʰɿ˧˧˦$
恨	ɦᴇŋ˧˩$
恩	ᴇŋ˦˧˧$
恭	koŋ˦˧˧$
息	siɪʔ˥$
恰	ʨʰiɑʔ˥$
恳	kʰᴇŋ˧˧˦$
恶	u˥˩$
恼	nɒ˧˧˦$
悄	ʦʰiɒ˦˧˧$
悅	ʨʰyʊʔ˥$
悉	siɪʔ˥$
悔	hue˧˧˦$
悟	ɦu˧˩$
悠	iøʏ˦˧˧$
患	ɦuæ̃˧˩$
悦	ʨʰyʊʔ˥$
悬	ɦyɯ̃˨˨˧$
悯	miŋ˧˧˦$
悲	pe˦˧˧$
悶	mᴇŋ˧˩$
情	ziŋ˨˨˧$
惊	ʨiŋ˦˧˧$
惑	ɦɔʔ˧˦$
惜	siɪʔ˥$
惟	vi˨˨˧$
惠	ɦue˧˩$
惡	u˥˩$
惧	ʥy˧˩$
惨	ʦʰɯ̃˧˧˦$
惩	ʥiᴇŋ˨˨˧$
惭	zæ̃˨˨˧$
惯	kuæ̃˥˩$
惰	dʌɤ˨˨˧$
惱	nɒ˧˧˦$
想	siɪ̃˧˧˦$
惹	ȵiɑ˧˧˦$
愁	zʌɤ˨˨˧$
愈	y˥˩$
愉	ɦy˨˨˧$
意	i˥˩$
愚	ɦy˨˨˧$
愛	æ˥˩$
感	kɯ̃˧˧˦$
愤	vᴇŋ˧˩$
愧	kʰue˥˩$
愿	yɯ̃˥˩$
慈	zɿ˨˨˧$
態	tʰæ˥˩$
慌	huɑŋ˦˧˧$
慎	ʑiᴇŋ˧˩$
慕	mʌɤ˧˩$
慘	ʦʰɯ̃˧˧˦$
慚	zæ̃˨˨˧$
慢	mæ̃˧˩$
慣	kuæ̃˥˩$
慧	ɦue˧˩$
慨	kʰæ˥˩$
慪	øʏ˥˩$
慫	soŋ˧˧˦$
慮	lu˧˩$
慰	ue˥˩$
慶	ʨʰiŋ˥˩$
慷	kʰɑŋ˦˧˧$
慾	ɦyɔʔ˧˦$
憂	iøʏ˦˧˧$
憋	piɪʔ˥$
憎	ʦᴇŋ˥˩$
憐	liɪ̃˨˨˧$
憑	biŋ˨˨˧$
憤	vᴇŋ˧˩$
憨	hɯ̃˦˧˧$
憫	miŋ˧˧˦$
憲	ɕiɪ̃˥˩$
憶	iɪʔ˥$
憾	ɦɯ̃˧˩$
懂	toŋ˧˧˦$
懇	kʰᴇŋ˧˧˦$
懈	ɕiæ˥˩$
應	iŋ˥˩$
懊	ɒ˧˧˦$
懒	læ̃˧˧˦$
懲	ʥiᴇŋ˨˨˧$
懵	moŋ˧˩$
懶	læ̃˧˧˦$
懷	ɦuæ˨˨˧$
懸	ɦyɯ̃˨˨˧$
懼	ʥy˧˩$
戀	liɪ̃˧˩$
戈	kʌɤ˦˧˧$
戊	vu˧˩$
戌	siɪʔ˥$
戍	ɕy˥˩$
戎	ȵioŋ˨˧˧$
戏	ɕi˥˩$
成	ʥiᴇŋ˨˨˧$
我	ŋʌɤ˧˧˦$
戒	kæ˥˩$
或	ɦɔʔ˧˦$
战	ʨyɯ̃˥˩$
戚	ʦʰiɪʔ˥$
戟	ʨiɪʔ˥$
截	ziɪʔ˧˦$
戰	ʨyɯ̃˥˩$
戲	ɕi˥˩$
戳	ʨʰyɔʔ˥$
戴	tæ˥˩$
戶	ɦu˨˨˧$
户	ɦu˨˨˧$
戽	hu˥˩$
房	bɑŋ˨˨˧$
所	sʌɤ˧˧˦$
扁	piɪ̃˧˧˦$
扇	ɕyɯ̃˦˧˧$
手	ɕiøʏ˧˧˦$
才	zæ˨˨˧$
扎	ʦɑʔ˥$
扑	pʰɔʔ˥$
打	tɑ˧˧˦$
托	tʰɔʔ˥$
扛	gɑŋ˨˨˧$
扣	kʰøʏ˥˩$
执	ʨiɘʔ˥$
扩	kʰɔʔ˥$
扫	sɒ˧˧˦$
扬	ɦiɪ̃˨˨˧$
扭	ŋøʏ˨˨˧$
扮	pæ̃˥˩$
扯	ʨʰiɑ˧˧˦$
扰	iɒ˧˧˦$
扳	pæ̃˦˧˧$
扶	vu˨˨˧$
批	pʰi˦˧˧$
扼	əʔ˥$
扽	tᴇŋ˥˩$
找	ʦɒ˧˧˦$
承	ʥiᴇŋ˨˨˧$
技	ʥi˧˩$
抄	ʦʰɒ˦˧˧$
把	po˧˧˦$
抑	iɪʔ˥$
抓	ʦɒ˦˧˧$
投	døʏ˨˨˧$
抖	tøʏ˧˧˦$
抗	kʰɑŋ˥˩$
折	ʨiɘʔ˥$
抚	fu˧˧˦$
抛	pʰɒ˦˧˧$
抠	kʰøʏ˦˧˧$
抢	ʦʰiɪ̃˧˧˦$
护	ɦu˧˩$
报	pɒ˥˩$
披	pi˦˧˧$
抬	dæ˨˨˧$
抱	bɒ˧˩$
抵	ti˧˧˦$
抹	mɑʔ˧˦$
押	ɑʔ˥$
抽	ʨʰiøʏ˦˧˧$
抿	miŋ˧˧˦$
拄	ʨy˧˧˦$
担	tæ̃˦˧˧$
拆	ʦʰɑʔ˥$
拇	mʌɤ˧˧˦$
拈	ȵiɪ̃˦˧˧$
拉	lɑ˦˧˧$
拋	pʰɒ˦˧˧$
拌	bɯ̃˧˩$
拍	pʰɔʔ˥$
拎	liŋ˨˨˧$
拐	kuæ˧˧˦$
拒	ʥy˧˩$
拔	bɑʔ˧˦$
拖	tʰʌɤ˦˧˧$
拘	ʨy˦˧˧$
拙	ʨʰyʊʔ˥$
拚	pʰɯ̃˦˧˧$
招	ʨiɒ˦˧˧$
拜	pæ˥˩$
拟	ȵi˧˧˦$
拢	loŋ˧˧˦$
拣	kæ̃˧˧˦$
拥	ioŋ˦˧˧$
拦	læ̃˨˨˧$
拨	pʊʔ˥$
择	ʣəʔ˧˦$
括	kuɑʔ˥$
拯	ʨiᴇŋ˧˧˦$
拱	koŋ˧˧˦$
拳	ʥyɯ̃˨˨˧$
拴	ɕyæ̃˦˧˧$
拼	pʰiŋ˦˧˧$
拽	ɦiɪʔ˧˦$
拾	ʑiɘʔ˧˦$
拿	no˨˨˧$
持	ʣɿ˨˨˧$
挂	ko˥˩$
指	ʦɿ˧˧˦$
按	ɯ̃˥˩$
挑	tʰiɒ˦˧˧$
挖	uɑʔ˥$
挠	nɒ˨˨˧$
挡	tɑŋ˧˧˦$
挤	ʦi˧˧˦$
挥	hue˦˧˧$
挨	æ˦˧˧$
挪	nʌɤ˨˨˧$
振	ʨiᴇŋ˥˩$
挺	tʰiŋ˧˧˦$
挽	uæ̃˧˧˦$
捅	tʰoŋ˧˧˦$
捆	kʰuᴇŋ˧˧˦$
捉	ʨyɔʔ˥$
捋	ləʔ˧˦$
捎	sɒ˦˧˧$
捏	ȵiɑʔ˧˦$
捐	ʨyɯ̃˦˧˧$
捕	pu˧˧˦$
捞	lɒ˨˨˧$
损	sᴇŋ˧˧˦$
换	ɯ̃˥˩$
捧	pʰoŋ˧˧˦$
捨	ɕiɑ˧˧˦$
据	ʨy˥˩$
捱	ŋæ˨˨˧$
捷	ziɪʔ˧˦$
捺	nɑʔ˧˦$
捻	ȵiɪ̃˧˧˦$
掀	ɕiɪ̃˦˧˧$
掂	tiɪ̃˦˧˧$
掃	sɒ˧˧˦$
掇	tʊʔ˥$
授	ʥiøʏ˧˩$
掉	diɒ˧˩$
掌	ʨiæ̃˧˧˦$
掏	tʰɒ˦˧˧$
掐	kʰɑʔ˥$
排	bæ˨˨˧$
掘	ʥyʊʔ˧˦$
掛	ko˥˩$
掠	liɑʔ˧˦$
採	ʦʰæ˧˧˦$
探	tʰɯ̃˥˩$
接	ʦiɪʔ˥$
控	kʰoŋ˥˩$
推	tʰe˦˧˧$
掩	iɪ̃˧˧˦$
措	ʦʰu˥˩$
掬	ʨyɔʔ˥$
掭	tʰiɪ̃˥˩$
掮	ʥiɪ̃˨˨˧$
掷	ʥiɘʔ˧˦$
掸	tæ̃˧˧˦$
揀	kæ̃˧˧˦$
揉	ŋøʏ˨˨˧$
描	miɒ˨˨˧$
提	di˨˨˧$
插	ʦʰɑʔ˥$
揖	iɪʔ˥$
揚	ɦiɪ̃˨˨˧$
換	ɯ̃˥˩$
揞	ɯ̃˧˧˦$
握	ɔʔ˥$
揣	ʨʰyæ˧˧˦$
揩	kʰæ˧˧˦$
揪	ʦiøʏ˦˧˧$
揭	ʨiɪʔ˥$
揮	hue˦˧˧$
援	ɦyɯ̃˨˨˧$
揽	læ̃˧˧˦$
揿	ʨʰiŋ˥˩$
搀	ʦæ̃˦˧˧$
搁	kɔʔ˥$
搂	løʏ˧˧˦$
搅	kɒ˧˧˦$
損	sᴇŋ˧˧˦$
搓	ʦʰʌɤ˦˧˧$
搖	ɦiɒ˨˨˧$
搛	ʨiɪ̃˦˧˧$
搜	sʌɤ˦˧˧$
搞	kɒ˧˧˦$
搡	sɑŋ˧˧˦$
搨	tʰɑʔ˥$
搬	pɯ̃˦˧˧$
搭	tɑʔ˥$
搶	ʦʰiɪ̃˧˧˦$
摄	ɕiɘʔ˥$
摆	pæ˧˧˦$
摇	ɦiɒ˨˨˧$
摊	tʰæ̃˦˧˧$
摔	ɕyæ˦˧˧$
摘	tiɪʔ˥$
摞	lʌɤ˧˩$
摟	løʏ˧˧˦$
摧	ʦʰe˦˧˧$
摩	mʌɤ˨˨˧$
摳	kʰøʏ˦˧˧$
摸	mɔʔ˧˦$
摹	mʌɤ˨˨˧$
摺	ʨiɘʔ˥$
撇	pʰiɪʔ˥$
撈	lɒ˨˨˧$
撐	ʦʰᴇŋ˦˧˧$
撑	ʦʰᴇŋ˦˧˧$
撒	sɑʔ˥$
撓	nɒ˨˨˧$
撕	sɿ˦˧˧$
撚	ȵiɪ̃˧˧˦$
撞	ʥyɑŋ˧˩$
撣	tæ̃˧˧˦$
撤	ʨʰiɘʔ˥$
撥	pʊʔ˥$
撩	liɒ˦˧˧$
撫	fu˧˧˦$
撮	ʦʰʊʔ˥$
撰	ʥyɯ̃˨˨˧$
撲	pʰɔʔ˥$
撳	ʨʰiŋ˥˩$
撵	ȵiɪ̃˧˧˦$
撼	ɦɯ̃˧˩$
擀	kɯ̃˧˧˦$
擁	ioŋ˦˧˧$
擇	ʣəʔ˧˦$
擊	ʨiɪʔ˥$
擋	tɑŋ˧˧˦$
操	ʦʰɒ˦˧˧$
擎	ʥiŋ˨˨˧$
擒	ʥiŋ˨˨˧$
擔	tæ̃˦˧˧$
擘	pɔʔ˥$
據	ʨy˥˩$
擠	ʦi˧˧˦$
擦	ʦʰɑʔ˥$
擬	ȵi˧˧˦$
擱	kɔʔ˥$
擲	ʥiɘʔ˧˦$
擴	kʰɔʔ˥$
擺	pæ˧˧˦$
擾	iɒ˧˧˦$
攀	pʰæ̃˦˧˧$
攆	ȵiɪ̃˧˧˦$
攏	loŋ˧˧˦$
攒	ʦɯ̃˧˧˦$
攔	læ̃˨˨˧$
攘	ȵiɪ̃˧˧˦$
攙	ʦæ̃˦˧˧$
攝	ɕiɘʔ˥$
攢	ʦɯ̃˧˧˦$
攤	tʰæ̃˦˧˧$
攪	kɒ˧˧˦$
攬	læ̃˧˧˦$
支	ʦɿ˦˧˧$
收	ɕiøʏ˦˧˧$
改	kæ˧˧˦$
攻	koŋ˦˧˧$
放	fɑŋ˥˩$
政	ʨiᴇŋ˥˩$
故	ku˥˩$
效	ɦiɒ˧˩$
敌	diɪʔ˧˦$
敏	miŋ˧˧˦$
救	ʨiøʏ˥˩$
敗	bæ˧˩$
敘	zi˧˩$
教	kɒ˦˧˧$
敛	liɪ̃˧˧˦$
敝	bi˧˩$
敢	kɯ̃˧˧˦$
散	sæ̃˧˧˦$
敦	tᴇŋ˦˧˧$
敬	ʨiŋ˥˩$
数	su˧˧˦$
敲	kʰɒ˦˧˧$
整	ʨiᴇŋ˧˧˦$
敵	diɪʔ˧˦$
敷	fu˦˧˧$
數	su˧˧˦$
斂	liɪ̃˧˧˦$
斃	bi˧˩$
文	vᴇŋ˨˨˧$
斑	pæ̃˦˧˧$
斗	tøʏ˧˧˦$
料	liɒ˧˩$
斛	ɦɔʔ˧˦$
斜	ziɑ˨˨˧$
斟	ʨiᴇŋ˦˧˧$
斤	ʨiŋ˦˧˧$
斥	ʨʰiɘʔ˥$
斧	fu˧˧˦$
斩	ʦæ̃˧˧˦$
斬	ʦæ̃˧˧˦$
断	dɯ̃˧˩$
斯	sɿ˦˧˧$
新	siŋ˦˧˧$
斷	dɯ̃˧˩$
方	fɑŋ˦˧˧$
於	y˦˧˧$
施	sɿ˦˧˧$
旁	bɑŋ˨˨˧$
旅	lu˧˧˦$
旋	ziɪ̃˨˨˧$
族	zɔʔ˧˦$
旗	ʥi˨˨˧$
无	vu˨˨˧$
既	ʨi˥˩$
日	ȵiɪʔ˧˦$
旦	tæ̃˥˩$
旧	ʥiøʏ˧˩$
旨	ʦɿ˧˧˦$
早	ʦɒ˧˧˦$
旬	siŋ˧˧˦$
旱	ɦɯ̃˧˩$
时	zɿ˨˨˧$
旷	kʰuɑŋ˥˩$
旺	uɑŋ˥˩$
昂	ŋɑŋ˨˨˧$
昆	kʰuᴇŋ˦˧˧$
昌	ʨʰiæ̃˦˧˧$
明	miŋ˨˨˧$
昏	huᴇŋ˦˧˧$
易	ɦi˧˩$
昔	siɪʔ˥$
星	siŋ˦˧˧$
映	iŋ˥˩$
春	ʨʰyᴇŋ˦˧˧$
昧	me˧˩$
昨	zɑ˧˩$
昭	ʨiɒ˦˧˧$
是	zɿ˧˩$
昼	ʨiøʏ˥˩$
显	ɕiɪ̃˧˧˦$
時	zɿ˨˨˧$
晃	huɑŋ˧˧˦$
晉	ʦiŋ˥˩$
晋	ʦiŋ˥˩$
晌	ɕiæ̃˧˧˦$
晏	æ̃˥˩$
晒	sæ˥˩$
晓	ɕiɒ˧˧˦$
晕	yŋ˥˩$
晚	mæ̃˧˧˦$
晝	ʨiøʏ˥˩$
晦	hue˥˩$
晨	ʥiᴇŋ˨˨˧$
普	pʰu˧˧˦$
景	ʨiŋ˧˧˦$
晴	ziŋ˨˨˧$
晶	ʦiŋ˦˧˧$
智	ʦɿ˥˩$
暂	ʣæ̃˧˩$
暇	ɦiɑ˨˨˧$
暈	yŋ˥˩$
暑	ɕy˧˧˦$
暖	nɯ̃˧˧˦$
暗	ɯ̃˥˩$
暢	ʨʰiæ̃˥˩$
暫	ʣæ̃˧˩$
暮	mʌɤ˧˩$
暴	pɒ˥˩$
曆	liɪʔ˧˦$
曉	ɕiɒ˧˧˦$
曠	kʰuɑŋ˥˩$
曬	sæ˥˩$
曰	yɑʔ˥$
曲	ʨʰyɔʔ˥$
更	kᴇŋ˦˧˧$
書	ɕy˦˧˧$
曹	zɒ˨˨˧$
曾	ʦᴇŋ˦˧˧$
替	tʰi˥˩$
最	ʦe˥˩$
會	kue˥˩$
月	ɦyʊʔ˧˦$
有	iøʏ˧˧˦$
朋	boŋ˨˨˧$
服	vɔʔ˧˦$
朔	sɔʔ˥$
朗	lɑŋ˧˧˦$
望	mɑŋ˧˩$
朝	ʥiɒ˨˨˧$
期	ʥi˨˨˧$
木	mɔʔ˧˦$
未	vi˧˩$
末	məʔ˧˦$
本	pᴇŋ˧˧˦$
札	ʦɑʔ˥$
术	ʥyʊʔ˧˦$
朱	ʨy˦˧˧$
朴	pʰɔʔ˥$
机	ʨi˦˧˧$
朽	ɕiøʏ˧˧˦$
杀	sɑʔ˥$
杂	ʣɑʔ˧˦$
权	ʥyɯ̃˨˨˧$
杆	kɯ̃˧˧˦$
杈	ʦʰɑ˦˧˧$
杉	sæ̃˦˧˧$
李	li˧˧˦$
杏	ɦᴇŋ˧˩$
材	zæ˨˨˧$
村	ʦʰᴇŋ˦˧˧$
杖	ʥiæ̃˧˩$
杜	du˧˩$
杞	ʨʰi˧˧˦$
束	ɕyɔʔ˥$
杠	kɑŋ˥˩$
条	diɒ˨˨˧$
来	læ˨˨˧$
杨	ɦiɪ̃˨˨˧$
杭	ɦɑŋ˨˨˧$
杯	pe˦˧˧$
杰	ʥiɪʔ˧˦$
東	toŋ˦˧˧$
杳	iɒ˧˧˦$
杵	ʨʰy˧˧˦$
杷	bɔʔ˧˦$
松	soŋ˦˧˧$
板	pæ̃˧˧˦$
极	ʥiɪʔ˧˦$
构	køʏ˥˩$
枇	biɪʔ˧˦$
枉	uɑŋ˧˧˦$
析	siɪʔ˥$
枕	ʨiᴇŋ˧˧˦$
林	liŋ˨˨˧$
枚	me˨˨˧$
果	kʌɤ˧˧˦$
枝	ʦɿ˦˧˧$
枢	ʨʰy˦˧˧$
枣	ʦɒ˧˧˦$
枪	ʦʰiɪ̃˦˧˧$
枫	foŋ˦˧˧$
枯	ku˦˧˧$
枵	ɕiɒ˦˧˧$
架	ko˥˩$
柄	piŋ˧˧˦$
柏	pɔʔ˥$
某	me˧˧˦$
柑	kɯ̃˦˧˧$
染	ȵiɪ̃˧˧˦$
柔	ŋøʏ˨˨˧$
柚	iøʏ˥˩$
柜	gue˧˩$
查	ʣo˨˨˧$
柩	ʥiøʏ˧˩$
柬	ʨiɪ̃˧˧˦$
柱	ʥy˧˩$
柳	løʏ˧˧˦$
柴	zæ˨˨˧$
柿	zɿ˧˩$
栀	ʦɿ˦˧˧$
