㞞	zəŋ˧$
兰	lɛ̃˧$
共	goŋ˩˩˧$
关	kuɛ̃˥˧˧$
兴	ɕiŋ˦˨˦$
兵	piŋ˥˧˧$
其	ʥi˧$
具	ʥy˩˩˧$
典	tiɛ̃˦˥˨$
兹	ʦɿ˥˧˧$
养	iᴀ̃˦˥˨$
兽	ɕiʊ˦˨˦$
内	ne˩˩˧$
冊	ʦʰᴀʔ˥$
册	ʦʰᴀʔ˥$
再	ʦᴇ˦˨˦$
冒	mɒ˩˩˧$
写	ɕiᴀ˦˥˨$
军	ʨyoŋ˥˧˧$
农	nəŋ˧$
冠	kuɜ̃˥˧˧$
冤	yɛ̃˥˧˧$
冬	təŋ˥˧˧$
冯	vəŋ˧$
冰	piŋ˥˧˧$
冲	ʦʰəŋ˥˧˧$
决	ʨyɪʔ˥$
冷	lᴀ̃˨˦˧$
冻	təŋ˦˨˦$
净	ɦiŋ˩˩˧$
准	ʦẽŋ˦˥˨$
凉	liᴀ̃˧$
凍	təŋ˦˨˦$
减	kɛ̃˦˥˨$
凑	ʨʰiʊ˦˨˦$
几	ʨi˦˥˨$
凡	vɛ̃˧$
凤	vəŋ˩˩˧$
凭	biŋ˧$
凯	kʰᴇ˦˥˨$
凱	kʰᴇ˦˥˨$
凳	tẽŋ˦˨˦$
凶	ɕyoŋ˥˧˧$
凸	deʔ˨˧$
凹	ɒ˥˧˧$
出	ʦʰeʔ˥$
击	ʨiʔ˥$
刀	tɒ˥˧˧$
刁	tiɔ˥˧˧$
分	fẽŋ˥˧˧$
切	ʨʰiɪʔ˥$
划	vᴀʔ˨˧$
刘	le˧$
则	ʦeʔ˥$
刚	kɔ̃˥˧˧$
初	ʦʰu˥˧˧$
删	sɛ̃˥˧˧$
判	pʰɜ̃˦˨˦$
別	biɪʔ˨˧$
刨	bɒ˩˩˧$
利	li˩˩˧$
刪	sɛ̃˥˧˧$
别	biɪʔ˨˧$
刮	kʰuɛʔ˥$
到	tɒ˦˨˦$
制	ʦɿ˦˨˦$
刷	səʔ˥$
券	ʨʰyɛ̃˦˥˨$
刺	ʦʰɿ˦˨˦$
刻	kʰeʔ˥$
剃	tʰi˦˨˦$
則	ʦeʔ˥$
削	ɕiᴀʔ˥$
前	ʥiɛ̃˧$
剑	ʨiɛ̃˦˨˦$
剔	tʰiʔ˥$
剛	kɔ̃˥˧˧$
剝	pɤʔ˥$
剥	pɤʔ˥$
剧	ʥiʔ˥$
剩	ʣẽŋ˩˩˧$
剪	ʨiɛ̃˦˥˨$
副	fu˦˨˦$
割	kəʔ˥$
劃	vᴀʔ˨˧$
劇	ʥiʔ˥$
劈	pʰiʔ˥$
劉	le˧$
劍	ʨiɛ̃˦˨˦$
力	liʔ˨˧$
劝	ʨʰyɛ̃˦˨˦$
办	bɛ̃˩˩˧$
功	koŋ˥˧˧$
加	kɔ˥˧˧$
劣	liɪʔ˨˧$
动	dəŋ˨˦˧$
助	ʣu˩˩˧$
努	nu˧$
劫	ʨiɪʔ˥$
励	li˩˩˧$
劲	ʥiŋ˧$
劳	lɒ˧$
勁	ʥiŋ˧$
勉	miɛ̃˨˦˧$
動	dəŋ˨˦˧$
勝	sẽŋ˦˨˦$
勞	lɒ˧$
勤	ʥiŋ˧$
勵	li˩˩˧$
勸	ʨʰyɛ̃˦˨˦$
勺	zɔʔ˨˧$
