㞞	zəŋ˧$
恩	ẽŋ˥˧˧$
恭	koŋ˥˧˧$
息	ɕiʔ˥$
恰	ʨʰiᴀʔ˥$
恶	ɔʔ˥$
恼	nɒ˨˦˧$
悅	ɦyɪʔ˨˧$
悉	ɕiʔ˥$
悔	fe˦˥˨$
悟	vu˩˩˧$
患	vɛ̃˩˩˧$
悦	ɦyɪʔ˨˧$
悬	ɦyɛ̃˧$
悯	miŋ˧$
悶	mẽŋ˩˩˧$
情	ʥiŋ˧$
惊	ʨiŋ˥˧˧$
惑	ɦɤʔ˨˧$
惕	tʰiʔ˥$
惜	ɕiʔ˥$
惠	ve˩˩˧$
惡	ɔʔ˥$
惭	ʣɛ̃˧$
惯	kuɛ̃˦˨˦$
惰	dɯ˨˦˧$
惱	nɒ˨˦˧$
想	ɕiᴀ̃˦˥˨$
惹	ȵiᴀ˧$
愁	ʥiʊ˧$
愉	ɦy˧$
意	i˦˨˦$
愛	ᴇ˦˨˦$
愤	vẽŋ˩˩˧$
愧	gue˧$
愿	ȵyɛ̃˩˩˧$
態	tʰᴇ˦˨˦$
慌	fɔ̃˥˧˧$
慚	ʣɛ̃˧$
慢	mɛ̃˩˩˧$
慣	kuɛ̃˦˨˦$
慧	ve˩˩˧$
慮	li˩˩˧$
慰	ue˦˥˨$
慶	ʨʰiŋ˦˨˦$
憂	iʊ˥˧˧$
憋	piɪʔ˥$
憎	ʦẽŋ˦˨˦$
憐	liɛ̃˧$
憑	biŋ˧$
憤	vẽŋ˩˩˧$
憫	miŋ˧$
憲	ɕiɛ̃˦˨˦$
懂	təŋ˦˥˨$
懈	gᴀ˨˦˧$
應	iŋ˦˨˦$
懊	ɒ˦˨˦$
懒	lɛ̃˨˦˧$
懶	lɛ̃˨˦˧$
懷	vᴀ˧$
懸	ɦyɛ̃˧$
戀	liɛ̃˩˩˧$
戏	ɕi˦˨˦$
成	ʣẽŋ˧$
我	gɯ˨˦˧$
戒	kᴀ˦˨˦$
或	ɦɤʔ˨˧$
战	ʦɜ̃˦˨˦$
戚	ʨʰiʔ˥$
截	ɦiɪʔ˨˧$
戰	ʦɜ̃˦˨˦$
戲	ɕi˦˨˦$
戳	ʦʰɤʔ˥$
戴	tᴀ˦˨˦$
戶	vu˨˦˧$
户	vu˨˦˧$
房	vɔ̃˧$
所	su˦˥˨$
扁	piɛ̃˦˥˨$
扇	sɜ̃˦˨˦$
手	ɕiʊ˦˥˨$
才	ʣᴇ˧$
扑	pʰɤʔ˥$
打	tᴀ̃˦˥˨$
托	tʰɔʔ˥$
扛	kɔ̃˦˥˨$
扣	kʰe˦˨˦$
扩	kʰuəʔ˥$
扫	sɒ˦˥˨$
扬	ɦiᴀ̃˧$
扭	ȵiʊ˥˧˧$
扮	pɛ̃˦˨˦$
扯	ʦʰᴀ˦˥˨$
批	pʰi˥˧˧$
承	ʣẽŋ˧$
技	ʥi˩˩˧$
抄	ʦʰɒ˥˧˧$
抓	ʦᴀ˥˧˧$
投	de˧$
抖	te˦˥˨$
抗	kʰɔ̃˦˨˦$
折	ʦəʔ˥$
抛	pʰɒ˥˧˧$
抢	ʨʰiᴀ̃˦˥˨$
护	vu˩˩˧$
报	pɒ˦˨˦$
披	pʰi˥˧˧$
抬	dᴇ˧$
抱	bɒ˨˦˧$
抵	ti˦˥˨$
抹	məʔ˨˧$
押	ɛʔ˥$
抽	ʨʰiʊ˥˧˧$
担	tɛ̃˦˨˦$
拆	ʦʰᴀʔ˥$
拉	lᴀ˥˧˧$
拋	pʰɒ˥˧˧$
拍	pʰᴀʔ˥$
拐	kuᴀ˦˥˨$
拔	bɛʔ˨˧$
拖	tʰɯ˥˧˧$
拗	ɒ˦˥˨$
拘	ʨy˥˧˧$
招	ʦɒ˥˧˧$
拜	pᴀ˦˨˦$
拢	ləŋ˨˦˧$
拣	kɛ̃˦˥˨$
拥	yoŋ˦˥˨$
拦	lɛ̃˧$
拨	pəʔ˥$
择	ʣəʔ˨˧$
拱	koŋ˦˨˦$
拳	ʣɜ̃˧$
拼	pʰiŋ˥˧˧$
拾	zeʔ˨˧$
拿	nᴀ˧$
持	ʣɿ˧$
挂	kɔ˦˨˦$
指	ʦɿ˦˥˨$
按	ɜ̃˦˨˦$
挑	tʰiɔ˥˧˧$
挖	uɛʔ˥$
挡	tɔ̃˦˥˨$
挤	ʨi˦˥˨$
挥	fe˥˧˧$
挨	ᴀ˥˧˧$
振	ʦẽŋ˦˨˦$
挺	tʰiŋ˦˥˨$
挽	uɛ̃˦˥˨$
捅	tʰəŋ˦˥˨$
捆	kʰuẽŋ˦˥˨$
捋	leʔ˨˧$
捌	pɛʔ˥$
捎	sɒ˥˧˧$
捏	ȵiɪʔ˥$
捐	ʨyɛ̃˥˧˧$
捞	lɒ˥˧˧$
损	sẽŋ˦˥˨$
换	vɜ̃˩˩˧$
捣	tɒ˦˥˨$
捧	pʰəŋ˦˥˨$
据	ʨy˦˨˦$
捺	nɛʔ˨˧$
掃	sɒ˦˥˨$
掉	diɔ˩˩˧$
掌	ʦɔ̃˦˥˨$
掐	kʰɛʔ˥$
排	bᴀ˧$
掛	kɔ˦˨˦$
掠	liᴀʔ˨˧$
採	ʦʰᴇ˦˥˨$
探	tʰɜ̃˦˨˦$
接	ʨiɪʔ˥$
控	kʰoŋ˦˥˨$
推	tʰᴇ˥˧˧$
掬	ʨyʔ˥$
掰	pʰᴀʔ˥$
掴	kuᴀ˥$
掼	guɛ̃˩˩˧$
揀	kɛ̃˦˥˨$
描	miɔ˧$
提	di˧$
插	ʦʰɛʔ˥$
揖	iʔ˥$
揚	ɦiᴀ̃˧$
換	vɜ̃˩˩˧$
握	uʔ˥$
揢	kʰɔ˦˥˨$
揩	kʰᴀ˥˧˧$
揭	ʨiɪʔ˥$
揮	fe˥˧˧$
援	ɦyɛ̃˨˦˧$
搁	gɔʔ˨˧$
搅	gɒ˨˦˧$
損	sẽŋ˦˥˨$
搏	pɤʔ˥$
搓	ʦʰɯ˥˧˧$
搖	ɦiɔ˧$
搗	tɒ˦˥˨$
搛	ʨiɛ̃˥˧˧$
搜	ɕiʊ˥˧˧$
搞	kɒ˦˥˨$
搬	pɜ̃˥˧˧$
搭	tɛʔ˥$
搶	ʨʰiᴀ̃˦˥˨$
摁	ẽŋ˦˥˨$
摄	səʔ˥$
摆	pᴀ˦˥˨$
摇	ɦiɔ˧$
摊	tʰɛ̃˥˧˧$
摑	kuᴀ˥$
摘	ʦᴀʔ˥$
摜	guɛ̃˩˩˧$
摸	mɤʔ˨˧$
撇	pʰiɪʔ˥$
撈	lɒ˥˧˧$
撐	ʦʰᴀ̃˥˧˧$
撑	ʦʰᴀ̃˥˧˧$
撞	ʣɔ̃˩˩˧$
撥	pəʔ˥$
播	pɯ˥˧˧$
撲	pʰɤʔ˥$
擁	yoŋ˦˥˨$
擇	ʣəʔ˨˧$
擊	ʨiʔ˥$
擋	tɔ̃˦˥˨$
操	ʦʰɒ˥˧˧$
擔	tɛ̃˦˨˦$
據	ʨy˦˨˦$
擠	ʨi˦˥˨$
擱	gɔʔ˨˧$
擴	kʰuəʔ˥$
擺	pᴀ˦˥˨$
攀	pʰɛ̃˥˧˧$
攏	ləŋ˨˦˧$
攔	lɛ̃˧$
攝	səʔ˥$
攤	tʰɛ̃˥˧˧$
攪	gɒ˨˦˧$
支	ʦɿ˥˧˧$
收	ɕiʊ˥˧˧$
改	kᴇ˦˥˨$
攻	koŋ˥˧˧$
放	fɔ̃˦˨˦$
政	ʦẽŋ˦˨˦$
故	ku˦˨˦$
效	ɦiɔ˩˩˧$
敌	diʔ˨˧$
敏	miŋ˨˦˧$
救	ʨiʊ˦˨˦$
敗	bᴀ˩˩˧$
教	kɒ˦˨˦$
敢	kɜ̃˦˥˨$
散	sɛ̃˦˨˦$
敦	tẽŋ˥˧˧$
敬	ʨiŋ˦˨˦$
数	su˦˨˦$
敲	kʰɒ˥˧˧$
整	ʦẽŋ˦˥˨$
敵	diʔ˨˧$
數	su˦˨˦$
斃	bi˩˩˧$
文	vẽŋ˧$
斋	ʦᴀ˥˧˧$
斑	pɛ̃˥˧˧$
斗	te˦˨˦$
料	liɔ˩˩˧$
斜	ɦiᴀ˧$
斤	ʨiŋ˥˧˧$
斧	fu˦˥˨$
斩	ʦɛ̃˦˥˨$
斫	ʦɔʔ˥$
斬	ʦɛ̃˦˥˨$
断	dɜ̃˨˦˧$
新	ɕiŋ˥˧˧$
斷	dɜ̃˨˦˧$
方	fɔ̃˥˧˧$
於	ɦy˧$
旁	bɔ̃˧$
旅	li˨˦˧$
旋	zɜ̃˩˩˧$
族	ʣɤʔ˨˧$
旗	ʥi˧$
无	vu˧$
日	neʔ˨˧$
旦	tɛ̃˦˨˦$
旧	ʥiʊ˩˩˧$
旨	ʦɿ˦˥˨$
早	ʦɒ˦˥˨$
旱	ɦɜ̃˨˦˧$
时	zɿ˧$
旷	kʰɔ̃˦˨˦$
昆	kʰuẽŋ˥˧˧$
昌	ʦʰᴀ̃˥˧˧$
明	mẽŋ˧$
昏	fẽŋ˥˧˧$
易	ɦi˩˩˧$
星	ɕiŋ˥˧˧$
春	ʦʰẽŋ˥˧˧$
昨	zɔʔ˨˧$
是	zɿ˨˦˧$
昼	ʨiʊ˦˨˦$
显	ɕiɛ̃˦˥˨$
時	zɿ˧$
晏	ɛ̃˦˨˦$
晒	sɔ˦˨˦$
晓	ɕiɔ˦˥˨$
晚	mɛ̃˨˦˧$
晝	ʨiʊ˦˨˦$
普	pʰu˦˥˨$
景	ʨiŋ˦˥˨$
晴	ʥiŋ˧$
暑	sɿ˦˥˨$
暖	nẽŋ˨˦˧$
暗	ẽŋ˦˨˦$
暨	ʨi˦˨˦$
曉	ɕiɔ˦˥˨$
曠	kʰɔ̃˦˨˦$
曬	sɔ˦˨˦$
曲	ʨʰyʔ˥$
更	kẽŋ˦˨˦$
書	sɿ˥˧˧$
曹	ʣɒ˧$
替	tʰi˦˨˦$
最	ʦe˥˧˧$
會	kue˦˨˦$
月	ȵyɪʔ˨˧$
有	ɦiʊ˨˦˧$
朋	bᴀ̃˧$
朗	lɔ̃˧$
望	mɔ̃˩˩˧$
朝	ʣɒ˧$
期	ʥi˧$
朦	məŋ˧$
木	mɤʔ˨˧$
末	məʔ˨˧$
本	pẽŋ˦˥˨$
术	ʣeʔ˨˧$
朱	ʦɿ˥˧˧$
朴	pʰɤʔ˥$
朵	tɯ˦˥˨$
机	ʨi˥˧˧$
杀	sɛʔ˥$
杂	zəʔ˨˧$
权	ʣɜ̃˧$
杆	kɜ̃˦˥˨$
杉	sɛ̃˥˧˧$
李	li˨˦˧$
杏	ɦᴀ̃˩˩˧$
材	ʣᴇ˧$
村	ʦʰẽŋ˥˧˧$
杖	ʥiᴀ̃˨˦˧$
条	diɔ˧$
来	lᴇ˧$
杨	ɦiᴀ̃˧$
杭	ɦɔ̃˧$
杯	pe˥˧˧$
杰	ʥiɪʔ˨˧$
東	təŋ˥˧˧$
杷	bɔ˧$
松	səŋ˥˧˧$
板	pɛ̃˦˥˨$
极	ʥiʔ˨˧$
枇	bi˧$
枉	uɔ̃˥˧˧$
析	ɕiʔ˥$
枕	ʨiŋ˦˥˨$
林	liŋ˧$
枚	mᴇ˧$
果	kɯ˦˥˨$
枝	ʦɿ˥˧˧$
枣	ʦɒ˦˥˨$
枪	ʨʰiᴀ̃˥˧˧$
枫	fəŋ˥˧˧$
枯	kʰu˥˧˧$
架	kɔ˦˨˦$
柄	piŋ˦˨˦$
柏	pᴀʔ˥$
柑	kɜ̃˥˧˧$
柒	ʨʰiʔ˥$
染	zɜ̃˨˦˧$
柜	ʥy˩˩˧$
查	ʣɔ˧$
柱	ʣɿ˨˦˧$
柳	le˧$
柴	zᴀ˧$
标	piɔ˥˧˧$
栋	təŋ˦˨˦$
栏	lɛ̃˧$
树	zɿ˩˩˧$
栗	liʔ˨˧$
校	ɦiɔ˩˩˧$
株	ʦɿ˥˧˧$
样	ɦiᴀ̃˩˩˧$
核	veʔ˨˧$
根	kẽŋ˥˧˧$
格	kᴀʔ˥$
栽	ʦᴇ˥˧˧$
桂	kue˦˨˦$
桃	dɒ˧$
桅	ve˧$
案	ɜ̃˦˨˦$
桌	ʦɤʔ˥$
桐	dəŋ˧$
桑	sɔ̃˥˧˧$
桥	ʥiɔ˧$
桩	ʦɔ̃˥˧˧$
桶	dəŋ˨˦˧$
桿	kɜ̃˦˥˨$
梅	mᴇ˧$
梗	kuᴀ̃˦˥˨$
條	diɔ˧$
梦	mɔ̃˩˩˧$
梨	li˧$
梯	tʰᴇ˥˧˧$
梳	sɿ˥˧˧$
梵	vɛ̃˧$
检	ʨiɛ̃˦˥˨$
棄	ʨʰi˦˨˦$
棉	miɛ̃˧$
棋	ʥi˧$
棍	kuẽŋ˦˥˨$
棒	bɔ̃˨˦˧$
棗	ʦɒ˦˥˨$
棟	təŋ˦˨˦$
棵	kʰɯ˥˧˧$
椅	y˦˥˨$
植	ʣeʔ˨˧$
椎	ʦe˧$
椒	ʨiɔ˥˧˧$
楊	ɦiᴀ̃˧$
楓	fəŋ˥˧˧$
楚	ʦʰu˦˥˨$
業	ȵiɪʔ˨˧$
極	ʥiʔ˨˧$
楼	le˧$
概	kᴇ˦˨˦$
榜	pɔ̃˦˥˨$
榮	ɦyoŋ˧$
榴	le˧$
榻	tʰɛʔ˥$
槍	ʨʰiᴀ̃˥˧˧$
樁	ʦɔ̃˥˧˧$
樂	lɔʔ˨˧$
樓	le˧$
標	piɔ˥˧˧$
樟	ʦɔ̃˥˧˧$
樣	ɦiᴀ̃˩˩˧$
横	vᴀ̃˧$
樱	ᴀ̃˥˧˧$
樸	pʰɤʔ˥$
樹	zɿ˩˩˧$
橄	kɛ̃˦˥˨$
橋	ʥiɔ˧$
橘	ʨyʔ˥$
機	ʨi˥˧˧$
橡	ɦiᴀ̃˨˦˧$
橫	vᴀ̃˧$
檐	ɦiɛ̃˧$
檢	ʨiɛ̃˦˥˨$
檬	məŋ˧$
櫃	ʥy˩˩˧$
櫻	ᴀ̃˥˧˧$
欄	lɛ̃˧$
權	ʣɜ̃˧$
欠	ʨʰiɛ̃˦˨˦$
次	ʦʰɿ˦˨˦$
欢	fɜ̃˥˧˧$
欣	ɕiŋ˥˧˧$
欧	ɯ˥˧˧$
欺	ʨʰi˥˧˧$
欽	ʨʰiŋ˥˧˧$
款	kʰuɜ̃˦˥˨$
歇	ɕiɪʔ˥$
歉	ʨʰiɛ̃˦˨˦$
歌	kɯ˥˧˧$
歐	ɯ˥˧˧$
歡	fɜ̃˥˧˧$
止	ʦɿ˦˥˨$
此	ʦʰɿ˦˥˨$
步	bu˩˩˧$
武	vu˨˦˧$
歲	se˦˨˦$
歷	liʔ˨˧$
歸	kuᴇ˥˧˧$
死	sɿ˦˥˨$
残	ʣɛ̃˧$
殖	ʣeʔ˨˧$
殘	ʣɛ̃˧$
殴	ɯ˥˧˧$
段	dɜ̃˩˩˧$
殺	sɛʔ˥$
殼	kʰɔʔ˥$
殿	diɛ̃˩˩˧$
毆	ɯ˥˧˧$
每	me˨˦˧$
毒	dɤʔ˨˧$
比	pi˦˥˨$
毕	piʔ˥$
毙	bi˩˩˧$
毛	mɒ˧$
毫	ɦɒ˧$
毯	tʰɛ̃˦˥˨$
民	miŋ˧$
气	ʨʰi˦˨˦$
氣	ʨʰi˦˨˦$
水	sɿ˦˥˨$
永	yoŋ˦˥˨$
氽	tʰẽŋ˦˥˨$
汁	ʨiʔ˥$
求	ʥiʊ˧$
汇	ve˩˩˧$
汉	hɜ̃˦˨˦$
汏	dᴀ˩˩˧$
汗	ɦɜ̃˩˩˧$
江	kɔ̃˥˧˧$
池	ʣɿ˧$
污	u˥˧˧$
汤	tʰɔ̃˥˧˧$
汪	uɔ̃˥˧˧$
決	ʨyɪʔ˥$
汽	ʨʰi˦˨˦$
沈	sẽŋ˦˥˨$
沒	meʔ˨˧$
沙	sɔ˥˧˧$
沟	ke˥˧˧$
没	meʔ˨˧$
沫	məʔ˨˧$
河	ɦɯ˧$
油	ɦiʊ˧$
治	ʣɿ˩˩˧$
沾	ʦɜ̃˥˧˧$
沿	ɦiɛ̃˧$
泉	ʣɜ̃˧$
法	fɛʔ˥$
泡	pʰɒ˦˨˦$
波	pɯ˥˧˧$
泥	ȵi˧$
注	ʦɿ˦˨˦$
泰	tʰᴀ˦˨˦$
泳	yoŋ˦˥˨$
泻	ɕiᴀ˦˨˦$
泼	pʰəʔ˥$
泽	ʣəʔ˨˧$
洁	ʨiɪʔ˥$
洋	ɦiᴀ̃˧$
洒	sᴀ˦˥˨$
洗	ɕi˦˥˨$
洛	lɔʔ˨˧$
洞	dəŋ˩˩˧$
津	ʨiŋ˥˧˧$
洪	ɦəŋ˧$
洲	ʨiʊ˥˧˧$
活	vəʔ˨˧$
派	pʰᴀ˦˨˦$
流	le˧$
浅	ʨʰiɛ̃˦˥˨$
浆	ʨiᴀ̃˥˧˧$
浇	ʨiɔ˥˧˧$
浒	fu˦˥˨$
浓	ȵyoŋ˧$
浙	ʦəʔ˥$
浜	pᴀ̃˥˧˧$
浣	vɜ̃˨˦˧$
浦	pʰu˦˥˨$
浩	ɦɒ˨˦˧$
浪	lɔ̃˩˩˧$
浮	vu˧$
浴	ɦyʔ˨˧$
海	hᴇ˦˥˨$
浸	ʨiŋ˦˨˦$
涂	du˧$
消	ɕiɔ˥˧˧$
涛	dɒ˧$
涣	fɜ̃˦˨˦$
涤	diʔ˨˧$
涨	ʦᴀ̃˦˨˦$
液	ɦiɪʔ˨˧$
涴	ɯ˦˨˦$
涵	ɦɜ̃˧$
涼	liᴀ̃˧$
淀	diɛ̃˩˩˧$
淋	liŋ˧$
淡	dɛ̃˨˦˧$
淨	ɦiŋ˩˩˧$
深	sẽŋ˥˧˧$
淵	yɛ̃˥˧˧$
混	vẽŋ˨˦˧$
淺	ʨʰiɛ̃˦˥˨$
添	tʰiɛ̃˥˧˧$
清	ʨʰiŋ˥˧˧$
渊	yɛ̃˥˧˧$
渙	fɜ̃˦˨˦$
減	kɛ̃˦˥˨$
渠	ʥi˧$
渡	du˩˩˧$
渣	ʦɔ˥˧˧$
温	uẽŋ˥˧˧$
港	kɔ̃˦˥˨$
游	ɦiʊ˧$
湊	ʨʰiʊ˦˨˦$
湖	vu˧$
湘	ɕiᴀ̃˥˧˧$
湯	tʰɔ̃˥˧˧$
湾	uɛ̃˥˧˧$
湿	ɕiʔ˥$
源	ȵyɛ̃˧$
準	ʦẽŋ˦˥˨$
溜	le˥˧˧$
溝	ke˥˧˧$
溪	ʨʰi˥˧˧$
溫	uẽŋ˥˧˧$
滅	miɪʔ˨˧$
滌	diʔ˨˧$
滑	vɛʔ˨˧$
滔	tʰɒ˥˧˧$
滚	kuẽŋ˦˥˨$
满	mɜ̃˨˦˧$
滤	li˩˩˧$
滨	piŋ˥˧˧$
滩	tʰɛ̃˥˧˧$
滴	tiʔ˥$
滸	fu˦˥˨$
滾	kuẽŋ˦˥˨$
滿	mɜ̃˨˦˧$
漂	pʰiɔ˥˧˧$
漆	ʨʰiʔ˥$
漏	le˩˩˧$
演	ɦiɛ̃˨˦˧$
漢	hɜ̃˦˨˦$
漫	mɛ̃˩˩˧$
漲	ʦᴀ̃˦˨˦$
漿	ʨiᴀ̃˥˧˧$
潑	pʰəʔ˥$
潔	ʨiɪʔ˥$
潘	pʰɜ̃˥˧˧$
潭	dɜ̃˧$
潮	ʣɒ˧$
澆	ʨiɔ˥˧˧$
澎	bᴀ̃˧$
澡	ʦɒ˦˥˨$
澤	ʣəʔ˨˧$
濃	ȵyoŋ˧$
濕	ɕiʔ˥$
濤	dɒ˧$
濱	piŋ˥˧˧$
濾	li˩˩˧$
瀉	ɕiᴀ˦˨˦$
灌	kuɜ̃˦˨˦$
灑	sᴀ˦˥˨$
灘	tʰɛ̃˥˧˧$
灣	uɛ̃˥˧˧$
火	hɯ˦˥˨$
灭	miɪʔ˨˧$
灯	tẽŋ˥˧˧$
灰	fᴇ˥˧˧$
灵	liŋ˧$
灶	ʦɒ˦˨˦$
災	ʦᴇ˥˧˧$
灾	ʦᴇ˥˧˧$
灿	ʦʰɛ̃˦˨˦$
炉	lu˧$
炎	ɦiɛ̃˧$
炒	ʦʰɒ˦˥˨$
炕	kʰɔ̃˦˨˦$
炭	tʰɛ̃˦˨˦$
炮	pʰɒ˦˨˦$
炸	ʦɔ˦˨˦$
点	tiɛ̃˦˥˨$
為	ve˩˩˧$
炼	liɛ̃˩˩˧$
烂	lɛ̃˩˩˧$
烈	liɪʔ˨˧$
烊	ɦiᴀ̃˧$
烏	u˥˧˧$
烘	həŋ˥˧˧$
烛	ʦɤʔ˥$
烟	iɛ̃˥˧˧$
烤	kʰɒ˦˥˨$
烦	vɛ̃˧$
烧	sɒ˥˧˧$
烫	tʰɔ̃˦˨˦$
热	ȵiɪʔ˨˧$
烹	pʰẽŋ˥˧˧$
焚	vẽŋ˨˦˧$
無	vu˧$
焦	ʨiɔ˥˧˧$
焰	ɦiɛ̃˨˦˧$
然	zɜ̃˨˦˧$
煉	liɛ̃˩˩˧$
煎	ʨiɛ̃˥˧˧$
煙	iɛ̃˥˧˧$
煞	sɛʔ˥$
煠	zɛʔ˨˧$
煤	mᴇ˧$
照	ʦɒ˦˨˦$
煨	uᴇ˥˧˧$
煩	vɛ̃˧$
熊	ɦyoŋ˧$
熏	ɕyoŋ˥˧˧$
熓	u˥˧˧$
熟	zɤʔ˨˧$
熬	ŋɒ˧$
熯	hɜ̃˦˨˦$
熱	ȵiɪʔ˨˧$
燃	zɜ̃˨˦˧$
燈	tẽŋ˥˧˧$
燒	sɒ˥˧˧$
燕	iɛ̃˦˨˦$
燙	tʰɔ̃˦˨˦$
營	ɦiŋ˧$
燥	sɒ˦˨˦$
燦	ʦʰɛ̃˦˨˦$
燭	ʦɤʔ˥$
爆	bɒ˩˩˧$
爐	lu˧$
爛	lɛ̃˩˩˧$
爬	bɔ˧$
爭	ʦẽŋ˥˧˧$
爱	ᴇ˦˨˦$
父	vu˨˦˧$
爷	ɦiᴀ˧$
爹	tiᴀ˥˧˧$
爺	ɦiᴀ˧$
爽	sɔ̃˦˥˨$
爾	ŋ̩˨˦˧$
爿	bɛ̃˧$
牆	ɦiᴀ̃˧$
片	pʰiɛ̃˦˨˦$
版	pɛ̃˦˥˨$
牌	bᴀ˧$
牙	ŋɔ˧$
牛	ȵiʊ˧$
牢	lɒ˧$
牧	mɤʔ˨˧$
物	veʔ˨˧$
牲	sᴀ̃˥˧˧$
牵	ʨʰiɛ̃˥˧˧$
特	deʔ˨˧$
牽	ʨʰiɛ̃˥˧˧$
犬	ʨʰyɛ̃˦˥˨$
犯	vɛ̃˨˦˧$
状	ʣɔ̃˩˩˧$
狀	ʣɔ̃˩˩˧$
狂	gɔ̃˧$
狄	diʔ˨˧$
狐	vu˧$
狗	ke˦˥˨$
狠	hẽŋ˦˥˨$
独	dɤʔ˨˧$
狭	ɦɛʔ˨˧$
狮	sɿ˥˧˧$
狱	ȵyʔ˨˧$
狸	li˧$
狹	ɦɛʔ˨˧$
狼	lɔ̃˧$
猎	liɪʔ˨˧$
猛	mᴀ̃˨˦˧$
猜	ʦʰe˥˧˧$
猩	ɕiŋ˥˧˧$
猪	ʦɿ˥˧˧$
猫	mɒ˧$
献	ɕiɛ̃˦˨˦$
猴	ɦiʊ˧$
獄	ȵyʔ˨˧$
獅	sɿ˥˧˧$
獎	ʨiᴀ̃˦˥˨$
獨	dɤʔ˨˧$
獭	tʰɛʔ˥$
獲	ɦɤʔ˨˧$
獵	liɪʔ˨˧$
獸	ɕiʊ˦˨˦$
獺	tʰɛʔ˥$
獻	ɕiɛ̃˦˨˦$
玉	ȵyʔ˨˧$
王	vɔ̃˧$
玫	me˧$
环	vɛ̃˧$
现	ɦiɛ̃˩˩˧$
玻	pɯ˥˧˧$
珍	ʦẽŋ˥˧˧$
珠	ʦɿ˥˧˧$
班	pɛ̃˥˧˧$
現	ɦiɛ̃˩˩˧$
球	ʥiʊ˧$
理	li˨˦˧$
琉	le˧$
琐	sɯ˦˥˨$
琴	ʥiŋ˧$
琵	bi˧$
琼	ʥyoŋ˧$
瑟	seʔ˥$
瑣	sɯ˦˥˨$
瑰	kue˦˨˦$
璃	li˧$
環	vɛ̃˧$
瓊	ʥyoŋ˧$
瓜	kɔ˥˧˧$
瓢	biɔ˧$
瓣	pʰɛ̃˦˨˦$
瓦	ŋɔ˨˦˧$
瓶	biŋ˧$
瓷	ʣɿ˧$
甘	kɜ̃˥˧˧$
甜	diɛ̃˧$
生	sẽŋ˥˧˧$
產	ʦʰɛ̃˦˥˨$
甥	sᴀ̃˥˧˧$
用	ɦyoŋ˩˩˧$
田	diɛ̃˧$
甲	kɛʔ˥$
电	diɛ̃˩˩˧$
男	nɜ̃˧$
画	vɔ˩˩˧$
畈	pɛ̃˦˨˦$
界	kᴀ˦˨˦$
留	le˧$
畚	pẽŋ˥˧˧$
畜	ʦʰɤʔ˥$
畝	m̩˩˩˧$
畢	piʔ˥$
略	liᴀʔ˨˧$
番	fɛ̃˥˧˧$
畫	vɔ˩˩˧$
異	ɦi˧$
當	tɔ̃˦˨˦$
疆	ʨiᴀ̃˥˧˧$
疊	diɪʔ˨˧$
疏	sɿ˥˧˧$
疑	ɦi˧$
疗	liɔ˧$
疤	pɔ˦˨˦$
疫	ɦiʔ˨˧$
疮	ʦʰɔ̃˥˧˧$
疯	fəŋ˥˧˧$
疲	bi˧$
疾	ʥiʔ˥$
病	biŋ˩˩˧$
症	ʦẽŋ˦˨˦$
痒	ɦiᴀ̃˨˦˧$
痛	tʰəŋ˦˨˦$
痣	ʦɿ˦˨˦$
痪	fɜ̃˦˨˦$
痰	dɛ̃˧$
瘋	fəŋ˥˧˧$
瘓	fɜ̃˦˨˦$
瘟	uẽŋ˥˧˧$
瘡	ʦʰɔ̃˥˧˧$
瘪	piɪʔ˥$
療	liɔ˧$
癌	ŋɛ̃˧$
癞	lᴀ˩˩˧$
癟	piɪʔ˥$
癢	ɦiᴀ̃˨˦˧$
癣	ɕiɛ̃˦˥˨$
癩	lᴀ˩˩˧$
癬	ɕiɛ̃˦˥˨$
登	tẽŋ˥˧˧$
發	fɛʔ˥$
白	bᴀʔ˨˧$
百	pᴀʔ˥$
皂	zɒ˧$
的	tiʔ˥$
皇	vɔ̃˧$
皮	bi˧$
皱	ʨiʊ˦˨˦$
皺	ʨiʊ˦˨˦$
皿	miŋ˧$
盆	bẽŋ˧$
益	iʔ˥$
盏	ʦɛ̃˦˥˨$
盐	ɦiɛ̃˧$
监	kɛ̃˥˧˧$
盒	ɦəʔ˨˧$
盔	kʰue˥˧˧$
盖	kᴇ˦˨˦$
盗	dɒ˩˩˧$
盘	bɜ̃˧$
盜	dɒ˩˩˧$
盞	ʦɛ̃˦˥˨$
盡	ʥiŋ˨˦˧$
監	kɛ̃˥˧˧$
盤	bɜ̃˧$
盧	lu˧$
盪	dɔ̃˨˦˧$
目	mɤʔ˨˧$
盲	mɔ̃˧$
直	ʣeʔ˨˧$
相	ɕiᴀ̃˦˨˦$
盼	pʰɛ̃˦˨˦$
省	sᴀ̃˦˥˨$
眉	mi˧$
看	kʰɜ̃˦˨˦$
真	ʦẽŋ˥˧˧$
眠	miɛ̃˧$
眶	kʰɔ̃˦˨˦$
眷	ʨyɛ̃˦˥˨$
眼	ŋɛ̃˨˦˧$
眾	ʦəŋ˦˨˦$
着	ʥiᴀʔ˨˧$
睁	ʦᴀ̃˥˧˧$
睏	kʰuẽŋ˦˨˦$
睜	ʦᴀ̃˥˧˧$
督	tɤʔ˥$
睬	ʦʰᴇ˦˥˨$
瞄	miɔ˧$
瞎	hɛʔ˥$
瞒	mɜ̃˧$
