㑃	æ˥˨˧
一千一百	iəʔ˦˧ ʦʰiɪ˧ iəʔ˦˧ pɑʔ˨
一千一百个	iəʔ˦˧ ʦʰiɪ˧ iəʔ˦˧ pɑʔ˨ kəʔ˦˧
一千一百個	iəʔ˦˧ ʦʰiɪ˧ iəʔ˦˧ pɑʔ˨ kəʔ˦˧
一千九	iəʔ˥ ʦʰiɪ˧ ʨiʏ˥˩
一千九百	iəʔ˦˧ ʦʰiɪ˧ ʨiʏ˥˩ pɑʔ˨
一千九百个	iəʔ˦˧ ʦʰiɪ˧ ʨiʏ˥˩ pɑʔ˨ kəʔ˦˧
一千九百個	iəʔ˦˧ ʦʰiɪ˧ ʨiʏ˥˩ pɑʔ˨ kəʔ˦˧
一半	iəʔ˦˧ pø˥˨˧
一半多	iəʔ˦˧ pø˥˩ təu˥
一口鐘	iəʔ˦˧ kʰʏ˨˩ ʦoŋ˥
一口钟	iəʔ˦˧ kʰʏ˨˩ ʦoŋ˥
一只洋	iəʔ˦˧ ʦɑʔ˦˧ ɦiã˨˨˧
一只银角子	iəʔ˦˧ ʦɑʔ˦˧ ȵin˨˨˧ koʔ˦˧ ʦɿ
一号	iəʔ˦˧ ɦæ˨˩
一吹一唱	iəʔ˦˧ ʦʰɥ˧ iəʔ˦˧ ʦʰɑ̃˨˩
一哭二闹三上吊	iəʔ˦˧ kʰoʔ˦˧ əl˧˩ næ˨˩ sᴇ˥ zɑ̃˧ tiæ˨˩
一哭二鬧三上吊	iəʔ˦˧ kʰoʔ˦˧ əl˧˩ næ˨˩ sᴇ˥ zɑ̃˧ tiæ˨˩
一問三勿知	iəʔ˦˧ mən˧˩ sᴇ˥ fəʔ˦˧ ʦɥ˧
一埭路	iəʔ˦˧ dɑ˧ ləu˨˩
一塌括子	iəʔ˦˧ tʰaʔ˦˧ kuaʔ˦˧ ʦɿ˧˩
一夜天	iəʔ˦˧ iɑ˥ tʰiɪ˨˩
一大半	iəʔ˦˧ dəu˧ pø˥˨˨˧
一家头	iəʔ˥ kɑ˥ dʏ
一家頭	iəʔ˥ kɑ˥ dʏ
一屑屑	iəʔ˥ siəʔ˥ siəʔ˥
一干二净	iəʔ˦˧ kø˥ əl˧ zin˨˩
一干子	iəʔ˦˧ kø˥ ʦɿ˨˩
一张分	iəʔ˦˧ ʦã˧ fən˥
一張分	iəʔ˦˧ ʦã˧ fən˥
一径	iəʔ˦˧ ʨin˥˩˧
一徑	iəʔ˦˧ ʨin˥˩˧
一捺	iəʔ˦˧ naʔ˨˧
一搭一档	iəʔ˦˧ taʔ˦˧ iəʔ˦˧ tã˨˩
一搭一檔	iəʔ˦˧ taʔ˦˧ iəʔ˦˧ tã˨˩
一撇	iəʔ˦˧ pʰiəʔ˦˧
一日天	iəʔ˦˧ ȵiəʔ˨ tʰiɪ˨˩
一时一脱色	iəʔ˦˧ zɥ˧ iəʔ˦˧ tʰəʔ˦˧ səʔ˦˧
一時一脫色	iəʔ˦˧ zɥ˧ iəʔ˦˧ tʰəʔ˦˧ səʔ˦˧
一本正經	iəʔ˥ pən˧ ʦən˧ ʨin˨˩
一本正经	iəʔ˥ pən˧ ʦən˧ ʨin˨˩
一来	iəʔ˦˧ lᴇ˥
一来一去	iəʔ˦˧ lᴇ˧ iəʔ˦˧ ʨʰi˨˩
一板三眼	iəʔ˦˧ pᴇ˨˩ sᴇ˥ ŋᴇ˨˩
一桌酒水	iəʔ˦˧ ʦoʔ˦˧ ʦʏ˥˩ sɥ˨˩
一歇歇	iəʔ˦˧ ɕiəʔ˦˧ ɕiəʔ˦˧
一步裙	iəʔ˦˧ bu˧ ʥyən˨˩
一沓	iəʔ˦˧ dəʔ˨˧
一淘	iəʔ˦˧ dæ˧
一清二楚	iəʔ˦˧ ʦʰin˥ əl˧ ʦʰəu˨˩
一清二白	iəʔ˦˧ ʦʰin˥ əl˧ bɑʔ˨
一清早	iəʔ˦˧ ʦʰin˥ ʦæ˨˩
一点	iəʔ˦˧ tiɪ˥˩
一点一画	iəʔ˦˧ tiɪ˥˩ iəʔ˦˧ ɦuaʔ˨˧
一点点	iəʔ˥ tiɪ˧ tiɪ˨˩
一画	iəʔ˦˧ ɦuaʔ˨˧
一畫	iəʔ˦˧ ɦuaʔ˨˧
一百	iəʔ˦˧ pɑʔ˦˧
一百三	iəʔ˥ pɑʔ˥ sᴇ˥
一百三十	iəʔ˦˧ pɑʔ˦˧ sᴇ˥ səʔ˨
一百二十	iəʔ˥ pɑʔ˥ əl˧˩ səʔ˨
一百五十	iəʔ˦˧ pɑʔ˦˧ ŋ̍˧˩ səʔ˨
