㑃	æ˥˨˧
刨花水	bæ˨˨˧ ho˧ sɥ˨˩
刨頭	bæ˨˨˧ dʏ
利	liⱼ˨˧˩
利尿	li˨˨˧ ȵiæ˥˩
利市布	li˨˨˧ zɿ˨˨˧ pu˨˩
利息	li˩˧ siəʔ˨
利鈿	li˨˨˧ diɪ˧
利钿	li˨˨˧ diɪ˧
刪	sᴇ˦
别	biəʔ˨˧
别人家人	bəʔ˨˧ ȵin˧ kɑ˧ ȵin˨˩
别针	biəʔ˨˧ ʦən˥
刭	ʨin˥˩
刮	kuaʔ˦˧
刮尺	kuaʔ˦˧ ʦʰɑʔ˦˧
刮浆	kuaʔ˦˧ ʦiã˥
刮漿	kuaʔ˦˧ ʦiã˥
刮痧	kuaʔ˦˧ so˥
刮皮	kuaʔ˦˧ bi˨˨˧
刮脚	kuaʔ˦˧ ʨiɑʔ˦˧
刮腳	kuaʔ˦˧ ʨiɑʔ˦˧
刮辣松脆	kuaʔ˦˧ laʔ˨˧ soŋ˥ ʦʰᴇ˥˨˧
刮辣鬆脆	kuaʔ˦˧ laʔ˨˧ soŋ˥ ʦʰᴇ˥˨˧
刮鑊子	kuaʔ˦˧ ɦoʔ˨˧ ʦɿ
刮镬子	kuaʔ˦˧ ɦoʔ˨˧ ʦɿ
到	tæ˥˨˧
到底	tæ˥ ti˨˩
制	ʦʮ˥˨˧
制服	ʦɥ˥˩ voʔ˨
刷	səʔ˦˧
刷帚	səʔ˦˧ ʦʏ˥˩
刷牙子	səʔ˦˧ ŋɑ˨˨˧ ʦɿ
券	ʨʰiø˥˨˧
刹	saʔ˦˧
刺	ʦʰiəʔ˦˧
刺槐	ʦʰɿ˥ ɦuɑ˨˩
刺毛团子	ʦʰɿ˥ mæ˧ dø˧ ʦɿ
刺毛糰子	ʦʰɿ˥ mæ˧ dø˧ ʦɿ
刺毛絹頭	ʦʰɿ˥ mæ˧ ʨiø˧ dʏ
刺毛绢头	ʦʰɿ˥ mæ˧ ʨiø˧ dʏ
刺毛肉圆	ʦʰɿ˥ mæ˧ ȵioʔ˨ ɦiø˨˩
刺毛肉圓	ʦʰɿ˥ mæ˧ ȵioʔ˨ ɦiø˨˩
刺毛虫	ʦʰɿ˥ mæ˧ zoŋ˨˩
刺毛蟲	ʦʰɿ˥ mæ˧ zoŋ˨˩
刺繡	ʦʰɿ˥ sʏ˨˩
刺绣	ʦʰɿ˥ sʏ˨˩
刻	kʰəʔ˦˧
刻实	kʰəʔ˦˧ zəʔ˨˧
刻實	kʰəʔ˦˧ zəʔ˨˧
刽	kuᴇ˥˨˧
剀	khᴇ˥˩
剁	təu˥˩
剂	ʦiⱼ˥˨˧
剃	tʰiⱼ˥˨˧
剃刀	tʰi˥ tæ˨˩
剃头	tʰi˥ dʏ˨˩
剃头刀	tʰi˥ dʏ˧ tæ˨˩
剃头剪刀	tʰi˥ dʏ˧ ʦiɪ˧ tæ˨˩
剃头师父	tʰi˥ dʏ˧ sɿ˧ vu˨˩
剃头店	tʰi˥ dʏ˥ tiɪ˨˩
剃頭	tʰi˥ dʏ˨˩
剃頭刀	tʰi˥ dʏ˧ tæ˨˩
剃頭剪刀	tʰi˥ dʏ˧ ʦiɪ˧ tæ˨˩
剃頭師父	tʰi˥ dʏ˧ sɿ˧ vu˨˩
剃頭店	tʰi˥ dʏ˥ tiɪ˨˩
剄	ʨin˥˩
則	ʦəˀ˦˧
剈	ʥiø˨˨˧
削	siɑʔ˦˧
削剪	siɑʔ˦˧ ʦiɪ˥˩
削水片	siɑʔ˦˧ sɥ˥˩ pʰiɪ˨˩
削菜花	siɑʔ˥ ʦʰᴇ˧ ho˨˩
剋	kʰəʔ˦˧
剋扣	kʰəʔ˦˧ kʰʏ˥˨˧
剋星	kʰəʔ˦˧ sin˥
前	ziɪ˨˨˧
前世	ziɪ˨˨˧ sɥ˧
前世冤家	ziɪ˨˨˧ sɥ˧ iø˧ kɑ˨˩
前两日	ziɪ˨˨˧ liã˧ ȵiəʔ˨
前个月	ziɪ˨˨˧ kəʔ˨ ŋəʔ˨
前個月	ziɪ˨˨˧ kəʔ˨ ŋəʔ˨
前兩日	ziɪ˨˨˧ liã˧ ȵiəʔ˨
前刘海	ziɪ˨˨˧ liʏ˨˩ hᴇ˨˩
前劉海	ziɪ˨˨˧ liʏ˨˩ hᴇ˨˩
前半夜	ziɪ˨˨˧ pø˧ iɑ˨˩
前吃后空	ziɪ˨˨˧ ʨʰiəʔ˨ ɦʏ˧ kʰoŋ˨˩
前喫後空	ziɪ˨˨˧ ʨʰiəʔ˨ ɦʏ˧ kʰoŋ˨˩
前头	ziɪ˨˨˧ dʏ
前夹心	ziɪ˨˨˧ kaʔ˨ sin˨˩
前夾心	ziɪ˨˨˧ kaʔ˨ sin˨˩
前年	ziɪ˨˨˧ ȵiɪ˧
前房	ziɪ˨˨˧ vɑ̃˧
前日	ziɪ˨˨˧ ȵiəʔ˨
前翻軒	ziɪ˨˨˧ fᴇ˧ ɕiɪ˨˩
前翻轩	ziɪ˨˨˧ fᴇ˧ ɕiɪ˨˩
前脚后脚	ziɪ˨˨˧ ʨiɑʔ˦˧ ɦʏ˧ ʨiɑʔ˨
前腳後腳	ziɪ˨˨˧ ʨiɑʔ˦˧ ɦʏ˧ ʨiɑʔ˨
前門	ziɪ˨˨˧ mən˧
前门	ziɪ˨˨˧ mən˧
前面	ziɪ˩˧ miɪ
前頭	ziɪ˨˨˧ dʏ
剐	ko˥˩
剑	ʨi˥˨˧
剑池	ʨiɪ˥˩ zɥ˧
剔	tʰiəʔ˦˧
剖	pʰøʏ˦
剛	kɑ̃˦
剛剛	kɑ̃˥ kɑ̃˨˩
剛剛頭	kɑ̃˥ kɑ̃˥ dʏ˨˩
剛巧	kɑ̃˥ ʨʰiæ˨˩
剛正	kɑ̃˥ ʦən˨˩
剛炭	kɑ̃˥ tʰᴇ˨˩
剛竹	kɑ̃˥ ʦoʔ˨
剜	uø˥˩
剝	poʔ˦˧
剡	ɦi˨˧˩
剥	poʔ˦˧
剧	ʥiəʔ˨˧
剩	zã˨˧˩
剩飯	zã˧˩ vᴇ˨˩
剩饭	zã˧˩ vᴇ˨˩
剪	ʦi˥˩
剪书	ʦiɪ˥˩ sɥ˧
剪刀	ʦiɪ˥˩ tæ˨˩
剪刀草	ʦiɪ˥˩ tæ˥ ʦʰæ˨˩
剪書	ʦiɪ˥˩ sɥ˧
剪節掐	ʦiɪ˥˩ ʦiəʔ˥ kʰaʔ˥
剪綹	ʦiɪ˥˩ lʏ˧
剪绺	ʦiɪ˥˩ lʏ˧
剪脐带	ʦiɪ˥˩ zi˨˨˧ tɑ˨˩
剪臍帶	ʦiɪ˥˩ zi˨˨˧ tɑ˨˩
剪节掐	ʦiɪ˥˩ ʦiəʔ˥ kʰaʔ˥
剮	ko˥˩
副	fu˥˨˧
割	kəʔ˦˧
割割裂裂	kəʔ˦˧ kəʔ˦˧ liəʔ˨˧ liəʔ˨˧
剴	khᴇ˥˩
創	ʦhɑ̃˥˨˧
剽	biæ˨˨˧
剾	kʰøʏ˦
剿	ziæ˨˨˧
劂	ʨyəʔ˦˧
劃	ɦo˨˨˧
劃一	ɦuaʔ˨˧ iəʔ˦˧
劃開	ɦuaʔ˨˧ kʰᴇ˨˩
劄	ʦaʔ˦˧
劇	ʥiəʔ˨˧
劈	pʰiəʔ˦˧
劈对	pʰiəʔ˦˧ tᴇ˥˨˧
劈對	pʰiəʔ˦˧ tᴇ˥˨˧
劈硬柴	pʰiəʔ˦˧ ŋã˧ zɑ˨˩
劈虚当中	pʰiəʔ˥ ɕy˧ tɑ̃˧ ʦoŋ˨˩
劈虛當中	pʰiəʔ˥ ɕy˧ tɑ̃˧ ʦoŋ˨˩
劉	løʏ˨˨˧
劊	kuᴇ˥˨˧
劍	ʨi˥˨˧
劍池	ʨiɪ˥˩ zɥ˧
劐	hoʔ˦˧
劑	ʦiⱼ˥˨˧
力	liəʔ˨˧
劝	ʨʰiø˥˨˧
办	bᴇ˨˧˩
办移交	bᴇ˨˨˧ ɦi˨˨˧ ʨiæ˨˩
办酒水	bᴇ˨˨˧ ʦʏ˥˩ sɥ˨˩
功	koŋ˦
加	kɑ˦
加二	kɑ˥ ȵi˨˩
务	vu˨˧˩
劣	liəʔ˨˧
动	doŋ˧˩
动头皮	doŋ˨˨˧ dʏ˧ bi˨˩
动手	doŋ˨˨˧ sʏ˧
动脉	doŋ˨˨˧ mɑʔ˨
助	zəu˨˧˩
努	nəu˥˩
劫	ʨiəʔ˦˧
劬	ʥyⱼ˨˨˧
励	liⱼ˨˧˩
劲	ʨin˥˨˧
劳	læ˨˨˧
劳作	læ˨˨˧ ʦoʔ˨
劳曹	læ˨˨˧ zæ˧
劾	ŋəʔ˨˧
势	sʮ˥˨˧
势界	sɥ˥ ka˨˩
勁	ʨin˥˨˧
勃	bəʔ˨˧
勃勿倒	bəʔ˨˧ fəʔ˦˧ tæ˥˩
勃跟多	bəʔ˨˧ kən˥ təu˨˩
勇	ioŋ˥˩
勉	mi˥˩
勋	ɕyn˥˩
勍	ʥin˨˨˧
勒	ləʔ
勒浪	ləʔ˨˧ lɑ̃
勒海	ləʔ˨˧ hᴇ
勒煞吊死	ləʔ˨˧ saʔ˦˧ tiæ˧ si˨˩
勒笃	ləʔ˨˧ toʔ˦˧
勒篤	ləʔ˨˧ toʔ˦˧
勒裏	ləʔ˨˧ li
勒里	ləʔ˨˧ li
動	doŋ˨˧˩
動手	doŋ˨˨˧ sʏ˧
動脈	doŋ˨˨˧ mɑʔ˨
動頭皮	doŋ˨˨˧ dʏ˧ bi˨˩
勖	ɕioʔ˦˧
勘	khø˥˨˧
務	vu˨˧˩
勚	i˥˨˧
勝	sən˥˨˧
勞	læ˨˨˧
勞作	læ˨˨˧ ʦoʔ˨
勞曹	læ˨˨˧ zæ˧
募	mo˨˧˩
勢	sʮ˥˨˧
勢界	sɥ˥ ka˨˩
勣	ʦiəʔ˦˧
勤	ʥin˨˨˧
勤經	ʥin˨˨˧ ʨin˧
勤经	ʥin˨˨˧ ʨin˧
勩	i˥˨˧
勳	ɕyn˥˩
勵	liⱼ˨˧˩
勸	ʨʰiø˥˨˧
勺	zoʔ˨˧
勻	ɦyn˨˨˧
勾	køʏ˦
勿	fəʔ˦˧
勿上台面	fəʔ˦˧ zɑ̃˨˩ dᴇ˨˨˧ miɪ˧
勿上檯面	fəʔ˦˧ zɑ̃˨˩ dᴇ˨˨˧ miɪ˧
勿上路	fəʔ˦˧ zɑ̃˧˩ ləu˨˩
勿习上	fəʔ˦˧ ziəʔ˨˧ zɑ̃˨˩
勿作兴	fəʔ˦˧ ʦoʔ˦˧ ɕin˨˩
勿作興	fəʔ˦˧ ʦoʔ˦˧ ɕin˨˩
勿來三	fəʔ˥ lᴇ˧ sᴇ˨˩
勿來事	fəʔ˦˧ lᴇ˧ zɿ˨˩
勿入調	fəʔ˦˧ zəʔ˨˧ diæ˨˩
勿入调	fəʔ˦˧ zəʔ˨˧ diæ˨˩
勿关	fəʔ˦˧ kuᴇ˥
勿勿少少	fəʔ˦˧ fəʔ˦˧ sæ˧ sæ˧
勿受用	fəʔ˦˧ zʏ˧ ɦioŋ˨˩
勿响	fəʔ˦˧ ɕiã˥˩
勿壳张	fəʔ˦˧ kʰoʔ˦˧ ʦã˨˩
勿好	fəʔ˦˧ hæ˥˩
勿客气	fəʔ˦˧ kʰɑʔ˦˧ ʨʰi˨˩
勿客氣	fəʔ˦˧ kʰɑʔ˦˧ ʨʰi˨˩
勿对	fəʔ˥ tᴇ˥˩˧
勿對	fəʔ˥ tᴇ˥˩˧
勿少个	fəʔ˦˧ sæ˥˩ kəʔ
勿少個	fəʔ˦˧ sæ˥˩ kəʔ
勿局	fəʔ˦˧ ʥioʔ˨˧
勿平	fəʔ˦˧ bin˥
勿得了	fəʔ˦˧ təʔ˦˧ liæ˨˩
勿挡风水	fəʔ˦˧ tɑ̃˥ foŋ˧ sɥ˨˩
勿搭界	fəʔ˦˧ taʔ˦˧ kɑ˨˩
勿擋風水	fəʔ˦˧ tɑ̃˥ foŋ˧ sɥ˨˩
勿服	fəʔ˦˧ voʔ˦˧
勿来三	fəʔ˥ lᴇ˧ sᴇ˨˩
勿来事	fəʔ˦˧ lᴇ˧ zɿ˨˩
勿松	fəʔ˥ soŋ˥
勿殼張	fəʔ˦˧ kʰoʔ˦˧ ʦã˨˩
勿派用场	fəʔ˦˧ pʰɑ˨˩ ɦioŋ˧ zã˨˩
勿派用場	fəʔ˦˧ pʰɑ˨˩ ɦioŋ˧ zã˨˩
勿然	fəʔ˦˧ zø˥
勿碍	fəʔ˦˧ ŋᴇ˨˩
勿礙	fəʔ˦˧ ŋᴇ˨˩
勿答应	fəʔ˦˧ taʔ˨ in˨˩
勿答應	fəʔ˦˧ taʔ˨ in˨˩
勿納亨	fəʔ˦˧ nəʔ˨˧ hã˨˩
勿纳亨	fəʔ˦˧ nəʔ˨˧ hã˨˩
勿罢	fəʔ˦˧ bo˨˩
勿罷	fəʔ˦˧ bo˨˩
勿習上	fəʔ˦˧ ziəʔ˨˧ zɑ̃˨˩
勿耐烦	fəʔ˦˧ nᴇ˧ vᴇ˨˩
勿耐煩	fəʔ˦˧ nᴇ˧ vᴇ˨˩
勿色头	fəʔ˦˧ səʔ˦˧ dʏ
勿色頭	fəʔ˦˧ səʔ˦˧ dʏ
勿行	fəʔ˦˧ ɦã˧
勿要好	fəʔ˦˧ iæ˥ hæ˨˩
勿見得納亨	fəʔ˥ ʨiɪ˥ təʔ nəʔ˨ hã˨˩
勿见得纳亨	fəʔ˥ ʨiɪ˥ təʔ nəʔ˨ hã˨˩
勿認得	fəʔ˦˧ ȵin˧ təʔ
勿識字葛	fəʔ˦˧ səʔ˦˧ zɿ˧ kəʔ
勿认得	fəʔ˦˧ ȵin˧ təʔ
勿识字葛	fəʔ˦˧ səʔ˦˧ zɿ˧ kəʔ
勿超至于	fəʔ˥ ʦʰæ˧ ʦɥ˧ ɦy˨˩
勿超至於	fəʔ˥ ʦʰæ˧ ʦɥ˧ ɦy˨˩
勿连牵	fəʔ˦˧ liɪ˨˨˧ ʨʰiɪ˧
勿送	fəʔ˦˧ soŋ˥˨˧
勿适意	fəʔ˦˧ səʔ˦˧ i˨˩
勿連牽	fəʔ˦˧ liɪ˨˨˧ ʨʰiɪ˧
勿適意	fəʔ˦˧ səʔ˦˧ i˨˩
勿錯	fəʔ˦˧ ʦʰo˥
勿错	fəʔ˦˧ ʦʰo˥
勿關	fəʔ˦˧ kuᴇ˥
勿響	fəʔ˦˧ ɕiã˥˩
匀	ɦyn˨˨˧
包	pæ˥
包出空	pæ˥ ʦʰəʔ˨ kʰoŋ˨˩
包厢	pæ˥ siã˨˩
包头布	pæ˥ dʏ˧ pu˨˩
包廂	pæ˥ siã˨˩
包打听	pæ˥ tã˧ tʰin˨˩
包打聽	pæ˥ tã˧ tʰin˨˩
包涵	pæ˥ ɦø˨˩
包票	pæ˥ pʰiæ˨˩
包菜	pæ˥ ʦʰᴇ˨˩
包袱	pæ˥ voʔ˨
包裹	pæ˥ kəu˨˩
包車	pæ˥ ʦʰo˨˩
包車夫	pæ˥ ʦʰo˧ fu˧
包车	pæ˥ ʦʰo˨˩
包车夫	pæ˥ ʦʰo˧ fu˧
包退还洋	pæ˥ tʰᴇ˧ ɦuᴇ˧ ɦiã˨˩
包退還洋	pæ˥ tʰᴇ˧ ɦuᴇ˧ ɦiã˨˩
包頭布	pæ˥ dʏ˧ pu˨˩
包飯	pæ˥ vᴇ˨˩
包飯作	pæ˥ vᴇ˧ ʦoʔ˨
包饭	pæ˥ vᴇ˨˩
包饭作	pæ˥ vᴇ˧ ʦoʔ˨
包龍圖	pæ˥ loŋ˧ dəu˨˩
包龙图	pæ˥ loŋ˧ dəu˨˩
匆	ʦʰoŋ˦
匈	ɕioŋ˦
匉	phən˦
匍	bu˧˩
匏	bæ˨˨˧
匐	voʔ˨˧
匕	phiⱼ˥˩
化	ho˥˨˧
化水	ho˥˨˧ sɥ˨˩
化痰	ho˥˩ dᴇ˨˨˧
化石灰	ho˥˩ zɑʔ˨˧ huᴇ˨˩
化緣	ho˥˩ ɦiø˨˨˧
化缘	ho˥˩ ɦiø˨˨˧
化肥	ho˥˩ vi˧
化錠	ho˥˩ din˨˩
化锭	ho˥˩ din˨˩
北	poʔ˦˧
北寺塔	poʔ˦˧ zɿ˧ tʰaʔ˦˧
北斗星	poʔ˦˧ tʏ˥˩ sin˨˩
北横头	poʔ˦˧ ɦuã˧ dʏ
北橫頭	poʔ˦˧ ɦuã˧ dʏ
北瓜	poʔ˦˧ ko˥
北腿	poʔ˦˧ tʰᴇ˥˩
北面	poʔ˦˧ miɪ
北鬥星	poʔ˦˧ tʏ˥˩ sin˨˩
匙	zɿ˨˨˧
匝	ʦaʔ˦˧
匟	khɑ̃˥˨˧
匠	ziã˨˧˩
匠人	ziã˧˩ ȵin˧
匡	kʰuɑ̃˦
匣	ɦaʔ˨˧
匪	fiⱼ˥˩
匮	guᴇ˨˧˩
匯	ɦuᴇ˨˧˩
匱	guᴇ˨˧˩
匳	li˨˨˧
匹	pʰiəʔ˦˧
区	øʏ˦
区区	ʨʰy˥ ʨʰy˨˩
医	iⱼ˦
医生	i˥ sã˨˩
匽	iɪ˥˩
匽門賊	iɪ˥˩ mən˧ zəʔ˨
匽门贼	iɪ˥˩ mən˧ zəʔ˨
匾	piɪ˥˩
匿	ȵiəʔ˨˧
區	øʏ˦
區區	ʨʰy˥ ʨʰy˨˩
十	zəʔ˨˧
十一	zəʔ˨˧ iəʔ˦˧
十个	zəʔ˨˧ kəʔ
十來個	zəʔ˨˧ lᴇ˧ kəʔ
十個	zəʔ˨˧ kəʔ
十几个	zəʔ˨˧ ʨi˧ kəʔ
十几日	zəʔ˨˧ ʨi˧ ȵiəʔ˨
十号	zəʔ˨˧ ɦæ˨˩
十圆心	zəʔ˨˧ ɦiø˧ sin˨˩
十圓心	zəʔ˨˧ ɦiø˧ sin˨˩
十幾個	zəʔ˨˧ ʨi˧ kəʔ
十幾日	zəʔ˨˧ ʨi˧ ȵiəʔ˨
十拿九稳	zəʔ˨˧ no˧ ʨiʏ˧ uən˨˩
十拿九穩	zəʔ˨˧ no˧ ʨiʏ˧ uən˨˩
十月朝	zəʔ˨˧ ŋəʔ˨˧ ʦæ˥
十来个	zəʔ˨˧ lᴇ˧ kəʔ
十皮塌脸	zəʔ˨˧ bi˧ tʰaʔ˨ liɪ˨˩
十皮塌臉	zəʔ˨˧ bi˧ tʰaʔ˨ liɪ˨˩
十號	zəʔ˨˧ ɦæ˨˩
千	ʦʰiɪ˥
千人石	ʦʰiɪ˥ ȵin˧ zɑʔ˨
千军万马	ʦʰiɪ˥ ʨyən˧ vᴇ˧ mo˨˩
千刀肉	ʦʰiɪ˥ tæ˧ ȵioʔ˨
千变万化	ʦʰiɪ˥ piɪ˧ vᴇ˧ ho˨˩
千古	ʦʰiɪ˥ kəu˨˩
千叮万嘱	ʦʰiɪ˥ tin˧ vᴇ˧ ʦoʔ˨
千叮萬囑	ʦʰiɪ˥ tin˧ vᴇ˧ ʦoʔ˨
千多万谢	ʦʰiɪ˥ təu˥ mᴇ˧ ziɑ˨˩
千多萬謝	ʦʰiɪ˥ təu˥ mᴇ˧ ziɑ˨˩
千家万户	ʦʰiɪ˥ ʨiɑ˧ vᴇ˧ ɦəu˧
千家萬戶	ʦʰiɪ˥ ʨiɑ˧ vᴇ˧ ɦəu˧
千年运	ʦʰiɪ˥ ȵiɪ˧ ɦyən˨˩
千年運	ʦʰiɪ˥ ȵiɪ˧ ɦyən˨˩
千手觀音	ʦʰiɪ˥ sʏ˧ kuø˧ in˨˩
千手观音	ʦʰiɪ˥ sʏ˧ kuø˧ in˨˩
千把个	ʦʰiɪ˥ po˧ kəʔ
千把人	ʦʰiɪ˥ po˧ ȵin˨˩
千把個	ʦʰiɪ˥ po˧ kəʔ
千真万确	ʦʰiɪ˥ ʦən˥ vᴇ˧ ʨʰioʔ˨
千真萬確	ʦʰiɪ˥ ʦən˥ vᴇ˧ ʨʰioʔ˨
千裏鏡	ʦʰiɪ˥ li˧ ʨin˨˩
千言万语	ʦʰiɪ˥ ɦiɪ˧ vᴇ˧ ȵy˧
千言萬語	ʦʰiɪ˥ ɦiɪ˧ vᴇ˧ ȵy˧
千變萬化	ʦʰiɪ˥ piɪ˧ vᴇ˧ ho˨˩
千軍萬馬	ʦʰiɪ˥ ʨyən˧ vᴇ˧ mo˨˩
千辛万苦	ʦʰiɪ˥ sin˥ vᴇ˧ kʰəu˧
千辛萬苦	ʦʰiɪ˥ sin˥ vᴇ˧ kʰəu˧
千里镜	ʦʰiɪ˥ li˧ ʨin˨˩
卅	saʔ˦˧
升	sən˦
升箩	sən˥ ləu˨˩
升籮	sən˥ ləu˨˩
升級	sən˥ ʨiəʔ˨
升级	sən˥ ʨiəʔ˨
午	əu˥
午时	ŋ̍˧˩ zɥ˧
午时花	ŋ̍˧˩ zɥ˧ ho˨˩
午時	ŋ̍˧˩ zɥ˧
午時花	ŋ̍˧˩ zɥ˧ ho˨˩
卉	huᴇ˥˨˧
半	pø˥˨˧
半个	pø˥˩ kəʔ
半個	pø˥˩ kəʔ
半半色日	pø˥˩ pø˨˩ səʔ˦˧ ȵiəʔ˨˧
半吊子	pø˥ tiæ˧ ʦɿ
半夏	pø˥ ɦo˨˩
半夜三更	pø˥ iɑ˧ sᴇ˧ kã˨˩
半夜点心	pø˥ iɑ˧ tiɪ˧ sin˨˩
半夜點心	pø˥ iɑ˧ tiɪ˧ sin˨˩
半山	pø˥ sᴇ˧
半山横里	pø˥ sᴇ˧ ɦuã˧ li
半山橫裏	pø˥ sᴇ˧ ɦuã˧ li
半日	pø˥˩ ȵiəʔ˨
半日天	pø˥˩ ȵiəʔ˨ tʰiɪ˨˩
半桌	pø˥˩ ʦoʔ˨
半爿俏	pø˥ bᴇ˧ ʦʰiæ˨˩
半路出家	pø˥ ləu˧ ʦʰəʔ˨ kɑ˨˩
华	ɦo˨˨˧
协	ɦiəʔ˨˧
卑	pᴇ˦
卒	ʦəʔ˥
卓	ʦoʔ˦˧
協	ɦiəʔ˨˧
单	tᴇ˦
单吊	tᴇ˥ tiæ˨˩
单放	tᴇ˥ fɑ̃˨˩
单方	tᴇ˥ fɑ̃˨˩
单档	tᴇ˥ tɑ̃˨˩
单照	tᴇ˥ ʦæ˨˩
单相思	tᴇ˥ siã˧ sɿ˨˩
单眼灶	tᴇ˥ ŋᴇ˧ ʦæ˨˩
单眼皮	tᴇ˥ ŋᴇ˧ bi˨˩
单竖人	tᴇ˥ zɥ˧ ȵin˨˩
单裤	tᴇ˥ kʰəu˨˩
单角子	tᴇ˥ koʔ˨ ʦɿ
单身	tᴇ˥ sən˨˩
单长衫	tᴇ˥ zã˨˨˧ sᴇ˨˩
单靠	tᴇ˥ kʰæ˨˩
卖	mɑ˨˧˩
卖关子	mɑ˨˨˧ kuᴇ˥ ʦɿ
卖噱头	mɑ˧˩ ɕyəʔ˥ dʏ˥
卖家鞋子	mɑ˧˩ kɑ˥ ɦɑ˧ ʦɿ
卖梨膏糖葛	mɑ˧˩ li˧ kæ˧ dɑ̃˧ kəʔ
卖相	mɑ˨˨˧ siã˨˩
卖绝丫头	mɑ˧˩ ziəʔ˨ o˥ dʏ
卖豆腐花	mɑ˧˩ dʏ˨˨˧ vu˧ ho˨˩
卖野人头	mɑ˧˩ ɦiɑ˧˩ ȵin˧ dʏ˨˩
南	nø˨˨˧
南横头	nø˨˨˧ ɦuã˧ dʏ˨˨˧
南橫頭	nø˨˨˧ ɦuã˧ dʏ˨˨˧
南瓜	nø˨˨˧ ko˨˩
南腿	nø˨˨˧ tʰᴇ˧
南門	nø˨˨˧ mən˧
南门	nø˨˨˧ mən˧
南面	nø˨˨˧ miɪ
博	poʔ˦˧
卜	boʔ˨˧
卞	bi˨˧˩
占	ʦi˥˨˧
卡	kʰɑ˥˩
卡車	kʰɑ˥˩ ʦʰo˧
卡车	kʰɑ˥˩ ʦʰo˧
卢	ləu˨˨˧
卤	ləu˨˧˩
卤汁豆腐干	ləu˧˩ ʦəʔ˨ dʏ˨˨˧ vu˧ kø˨˩
卤鸭	ləu˨˨˧ aʔ˨
卤鸭面	ləu˧˩ aʔ˨ miɪ˧˩
卦	ko˥˨˧
卧	ŋəu˨˧˩
卫	ɦuᴇ˨˧˩
卫生	ɦuᴇ˨˨˧ sən˧
卫生纸	ɦuᴇ˨˨˧ sən˧ ʦɿ˨˩
卫生裤	ɦuᴇ˨˨˧ sən˥ kʰəu˨˩
卮	ʦɿ˦
卯	mæ˧˩
印	in˥˨˧
印子鈿	in˥ ʦɿ diɪ˧
印子钿	in˥ ʦɿ diɪ˧
印泥	in˥ ȵi˨˨˧
印花	in˥ ho˨˩
印花稅	in˥ ho˧ sᴇ˧
印花税	in˥ ho˧ sᴇ˧
危	ɦuᴇ˨˨˧
即	ʦiəʔ˦˧
却	ʨʰiɑʔ˦˧
卵	lø˧˩
卵子	lø˨˨˧ ʦɿ
卵毛	lø˨˨˧ mæ˧
卵泡	lø˨˨˧ pʰæ˧
卷	ʨiø˥˩
卷尺	ʨiø˥˩ ʦʰɑʔ˨
卷心菜	ʨiø˥˩ sin˧ ʦʰᴇ˨˩
卷气	ʨiø˥˩ ʨʰi˨˩
卷氣	ʨiø˥˩ ʨʰi˨˩
卷水草	ʨiø˥˩ sɥ˥˩ ʦʰæ˨˩
卷笔刀	ʨiø˥˩ piəʔ˨ tæ˥
卷筆刀	ʨiø˥˩ piəʔ˨ tæ˥
卷脫	ʨiø˥˩ tʰəʔ
卷脱	ʨiø˥˩ tʰəʔ
卷铺盖	ʨiø˥˩ pʰu˧ kᴇ˨˩
卷面	ʨiø˥˩ miɪ˨˩
卸	siɑ˥˨˧
卸任	siɑ˥˩ zən˨˩
卺	ʨin˥˩
卻	ʨʰiɑʔ˦˧
卿	ʨʰin˥˨˧
厂	ʦʰã˥˩
厄	ŋəʔ˨˧
厅	tʰin˦
历	liəʔ˨˧
历本	liəʔ˨˧ pən˥˩
厉	liⱼ˨˧˩
压	ɑʔ˦˧
压书砣子	ɑʔ˦˧ sɥ˥ dəu˧ ʦɿ
压发簪	ɑʔ˦˧ faʔ˦˧ ʦø˥
压宝	ɑʔ˦˧ pæ˥˩
压岁钿	ɑʔ˦˧ sᴇ˧ diɪ˨˩
压帖	ɑʔ˦˧ tʰiəʔ˦˧
压末名	ɑʔ˦˧ məʔ˨˧ min˨˩
压虎子	ɑʔ˥ həu˥˩ ʦɿ
厌	iɪ˥˨˧
厌子	iɪ˥˩ ʦɿ
厌气	iɪ˧ ʨʰi˨˩
厕	ʦʰɿ˥˨˧
厘	liⱼ˨˨˧
厚	ɦʏ˧˩
厚实	ɦʏ˧˩ zəʔ˨
厚實	ɦʏ˧˩ zəʔ˨
厚皮	ɦʏ˨˨˧ bi˧
厚道	ɦʏ˨˨˧ dæ˨˩
厝	ʦhəu˥˨˧
原	ȵiø˥
原原本本	ȵiø˨˨˧ ȵiø˧ pən˧ pən˨˩
原告	ȵiø˨˨˧ kæ˨˩
原归	ȵiø˥ kuᴇ˨˩
原旧	ȵiø˥ ʥiʏ˨˩
原歸	ȵiø˥ kuᴇ˨˩
原泡茶	ȵiø˨˨˧ pʰæ˧ zo˨˩
原生	ȵiø˨˨˧ sã˧
原舊	ȵiø˥ ʥiʏ˨˩
原說	ȵiø˥ səʔ˨
原说	ȵiø˥ səʔ˨
原配	ȵiø˨˨˧ pʰᴇ˧
厢	siã˦
厢房	siã˥ vɑ̃˨˩
厣	i˥˩
厣头	iɪ˥˩ dʏ
厥	ʨyəʔ˦˧
厦	
厨	zʮ˨˨˧
