倫	leŋ˩˩˧$
倭	u˥˧$
债	ʦa˧˧˥$
值	ʣeʔ˨$
倾	ʨʰiŋ˥˧$
假	ko˦˨˦$
偉	uɛ˨˩˨$
偏	pʰiɛ̃˥˧$
做	ʦʊ˧˧˥$
停	diŋ˩˩˧$
健	ʥiɛ̃˨˩˨$
側	ʦeʔ˥$
偵	ʦeŋ˥˧$
偶	ŋiʊ˨˩˨$
偷	tʰei˥˧$
偿	sɔ̃˥˧$
傀	kʰuɛ˥˧$
傅	fu˧˧˥$
傍	bɔ̃˩˩˧$
傑	ʥieʔ˨$
傘	sã˧˧˥$
備	bɛ˨˩˨$
储	ʑy˨˩˨$
催	ʦʰɛ˥˧$
傭	yoŋ˧˧˥$
傲	ŋɔ˧˧˥$
傳	ʥyɛ̃˩˩˧$
債	ʦa˧˧˥$
傷	sɔ̃˥˧$
傾	ʨʰiŋ˥˧$
僎	ʣɛ̃˨˩˨$
像	ʑiã˨˩˨$
僑	ʥiɔ˩˩˧$
僕	boʔ˨$
僚	liɔ˩˩˧$
僧	ʦeŋ˥˧$
僵	ʨiã˥˧$
價	ko˧˧˥$
僻	pʰieʔ˥$
儀	ȵi˩˩˧$
億	i˧˧˥$
儉	ʥiɛ̃˨˩˨$
儒	y˩˩˧$
償	sɔ̃˥˧$
儡	lɛ˨˩˨$
優	iʊ˥˧$
儲	ʑy˨˩˨$
儼	ȵiɛ̃˩˩˧$
儿	l̩˩˩˧$
允	yŋ˩˩˧$
元	yɛ̃˩˩˧$
兄	ɕyoŋ˥˧$
充	ʨʰyoŋ˥˧$
兆	ʣɔ˨˩˨$
先	ɕiɛ̃˥˧$
光	kuɔ̃˥˧$
克	kʰieʔ˥$
兌	dɛ˨˩˨$
免	miɛ̃˨˩˨$
兑	dɛ˨˩˨$
兒	l̩˩˩˧$
兔	tʰʊ˧˧˥$
党	tɔ̃˥˧$
兜	tei˥˧$
入	ȵieʔ˨$
內	nɛ˧˧˥$
全	ʥiɛ̃˩˩˧$
兩	niã˨˩˨$
八	poʔ˥$
公	koŋ˥˧$
六	loʔ˨$
兮	ɕi˥˧$
兰	lã˩˩˧$
共	goŋ˨˩˨$
关	kuã˥˧$
兴	ɕiŋ˧˧˥$
兵	piŋ˥˧$
其	ʥi˩˩˧$
具	ʥy˨˩˨$
典	tiɛ̃˦˨˦$
兹	ʣɿ˩˩˧$
养	iã˧˧˥$
兼	ʨiɛ̃˥˧$
兽	ɕiʊ˧˧˥$
内	nɛ˧˧˥$
冈	kɔ̃˧˧˥$
冊	ʦʰaʔ˥$
册	ʦʰaʔ˥$
再	ʦɛ˧˧˥$
冒	mɔ˧˧˥$
写	ɕia˦˨˦$
农	loŋ˩˩˧$
冠	kuɛ˥˧$
冢	ʨyoŋ˦˨˦$
冤	yɛ̃˥˧$
冥	miŋ˩˩˧$
冬	toŋ˥˧$
冯	voŋ˩˩˧$
冰	piŋ˥˧$
冲	ʨʰyoŋ˧˧˥$
决	ʨyoʔ˥$
况	huɔ̃˧˧˥$
冶	iɛ̃˨˩˨$
冷	lã˨˩˨$
冻	toŋ˧˧˥$
净	ȵiŋ˧˧˥$
凄	ʨʰi˥˧$
准	ʦeŋ˦˨˦$
凉	niã˩˩˧$
凌	niŋ˩˩˧$
凍	toŋ˧˧˥$
减	kã˦˨˦$
凑	ʨʰiʊ˧˧˥$
凝	ȵi˩˩˧$
几	ʨi˦˨˦$
凡	vã˩˩˧$
凤	voŋ˨˩˨$
凭	biŋ˩˩˧$
凯	kʰɛ˥˧$
凰	uɔ̃˩˩˧$
凱	kʰɛ˥˧$
凳	teŋ˧˧˥$
凶	ɕyoŋ˥˧$
凸	deʔ˨$
凹	ɔ˥˧$
出	ʦʰeʔ˥$
击	ʨieʔ˥$
凼	dɔ̃˨˩˨$
函	ɛ̃˩˩˧$
凿	zoʔ˨$
刀	tɔ˥˧$
刁	tiɔ˥˧$
刃	zeŋ˨˩˨$
分	feŋ˥˧$
切	ʨʰieʔ˥$
刊	kʰã˥˧$
划	uaʔ˨$
刘	lei˩˩˧$
则	ʦeʔ˥$
刚	kɔ̃˥˧$
创	ʦʰɔ̃˧˧˥$
初	ʦʰʊ˥˧$
删	sã˥˧$
判	pʰɛ̃˧˧˥$
別	bieʔ˨$
刨	bɔ˨˩˨$
利	li˧˧˥$
刪	sã˥˧$
别	bieʔ˨$
刮	kuaʔ˥$
到	tɔ˧˧˥$
制	ʦɿ˧˧˥$
刷	ɕieʔ˥$
券	ʨʰyɛ̃˧˧˥$
刺	ʦʰɿ˧˧˥$
刻	kʰieʔ˥$
剁	toʔ˥$
剂	ʨi˧˧˥$
剃	tʰi˧˧˥$
則	ʦeʔ˥$
削	ɕiaʔ˥$
前	ʑiɛ̃˩˩˧$
剑	ʨiɛ̃˧˧˥$
剔	tʰieʔ˥$
剖	pʰo˥˧$
剛	kɔ̃˥˧$
剝	poʔ˥$
剡	ʑyɛ̃˨˩˨$
剥	poʔ˥$
剧	ʥieʔ˨$
剩	ʣeŋ˨˩˨$
剪	ʨiɛ̃˦˨˦$
副	fu˧˧˥$
割	kieʔ˥$
創	ʦʰɔ̃˧˧˥$
剿	ʥiɔ˩˩˧$
劃	uaʔ˨$
劇	ʥieʔ˨$
劈	pʰieʔ˥$
劉	lei˩˩˧$
劍	ʨiɛ̃˧˧˥$
劑	ʨi˧˧˥$
劗	ʦã˥˧$
劙	li˨˩˨$
力	lieʔ˨$
劝	ʨʰyɛ̃˧˧˥$
办	bã˨˩˨$
功	koŋ˥˧$
加	ko˥˧$
务	vu˨˩˨$
劣	lieʔ˨$
动	doŋ˨˩˨$
助	ʣʊ˨˩˨$
努	nʊ˨˩˨$
劫	ʨʰieʔ˥$
励	li˧˧˥$
劲	ʥiŋ˨˩˨$
劳	lɔ˩˩˧$
势	sɿ˧˧˥$
勁	ʥiŋ˨˩˨$
勇	yoŋ˦˨˦$
勉	miɛ̃˨˩˨$
勋	ɕyŋ˥˧$
動	doŋ˨˩˨$
勘	kʰɛ̃˧˧˥$
務	vu˨˩˨$
勚	i˧˧˥$
勝	ɕiŋ˧˧˥$
勞	lɔ˩˩˧$
募	mʊ˧˧˥$
勢	sɿ˧˧˥$
勤	ʥiŋ˩˩˧$
勳	ɕyŋ˥˧$
勵	li˧˧˥$
勸	ʨʰyɛ̃˧˧˥$
勺	ʣo˩˩˧$
勻	yŋ˩˩˧$
勼	ʨʰiʊ˥˧$
勾	kiʊ˥˧$
匀	yŋ˩˩˧$
包	pɔ˥˧$
匏	bu˩˩˧$
匕	pi˧˧˥$
化	huo˧˧˥$
北	poʔ˥$
匙	zɿ˩˩˧$
匠	ʑiã˨˩˨$
匡	kʰuɔ̃˧˧˥$
匣	aʔ˨$
匪	fi˦˨˦$
匯	uɛ˧˧˥$
匹	pʰieʔ˥$
区	ʨʰy˥˧$
医	i˥˧$
匾	piɛ̃˦˨˦$
匿	ȵiaʔ˨$
區	ʨʰy˥˧$
十	ʑieʔ˨$
千	ʨʰiɛ̃˥˧$
升	ɕiŋ˥˧$
午	u˨˩˨$
卉	huɛ˧˧˥$
半	pɛ̃˧˧˥$
华	o˦˨˦$
协	iaʔ˨$
卑	pɛ˥˧$
卒	ʦeʔ˥$
卓	ʨyoʔ˥$
協	iaʔ˨$
单	tã˥˧$
卖	ma˧˧˥$
南	nɛ̃˩˩˧$
博	poʔ˥$
卜	poʔ˥$
卞	biɛ̃˨˩˨$
占	ʨyɛ̃˥˧$
卡	kʰa˥˧$
卢	lʊ˩˩˧$
卤	lʊ˨˩˨$
卦	kuo˧˧˥$
卧	ŋʊ˧˧˥$
卫	uɛ˧˧˥$
印	iŋ˧˧˥$
危	uɛ˩˩˧$
即	ʨieʔ˥$
却	ʨʰiaʔ˥$
卵	lɛ̃˨˩˨$
卷	ʨyɛ̃˦˨˦$
卸	ɕia˧˧˥$
卻	ʨʰiaʔ˥$
卿	ʨʰiŋ˥˧$
厂	ʦʰã˦˨˦$
厅	tʰiŋ˥˧$
历	lieʔ˨$
厉	li˧˧˥$
压	aʔ˥$
厌	iɛ̃˧˧˥$
厕	ʦʰɿ˧˧˥$
厘	li˩˩˧$
厚	ei˨˩˨$
原	yɛ̃˩˩˧$
厢	ɕiã˥˧$
厣	iɛ̃˦˨˦$
厦	sa˧˧˥$
厨	ʥy˩˩˧$
厭	iɛ̃˧˧˥$
厲	li˧˧˥$
厴	iɛ̃˦˨˦$
去	ʨʰi˧˧˥$
县	yɛ̃˧˧˥$
参	seŋ˥˧$
參	seŋ˥˧$
叉	ʦʰo˥˧$
及	ʥieʔ˨$
友	iʊ˨˩˨$
双	ɕyɔ̃˥˧$
反	fã˦˨˦$
发	faʔ˥$
叔	ɕyoʔ˥$
取	ʨʰy˦˨˦$
受	ʑiʊ˨˩˨$
变	piɛ̃˧˧˥$
叙	ʑy˨˩˨$
叛	bɛ̃˨˩˨$
叠	dieʔ˨$
叢	ʣoŋ˩˩˧$
口	kʰiʊ˦˨˦$
古	ku˦˨˦$
句	ʨy˧˧˥$
另	niŋ˧˧˥$
叨	tɔ˥˧$
只	ʦeʔ˥$
叫	ʨiɔ˧˧˥$
召	zɔ˨˩˨$
叭	pa˧˧˥$
可	kʰʊ˦˨˦$
台	dɛ˩˩˧$
史	sɿ˦˨˦$
右	iʊ˨˩˨$
叶	ieʔ˨$
号	ɔ˨˩˨$
司	sɿ˥˧$
叹	tʰã˧˧˥$
吃	kieʔ˥$
各	koʔ˥$
合	eʔ˨$
吉	ʨieʔ˥$
吊	tiɔ˧˧˥$
同	doŋ˩˩˧$
名	miŋ˩˩˧$
后	ei˨˩˨$
吏	li˧˧˥$
吐	tʰʊ˧˧˥$
向	ɕiã˧˧˥$
吓	haʔ˥$
吕	li˨˩˨$
君	ʨyŋ˥˧$
吞	tʰeŋ˥˧$
否	fei˦˨˦$
吨	teŋ˧˧˥$
吩	feŋ˥˧$
含	ɛ̃˩˩˧$
听	tʰiŋ˧˧˥$
吮	ʑiŋ˨˩˨$
启	ʨʰi˦˨˦$
吳	u˩˩˧$
吴	u˩˩˧$
吵	ʦʰɔ˦˨˦$
吸	ɕieʔ˥$
吹	ʦʰɛ˥˧$
吼	hei˦˨˦$
呂	li˨˩˨$
呆	ŋɛ˩˩˧$
呈	ʣeŋ˩˩˧$
告	kɔ˧˧˥$
呕	ei˥˧$
员	yɛ̃˩˩˧$
呛	ʨʰiã˧˧˥$
